Event #,Case #,Incident Type,Date/Time Reported,Date/Time Occurred,Location,Disposition
2025015279 2025015279 2025015279 2025015279,25-0592 25-0592 25-0592 25-0592,MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES -2 MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES -3 MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES (4) BRING FIREARM/DEADLY WEAPON/ETC INTO PRISON/JAIL/ETC,3/21/25  11:24:00PM  3/21/25  11:24:00PM  3/21/25  11:24:00PM  3/21/25  11:24:00PM,3/21/25  11:39:00PM  3/21/25  11:39:00PM  3/21/25  11:39:00PM  3/21/25  11:39:00PM,"2699 ARIZONA AVE/PRINCETON ST, 2699 ARIZONA AVE/PRINCETON ST, 2699 ARIZONA AVE/PRINCETON ST, Updated as of:, 2699 ARIZONA AVE/PRINCETON ST",Unknown
2025015257,25-0591,VANDALISM ($400 OR MORE),3/21/25  9:57:00PM,3/21/25  9:57:00PM,10965 ROEBLING AVE,Unknown
2025015251,25-0590,UNLAWFUL REG/ID/PLATES/ETC W/ INTENT TO AVOID REG COMPLIANCE,3/21/25  9:59:00PM,3/21/25  9:59:00PM,"CHEVRON GAS STATION, 10984 LE CONTE AVE",Unknown
2025015240,-,UNAUTHORIZED SUBJECTS,3/21/25  7:44:26PM,3/21/25  7:44:26PM,308 WESTWOOD PZ,INFORMATION ONLY
2025015237,-,THREATS REPORT,3/21/25  7:26:54PM,3/21/25  7:26:54PM,601 WESTWOOD PZ,NON-CRIMINAL MATTER
2025015235,-,BURGLARY ALARM,3/21/25  7:10:49PM,3/21/25  7:10:49PM,300-BLOCK DE NEVE DR,NON-CRIMINAL MATTER
2025015230 2025015230,25-0589 25-0589,POSSESS CONTROLLED SUBSTANCE (2) WARRANT ARREST,3/21/25  5:20:56PM  3/21/25  5:20:56PM,3/21/25  5:20:57PM  3/21/25  5:20:57PM,"HILGARD BUS TURNAROUND, 403 HILGARD AVE, HILGARD BUS TURNAROUND, 403 HILGARD AVE",Unknown
2025015229,-,BURGLARY ALARM,3/21/25  5:02:15PM,3/21/25  5:02:15PM,500-BLOCK PORTOLA PZ,NON-CRIMINAL MATTER
2025015218,25-0588,PETTY THEFT REPORT,3/21/25  2:32:10PM,3/21/25  2:32:10PM,"TIPUANA, 900 WEYBURN PL",OPEN CASE: TO BE ASSIGNED
2025015215,-,FIRE ALARM,3/21/25  1:31:02PM,3/21/25  1:31:02PM,"REHABILITATION CENTER, 1000 VETERAN AVE",REPORT TAKEN
2025015213,-,INVESTIGATION,3/21/25  1:27:01PM,3/21/25  1:27:01PM,HILGARD AVE/SUNSET BLVD,CANCELLED BY REPORTING PARTY
2025015210,-,MISC PC CODE VIOLATION,3/21/25  12:55:05PM,3/21/25  12:55:05PM,601 WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025015205,-,MISCELLANEOUS INCIDENT,3/21/25  12:06:53PM,3/21/25  12:06:53PM,601 WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025015201,-,UNAUTHORIZED SUBJECTS,3/21/25  11:27:06AM,3/21/25  11:27:06AM,601 WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025015200 2025015200 2025015200,25-0587 25-0587 25-0587,POSSESS NARCOTIC CONTROLLED SUBSTANCE (2) PARAPHERNALIA - POSSESS UNLAWFUL (3) WARRANT ARREST,3/21/25  11:16:00AM  3/21/25  11:16:00AM  3/21/25  11:16:00AM,3/21/25  11:16:00AM  3/21/25  11:16:00AM  3/21/25  11:16:00AM,"999 WESTWOOD BLVD/WEYBURN AVE, 999 WESTWOOD BLVD/WEYBURN AVE, 999 WESTWOOD BLVD/WEYBURN AVE",Unknown
2025015191,-,UNAUTHORIZED SUBJECTS,3/21/25  10:50:58AM,3/21/25  10:50:58AM,310 WESTWOOD PZ,INFORMATION ONLY
2025015186,-,UNAUTHORIZED SUBJECTS,3/21/25  10:29:51AM,3/21/25  10:29:51AM,417 CHARLES E YOUNG DR W,INFORMATION ONLY
2025015182,-,DISTURBING THE PEACE,3/21/25  10:13:16AM,3/21/25  10:13:16AM,"WESTWOOD PZ/CHARLES E YOUNG DR N, Updated as of:",Unknown
2025015180,-,MISC STATUTE VIOLATION,3/21/25  10:03:11AM,3/21/25  10:03:11AM,601 WESTWOOD PZ,REFERRED TO OUTSIDE AGENCY
2025015145,-,BURGLARY ALARM,3/21/25  8:04:53AM,3/21/25  8:04:53AM,500-BLOCK PORTOLA PZ,NON-CRIMINAL MATTER
2025015143,-,BURGLARY ALARM,3/21/25  7:55:20AM,3/21/25  7:55:20AM,2400-BLOCK SANTA MONICA BLVD,CANCELLED BY REPORTING PARTY
2025015084,-,FIRE ALARM,3/21/25  2:13:10AM,3/21/25  2:13:10AM,800-BLOCK WEYBURN TER,REFERRED TO OUTSIDE AGENCY
2025015083,-,FIRE ALARM,3/21/25  2:11:44AM,3/21/25  2:11:44AM,"OLIVE COURT, 825 WEYBURN TER",REPORT TAKEN
2025015081,-,BATTERY,3/21/25  12:47:08AM,3/21/25  12:47:08AM,10889 WILSHIRE BLVD,REPORT
2025015079,-,BATTERY REPORT,3/21/25  12:21:26AM,3/21/25  12:21:26AM,1037 BROXTON AVE,DETAIL HANDLED: NO REPORT
2025015077,-,VERBAL DISPUTE,3/21/25  12:17:12AM,3/21/25  12:17:12AM,945 WEYBURN TER,UNABLE TO LOCATE
2025015072,25-0586,PETTY THEFT - OTHER,3/20/25  10:30:00PM,3/20/25  11:40:00PM,"WOODEN CENTER, 221 WESTWOOD PZ",Unknown
2025015026,-,SUSPICIOUS CIRCUMSTANCES,3/20/25  9:14:49PM,3/20/25  9:14:49PM,922 GAYLEY AVE,INFORMATION ONLY
2025015014,-,UNAUTHORIZED SUBJECTS,3/20/25  7:26:47PM,3/20/25  7:26:47PM,308 WESTWOOD PZ,UNABLE TO LOCATE
2025015002,-,BURGLARY ALARM,3/20/25  5:59:30PM,3/20/25  5:59:30PM,400-BLOCK CHARLES E YOUNG DR E,DETAIL HANDLED: NO REPORT
2025014999,-,PATIENT WALK AWAY,3/20/25  5:54:26PM,3/20/25  5:54:26PM,1250 16TH ST,INFORMATION ONLY
2025014998,-,TRAFFIC COLLISION OPEN VEHICLE,3/20/25  5:42:04PM,3/20/25  5:42:04PM,SUNSET BLVD/GROVERTON PL,REFERRED TO OUTSIDE AGENCY
2025014995,-,BURGLARY ALARM,3/20/25  5:22:47PM,3/20/25  5:22:47PM,300-BLOCK HILGARD AVE,NON-CRIMINAL MATTER
2025014988,-,BURGLARY ALARM,3/20/25  4:37:33PM,3/20/25  4:37:33PM,500-BLOCK PORTOLA PZ,DETAIL HANDLED: NO REPORT
2025014981,-,AUDIBLE ALARM,3/20/25  3:41:13PM,3/20/25  3:41:13PM,"TIVERTON HOUSE, 900 TIVERTON AVE",REPORT TAKEN
2025014976,25-0585,GRAND THEFT - FROM MOTOR VEHICLE,3/20/25  1:15:00PM,3/20/25  1:50:00PM,2101 SAWTELLE BLVD,Unknown
2025014972,-,INVESTIGATION,3/20/25  2:28:33PM,3/20/25  2:28:33PM,10724 WILSHIRE BLVD,REFERRED TO OUTSIDE AGENCY
2025014971,-,FIRE ALARM DRILL,3/20/25  2:10:19PM,3/20/25  2:10:19PM,"GEFFEN ACADEMY AT UCLA, 11000 KINROSS AVE, Updated as of:",Unknown
2025014969,-,FIRE ALARM,3/20/25  1:56:57PM,3/20/25  1:56:57PM,"SEMEL INSTITUTE, 760 WESTWOOD PZ",REPORT TAKEN
2025014966,-,PETTY THEFT REPORT,3/20/25  1:00:15PM,3/20/25  1:00:15PM,611 MIDVALE AVE,DETAIL HANDLED: NO REPORT
2025014963,-,DISTURBING THE PEACE,3/20/25  12:35:29PM,3/20/25  12:35:29PM,375 PORTOLA PZ,DETAIL HANDLED: NO REPORT
2025014956,-,SUSPICIOUS CIRCUMSTANCES,3/20/25  12:00:45PM,3/20/25  12:00:45PM,820 WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025014955,-,UNAUTHORIZED SUBJECTS,3/20/25  11:50:17AM,3/20/25  11:50:17AM,1000 VETERAN AVE,UNABLE TO LOCATE
2025014952,-,SUSPICIOUS CIRCUMSTANCES,3/20/25  11:29:08AM,3/20/25  11:29:08AM,410 CHARLES E YOUNG DR E,DETAIL HANDLED: NO REPORT
2025014929,-,UNAUTHORIZED SUBJECTS,3/20/25  8:55:56AM,3/20/25  8:55:56AM,675 CHARLES E YOUNG DR S,UNABLE TO LOCATE
2025014921,-,UNAUTHORIZED SUBJECTS,3/20/25  7:59:41AM,3/20/25  7:59:41AM,335 PORTOLA PZ,CANCELLED BY REPORTING PARTY
2025014914,-,SUBJECT REFUSING TO LEAVE,3/20/25  6:38:26AM,3/20/25  6:38:26AM,757 WESTWOOD PZ,CANCELLED BY REPORTING PARTY
2025014913 2025014913,25-0584 25-0584,INDECENT EXPOSURE (2) DISORDERLY CONDUCT:ALCOHOL,3/20/25  6:00:00AM  3/20/25  6:00:00AM,3/20/25  6:00:00AM  3/20/25  6:00:00AM,"GAYLEY HEIGHTS APARTMENTS, 10995 LE CONTE AVE, GAYLEY HEIGHTS APARTMENTS, 10995 LE CONTE AVE",Unknown
2025014912,-,K9 BOMB SWEEP REQUEST,3/20/25  6:02:41AM,3/20/25  6:02:41AM,425 WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025014908,-,TRAFFIC COLLISION OPEN VEHICLE,3/20/25  5:26:11AM,3/20/25  5:26:11AM,405/SUNSET BLVD,REFERRED TO OUTSIDE AGENCY
2025014875,-,FIRE ALARM,3/20/25  4:42:10AM,3/20/25  4:42:10AM,300-BLOCK DE NEVE DR,DETAIL HANDLED: NO REPORT
2025014873,-,FIRE ALARM,3/20/25  4:40:39AM,3/20/25  4:40:39AM,"RIEBER HALL, 310 DE NEVE DR",REPORT TAKEN
2025014855,25-0583,MENTAL DISORDER 72 HR OBSERVATION,3/20/25  1:59:00AM,3/20/25  1:59:00AM,600-BLOCK HILGARD AVE,Unknown
2025014854,25-0582,TRAFFIC COLLIS UNIVERSITY VEH,3/20/25  1:42:42AM,3/20/25  1:42:43AM,WILSON PLAZA,Unknown
2025014852,-,MISCELLANEOUS SICK PATIENT,3/20/25  1:39:22AM,3/20/25  1:39:22AM,120 WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025014851,-,UNAUTHORIZED SUBJECTS,3/20/25  1:37:41AM,3/20/25  1:37:41AM,403 HILGARD AVE,DETAIL HANDLED: NO REPORT
2025014849,25-0581,WARRANT ARREST,3/20/25  1:25:00AM,3/20/25  1:40:00AM,599 GAYLEY AVE/STRATHMORE DR,Unknown
2025014839,25-0580,ROBBERY,3/20/25  12:20:00AM,3/20/25  12:28:00AM,"POWELL LIBRARY, 10740 DICKSON PLAZA, Updated as of:",Unknown
2025014837,-,FIRE DETAIL,3/20/25  12:23:27AM,3/20/25  12:23:27AM,"FLAGPOLE, 10700 DICKSON PZ",DETAIL HANDLED: NO REPORT
2025014788,-,UNAUTHORIZED SUBJECTS,3/19/25  9:51:29PM,3/19/25  9:51:29PM,10920 LINDBROOK DR,DETAIL HANDLED: NO REPORT
2025014766,-,BURGLARY ALARM,3/19/25  7:37:01PM,3/19/25  7:37:01PM,2700-BLOCK OCEAN PARK BLVD,NON-CRIMINAL MATTER
2025014748,-,BURGLARY ALARM,3/19/25  5:45:48PM,3/19/25  5:45:48PM,200-BLOCK CHARLES E YOUNG DR N,CANCELLED BY REPORTING PARTY
2025014743,25-0579,PETTY THEFT - MAIL OR PACKAGE,3/19/25  10:35:00AM,3/19/25  10:50:00AM,"SEPULVEDA APARTMENTS, 3165 S SEPULVEDA BLVD",Unknown
2025014727,-,SUBJECT REFUSING TO LEAVE,3/19/25  2:53:57PM,3/19/25  2:53:57PM,900 WESTWOOD BLVD,CANCELLED BY REPORTING PARTY
2025014719,25-0577,VANDALISM:DEFACE PROPERTY,3/19/25  1:00:00PM,3/19/25  1:00:00PM,"16TH STREET PHARMACY MEDICAL BUILDING, 1223 16TH ST",Unknown
2025014711,-,KIDNAPPING REPORT,3/19/25  12:30:06PM,3/19/25  12:30:06PM,2428 SANTA MONICA BLVD,INFORMATION ONLY
2025014709,25-0576,VANDALISM:DEFACE PROPERTY,3/19/25  12:01:00PM,3/19/25  12:01:00PM,400-BLOCK WESTWOOD PZ,Unknown
2025014668,-,PETTY THEFT,3/19/25  8:37:18AM,3/19/25  8:37:18AM,337 CHARLES E YOUNG DR E,UNABLE TO LOCATE
2025014654,-,UNAUTHORIZED SUBJECTS,3/19/25  7:54:29AM,3/19/25  7:54:29AM,720 GAYLEY AVE,CANCELLED BY REPORTING PARTY
2025014648,-,DISTURBING THE PEACE,3/19/25  7:00:46AM,3/19/25  7:00:46AM,WESTWOOD PZ/STRATHMORE PL,INFORMATION ONLY
2025014645,-,K9 BOMB SWEEP REQUEST,3/19/25  6:02:08AM,3/19/25  6:02:08AM,425 WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025014624,-,SUBJECT REFUSING TO LEAVE,3/19/25  3:06:46AM,3/19/25  3:06:46AM,757 WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025014619,-,SUSPICIOUS CIRCUMSTANCES,3/19/25  2:36:29AM,3/19/25  2:36:29AM,555 WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025014614,-,VANDALISM REPORT,3/19/25  2:05:25AM,3/19/25  2:05:25AM,1601 WILSHIRE BLVD,DETAIL HANDLED: NO REPORT
2025014590,-,UNAUTHORIZED SUBJECTS,3/18/25  11:25:46PM,3/18/25  11:25:46PM,251 CHARLES E YOUNG DR W,FIELD INTERVIEWED
2025014514,-,SUBJECT REFUSING TO LEAVE,3/18/25  8:07:38PM,3/18/25  8:07:38PM,900 WEYBURN PL,CANCELLED BY REPORTING PARTY
2025014513,-,PATIENT WALK AWAY,3/18/25  8:05:32PM,3/18/25  8:05:32PM,"757 WESTWOOD PZ, Updated as of:",Unknown
2025014495,25-0575,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC,3/18/25  1:50:00PM,3/18/25  1:50:00PM,"LUSKIN CONFERENCE CENTER, 425 WESTWOOD PZ",Unknown
2025014494,-,PATIENT WALK AWAY,3/18/25  6:14:34PM,3/18/25  6:14:34PM,757 WESTWOOD PZ,INFORMATION ONLY
2025014493,-,SUSPICIOUS CIRCUMSTANCES,3/18/25  6:13:49PM,3/18/25  6:13:49PM,555 WESTWOOD PZ,INFORMATION ONLY
2025014481,25-0574,TRAFFIC COLLIS UNIVERSITY VEH,3/18/25  3:37:02PM,3/18/25  3:37:02PM,WEYBURN DR/VETERAN AVE,OPEN CASE: TO BE ASSIGNED
2025014476,-,MISDEMEANOR HIT AND RUN REPORT,3/18/25  2:57:43PM,3/18/25  2:57:43PM,720 GAYLEY AVE,DETAIL HANDLED: NO REPORT
2025014469,-,PETTY THEFT REPORT,3/18/25  1:25:44PM,3/18/25  1:25:44PM,715 GAYLEY AVE,REPORT
2025014466,-,DISTURBING THE PEACE,3/18/25  1:04:13PM,3/18/25  1:04:13PM,1070 VETERAN AVE,CANCELLED BY REPORTING PARTY
2025014462,25-0573,TAKE VEHICLE WITHO OWNER`S CONSENT/VEHICLE THEFT,3/18/25  12:58:09PM,3/18/25  12:58:10PM,1033 HILGARD AVE,Unknown
2025014454,-,SUSPICIOUS CIRCUMSTANCES,3/18/25  11:37:30AM,3/18/25  11:37:30AM,601 WESTWOOD PZ,CITATION ISSUED
2025014453,-,5150WIC,3/18/25  11:23:57AM,3/18/25  11:23:57AM,200-BLOCK MEDICAL PZ,REFERRED TO OUTSIDE AGENCY
2025014452,-,MISDEMEANOR HIT AND RUN REPORT,3/18/25  11:16:55AM,3/18/25  11:16:55AM,675 CHARLES E YOUNG DR S,DETAIL HANDLED: NO REPORT
2025014448,-,UNAUTHORIZED SUBJECTS,3/18/25  10:12:11AM,3/18/25  10:12:11AM,308 WESTWOOD PZ,UNABLE TO LOCATE
2025014447,-,K9 BOMB SWEEP REQUEST,3/18/25  10:10:10AM,3/18/25  10:10:10AM,425 WESTWOOD PZ,DETAIL HANDLED: NO REPORT
2025014442,-,UNAUTHORIZED SUBJECTS,3/18/25  9:38:10AM,3/18/25  9:38:10AM,1500 S SEPULVEDA BLVD,DETAIL HANDLED: NO REPORT
2025014439,-,FIRE ALARM,3/18/25  8:31:22AM,3/18/25  8:31:22AM,"FACILITIES MANAGEMENT BUILDING, 731 CHARLES E YOUNG DR S",REPORT TAKEN
2025014437,-,PETTY THEFT,3/18/25  8:12:00AM,3/18/25  8:12:00AM,325 WESTWOOD PZ,FIELD INTERVIEWED
2025014435,-,VANDALISM REPORT,3/18/25  8:07:35AM,3/18/25  8:07:35AM,STRATHMORE DR/LANDFAIR AVE,INFORMATION ONLY
2025014434,-,UNAUTHORIZED SUBJECTS,3/18/25  7:56:34AM,3/18/25  7:56:34AM,240 CHARLES E YOUNG DR N,UNABLE TO LOCATE
2025014420,-,UNAUTHORIZED SUBJECTS,3/18/25  6:57:28AM,3/18/25  6:57:28AM,1500 S SEPULVEDA BLVD,DETAIL HANDLED: NO REPORT
2025014419,-,SUSPICIOUS CIRCUMSTANCES,3/18/25  6:43:49AM,3/18/25  6:43:49AM,"1070 VETERAN AVE, Updated as of:",Unknown
2025014391,25-0572,TRAFFIC COLLIS UNIVERSITY VEH,3/18/25  4:14:48AM,3/18/25  4:14:48AM,"ANDERSON SCHOOL OF MANAGEMENT, 110 WESTWOOD PZ",OPEN CASE: TO BE ASSIGNED
2025014375,-,FIRE ALARM,3/18/25  2:14:09AM,3/18/25  2:14:09AM,200-BLOCK DE NEVE DR,REFERRED TO OUTSIDE AGENCY
2025014374,-,FIRE ALARM,3/18/25  2:13:33AM,3/18/25  2:13:33AM,"RIEBER TERRACE, 270 DE NEVE DR",REPORT TAKEN
2025014346,-,SUSPICIOUS CIRCUMSTANCES,3/18/25  12:24:02AM,3/18/25  12:24:02AM,10984 LE CONTE AVE,INFORMATION ONLY
2025014343,-,FIRE ALARM,3/18/25  12:07:57AM,3/18/25  12:07:57AM,"WESTWOOD PALM APARTMENTS, 475 GAYLEY AVE",REPORT TAKEN
2025014285,25-0571,INVESTIGATION,3/14/25  12:00:00AM,3/17/25  3:40:00PM,Restricted,Unknown
2025014278,25-0570,DISORDERLY CONDUCT:ALCOHOL,3/17/25  6:49:00PM,3/17/25  7:17:00PM,"PARKING STRUCTURE 8, 555 WESTWOOD PZ",Unknown
2025014268,-,TRAFFIC COLLISION OPEN VEHICLE,3/17/25  5:03:02PM,3/17/25  5:03:02PM,WESTWOOD BLVD/WEYBURN AVE,CANCELLED BY REPORTING PARTY
2025014267,-,BURGLARY ALARM,3/17/25  5:02:34PM,3/17/25  5:02:34PM,500-BLOCK PORTOLA PZ,NON-CRIMINAL MATTER
2025014263,25-0569,PETTY THEFT - BICYCLES,3/17/25  4:19:05PM,3/17/25  4:19:06PM,10740 DICKSON PZ,Unknown
2025014257,25-0568,WARRANT ARREST,3/17/25  2:30:00PM,3/17/25  2:39:00PM,WESTHOLME AVE/HILGARD AVE,Unknown
2025014255,-,FIRE ALARM,3/17/25  2:23:19PM,3/17/25  2:23:19PM,"FACILITIES MANAGEMENT BUILDING, 731 CHARLES E YOUNG DR S",REPORT TAKEN
2025014250,25-0567,MISSING PERSON(S),3/17/25  4:13:53PM,3/17/25  4:13:54PM,ACKERMAN UNION,Unknown
2025014247,-,KEEP THE PEACE,3/17/25  12:25:58PM,3/17/25  12:25:58PM,267 DE NEVE DR,CANCELLED BY REPORTING PARTY
2025014246,25-0565,IDENTITY THEFT: GET CREDIT/ETC OTHER`S ID,2/15/25  12:00:00AM,2/15/25  12:00:00AM,601 WESTWOOD PZ,Unknown
2025014240,25-0566,VANDALISM:DESTROY OTHER`S PROPERTY,3/17/25  5:00:00AM,3/17/25  10:20:00AM,"FACTOR BUILDING, 700 TIVERTON DR",Unknown
2025014238,-,DISTURBING THE PEACE,3/17/25  11:22:41AM,3/17/25  11:22:41AM,430 CHARLES E YOUNG DR W,FIELD INTERVIEWED
2025014235,25-0564,THEFT BY USE OF ACCESS CARD INFORMATION,3/17/25  11:08:20AM,3/17/25  11:08:21AM,5504 S GARTH AVENUE,Unknown
2025014231,-,PETTY THEFT REPORT,3/17/25  10:38:57AM,3/17/25  10:38:57AM,757 WESTWOOD PZ,REFERRED TO OUTSIDE AGENCY
2025014230,-,FIRE ALARM,3/17/25  10:33:57AM,3/17/25  10:33:57AM,"COVEL COMMONS, 330 DE NEVE DR, Updated as of:",Unknown
2025014228,25-0563,THEFT BY USE OF ACCESS CARD INFORMATION,3/10/25  2:15:00PM,3/17/25  9:15:00AM,5336 VIRGINIA AVE,Unknown
2025014227,25-0562,BURGLARY,3/14/25  11:00:00AM,3/14/25  9:48:00PM,330 DE NEVE DR,Unknown
2025014224,-,MISC PC CODE VIOLATION,3/17/25  9:44:16AM,3/17/25  9:44:16AM,1010 VETERAN AVE,DETAIL HANDLED: NO REPORT
2025014219,-,BURGLARY ALARM,3/17/25  9:05:09AM,3/17/25  9:05:09AM,1000-BLOCK VETERAN AVE,NON-CRIMINAL MATTER
2025014211,-,UNAUTHORIZED SUBJECTS,3/17/25  8:18:04AM,3/17/25  8:18:04AM,885 TIVERTON DR,REFERRED TO OUTSIDE AGENCY
2025014205,25-0561,TRAFFIC COLLISION REPORT,3/17/25  7:15:00AM,3/17/25  7:15:00AM,199 STRATHMORE PL/WESTWOOD PZ,Unknown
2025014202,-,BURGLARY ALARM,3/17/25  7:17:18AM,3/17/25  7:17:18AM,500-BLOCK CHARLES E YOUNG DR E,NON-CRIMINAL MATTER
2025014198 2025014198 2025014198,25-0560 25-0560 25-0560,VIOLATE CIVIL RIGHTS BY FORCE OR THREAT OF FORCE (2) GRAND THEFT FROM PERSON (3) WARRANT ARREST,3/17/25  6:21:09AM  3/17/25  6:21:09AM  3/17/25  6:21:09AM,3/17/25  6:21:10AM  3/17/25  6:21:10AM  3/17/25  6:21:10AM,"300-BLOCK WESTWOOD PZ, 300-BLOCK WESTWOOD PZ, 300-BLOCK WESTWOOD PZ",Unknown
2025014195,25-0559,MENTAL DISORDER 72 HR OBSERVATION,3/17/25  3:44:00AM,3/17/25  3:44:00AM,600-BLOCK WESTWOOD PZ,Unknown
