Case Number,Date Reported,Date/Time Occurred,Location,Incident Type,Disposition
251347,3/23/25,3/23/25 18:20,46 Bypass/South of 17th Street,Operating While Intoxicated With Prior Conviction,Suspect Arrested
251345,3/23/25,3/23/25 15:20,IMU Pay Lot #2,Criminal Mischief Loss Up To $49999,Open Case
251344,3/23/25,3/22/25 19:15,USA Birch Hall,Fraud,Open Case
251343,3/23/25,3/12/25 21:00,Foster Exterior Grounds,All Other Theft Less Than $750,Open Case
251342,3/23/25,3/23/25 13:15,Carmichael Building,Possession Marijuana/Hash Oil/Hashish/Salvia,Suspect Arrested
251342,3/23/25,3/23/25 13:15,Carmichael Building,Possession Of Paraphernalia,Suspect Arrested
251342,3/23/25,3/23/25 13:15,Carmichael Building,Criminal Trespass,Suspect Arrested
251342,3/23/25,3/23/25 13:15,Carmichael Building,Obstruction Of Justice,Suspect Arrested
251337,3/22/25,3/23/25 1:45,Indiana Memorial Union,Criminal Trespass,Suspect Arrested
251337,3/22/25,3/23/25 1:45,Indiana Memorial Union,Possession Of Paraphernalia,Suspect Arrested
251324,3/20/25,3/19/25 21:29,Simon Music Library & Recital Center,Stalking - Clery,Open Case
251312,3/20/25,3/20/25 16:25,11th St/West Of Eagleson,Intimidation,Suspect Arrested
251312,3/20/25,3/20/25 16:25,11th St/West Of Eagleson,Public Intoxication By Alcohol,Suspect Arrested
251312,3/20/25,3/20/25 16:25,11th St/West Of Eagleson,Disorderly Conduct,Suspect Arrested
251300,3/19/25,3/14/25 17:00,USA Exterior Grounds,Criminal Mischief Loss Less Than $750,Open Case
251293,3/19/25,3/18/25 9:00,George Thomas Clubhouse,Leaving The Scene Of A Property Damage Crash,Open Case
251285,3/18/25,3/18/25 8:24,Indiana Memorial Union,Criminal Trespass,Suspect Arrested
251284,3/18/25,3/17/25 15:30,607 East 12th St,Theft From Motor Vehicle Less Than $750,Open Case
251283,3/18/25,3/18/25 0:00,Simon Music Library & Recital Center,Odor Of Marijuana,Failed To Locate
251276,3/17/25,3/17/25 0:23,Poplars Parking Garage,Possession Marijuana/Hash Oil/Hashish/Salvia,No Arrest
251275,3/16/25,3/16/25 12:42,Ballantine Hall,Burglary,Open Case
251268,3/15/25,3/15/25 11:40,Walnut Grove Center - Persimmon,Possession Of Paraphernalia,Referred To University Officials For Review
251268,3/15/25,3/15/25 11:40,Walnut Grove Center - Persimmon,Possession Marijuana/Hash Oil/Hashish/Salvia,Referred To University Officials For Review
251267,3/15/25,3/15/25 10:00,Willkie South,Possession Of Paraphernalia,Referred To University Officials For Review
251266,3/15/25,10/1/24 10:00,Foster Harper Hall,Stalking - Clery,Open Case
251266,3/15/25,10/1/24 10:00,Foster Harper Hall,Intimidation,Open Case
251265,3/15/25,3/15/25 0:56,Atwater Ave/East Of Eagleson,Operating While Intoxicated,Suspect Arrested
251263,3/14/25,5/1/23 0:00,Indiana Memorial Union,Battery With Minor Injury,Referred To University Officials For Review
251252,3/13/25,3/13/25 17:00,Bill Garrett Fieldhouse,Theft From Building Less Than $750,Victim Declined To Prosecute
251250,3/13/25,3/13/25 9:00,East Parking Garage,Leaving The Scene Of A Property Damage Crash,Open Case
251248,3/13/25,3/13/25 15:50,46 Bypass/North of 17th Street,Leaving The Scene Of A Property Damage Crash,Open Case
251244,3/13/25,3/13/25 14:24,Briscoe Quad,Possession Marijuana/Hash Oil/Hashish/Salvia,No Arrest
251241,3/13/25,3/13/25 14:24,Forest Quad,Theft From Building Less Than $750,Open Case
251240,3/13/25,3/13/25 14:24,Spruce Hall,Theft From Building Less Than $49999,Open Case
251233,3/13/25,3/5/25 8:00,Foster Harper Hall,Arson,Open Case
251232,3/13/25,3/13/25 1:45,Forest Quad,Intimidation,Referred To University Officials For Review
251231,3/13/25,3/13/25 0:58,Forest Quad,Possession Marijuana/Hash Oil/Hashish/Salvia,Referred To University Officials For Review
251230,3/12/25,3/12/25 20:20,McNutt Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251228,3/12/25,3/12/25 19:00,10th St/West Of Eagleton,Leaving The Scene Of A Property Damage Crash,Open Case
251225,3/12/25,4/19/24 3:00,3rd & Union Appartments,Rape,Open Case
251224,3/12/25,10/24/24 16:56,Willkie North,Theft From Building Less Than $750,Open Case
251222,3/12/25,10/6/24 16:46,McNutt Quad,Theft From Building Less Than $750,Open Case
251199,3/12/25,3/12/25 9:06,Lowell E Baier Hall,Criminal Stalking,Probable Cause Filed
251192,3/11/25,2/28/25 0:31,Forest Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251191,3/11/25,2/26/25 0:30,Forest Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251189,3/11/25,9/1/24 0:00,Ashton Johnston Hall,Theft From Building Less Than $750,Suspect Arrested
251188,3/11/25,9/1/24 0:00,Ashton Johnston Hall,Burglary,Suspect Arrested
251180,3/11/25,3/11/25 9:33,Ashton Johnston Hall,Burglary,Suspect Arrested
251175,3/10/25,3/10/25 19:09,Bill Garrett Fieldhouse,Battery With Minor Injury,Victim Declined To Prosecute
251171,3/10/25,3/10/25 14:45,Bill Garrett Fieldhouse,Theft From Building Less Than $750,Referred To University Officials For Review
251168,3/10/25,3/3/25 18:53,IU Police Department,Harassment,Open Case
251165,3/10/25,3/6/25 23:34,IU Health Bloomington Hospital,All Other Theft Less Than $750,Investigated By Other Agency
251164,3/10/25,3/6/25 16:35,IU Health Bloomington Hospital,All Other Theft Less Than $750,Investigated By Other Agency
251163,3/10/25,2/11/25 23:09,IU Health Bloomington Hospital,All Other Theft Less Than $750,Investigated By Other Agency
251162,3/10/25,2/16/25 23:34,IU Health Bloomington Hospital,All Other Theft Less Than $750,Investigated By Other Agency
251161,3/10/25,2/17/25 23:00,IU Health Bloomington Hospital,All Other Theft Less Than $750,Investigated By Other Agency
251160,3/10/25,2/25/25 16:35,IU Health Bloomington Hospital,All Other Theft Less Than $750,Investigated By Other Agency
251159,3/10/25,3/6/25 14:37,IU Health Bloomington Hospital,All Other Theft Less Than $750,Investigated By Other Agency
251158,3/10/25,3/6/25 14:30,IU Health Bloomington Hospital,All Other Theft Less Than $750,Investigated By Other Agency
251157,3/10/25,3/8/25 1:30,IU Health Bloomington Hospital,Intimidation,Investigated By Other Agency
251157,3/10/25,3/8/25 1:30,IU Health Bloomington Hospital,Disorderly Conduct,Investigated By Other Agency
251157,3/10/25,3/8/25 1:30,IU Health Bloomington Hospital,Resisting Law Enforcement,Investigated By Other Agency
251157,3/10/25,3/8/25 1:30,IU Health Bloomington Hospital,Criminal Trespass,Investigated By Other Agency
251151,3/9/25,3/9/25 18:00,Bill Garrett Fieldhouse,Theft From Building Less Than $750,Open Case
251147,3/9/25,3/9/25 23:30,10th St Lot,Theft From Motor Vehicle Less Than $49999,Open Case
251146,3/9/25,3/9/25 12:19,USA Cypress,Cooking Fire,Records Only
251141,3/9/25,3/9/25 3:49,Indiana Memorial Union,False Identity Statement,Suspect Issued Trespass Warning
251140,3/8/25,2/16/25 16:00,USA Linden Hall,Criminal Conversion,Referred To University Officials For Review
251140,3/8/25,2/16/25 16:00,USA Linden Hall,Criminal Trespass,Referred To University Officials For Review
251139,3/8/25,3/8/25 19:45,46 Bypass/South of 17th Street,Leaving The Scene Of A Property Damage Crash,No Arrest
251137,3/8/25,3/6/25 12:00,Alpha Epsilon Pi,All Other Theft Less Than $750,Open Case
251135,3/8/25,3/6/25 12:00,Alpha Epsilon Pi,All Other Theft Less Than $750,Open Case
251135,3/8/25,3/8/25 0:00,USA Beech Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251117,3/7/25,3/7/25 14:15,Foster Harper Hall,Criminal Trespass,Probable Cause Filed
251117,3/7/25,3/7/25 14:15,Foster Harper Hall,False Identity Statement,Probable Cause Filed
251117,3/7/25,3/7/25 14:15,Foster Harper Hall,False Reporting/False Informing,Probable Cause Filed
251116,3/7/25,1/1/25 0:00,Eigenmann Hall,Domestic Battery Or Minor Bodily Injury,Referred To University Officials For Review
251116,3/7/25,1/1/25 0:00,Eigenmann Hall,Rape,Referred To University Officials For Review
251112,3/7/25,1/28/25 12:00,Sigma Delta Tau,Hazing - Clery,Referred To University Officials For Review
251111,3/7/25,2/1/25 19:00,Sigma Delta Tau,Hazing - Clery,Referred To University Officials For Review
251110,3/7/25,3/6/25 0:59,Discovery Parkway/North of 10th,"Possession Schedule I, II, III, IV, V",Investigated By Other Agency
251110,3/7/25,3/6/25 0:59,Discovery Parkway/North of 10th,Possession Marijuana/Hash Oil/Hashish/Salvia,Investigated By Other Agency
251104,3/6/25,8/23/24 20:00,Foster Harper Hall,Domestic Battery with Moderate Bodily Injury,Probable Cause Filed
251103,3/6/25,1/18/25 16:30,Foster Martin Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251100,3/6/25,1/18/25 16:30,Foster Harper Hall,Domestic Battery with Moderate Bodily Injury,Probable Cause Filed
251100,3/6/25,1/18/25 16:30,Foster Harper Hall,Strangulation,Probable Cause Filed
251100,3/6/25,1/18/25 16:30,Foster Harper Hall,Stalking - Clery,Probable Cause Filed
251099,3/6/25,3/6/25 15:50,Henderson Parking Garage,Leaving The Scene Of A Property Damage Crash,Referred To University Officials For Review
251092,3/6/25,2/16/25 15:30,Ballantine Hall,Hazing - Clery,Referred To University Officials For Review
251090,3/6/25,2/26/25 0:00,Alpha Sigma Pi,Hazing - Clery,Referred To University Officials For Review
251089,3/6/25,3/13/25 15:24,Phi Gamma Delta,Hazing - Clery,Referred To University Officials For Review
251088,3/6/25,3/5/25 9:31,Luddy Hall,Fraud,Investigated By Other Agency
251086,3/6/25,3/4/25 10:27,701 East 10th St,All Other Theft Less Than $750,Investigated By Other Agency
251082,3/6/25,3/5/25 9:00,215 N Indiana,Criminal Trespass,Open Case
251082,3/6/25,3/5/25 9:00,215 N Indiana,Criminal Mischief Loss Up To $49999,Open Case
251080,3/6/25,3/5/25 0:00,Briscoe Quad,Intimidation,Open Case
251080,3/6/25,3/5/25 0:00,Briscoe Quad,Stalking - Clery,Open Case
251076,3/5/25,3/5/25 21:30,Briscoe Quad,Possession Marijuana/Hash Oil/Hashish/Salvia,Open Case
251073,3/5/25,3/3/25 12:00,Teter Quad,Fraud,Open Case
251071,3/5/25,3/2/25 0:00,All Other Fraternity/Sorority,Rape,Open Case
251068,3/5/25,3/1/25 3:00,Foster Jenkinson Hall,Residential Entry With No Felony Theft Intent,Suspect Issued Trespass Warning
251044,3/4/25,2/22/25 23:00,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251043,3/4/25,2/22/25 0:15,Teter Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251042,3/4/25,2/21/25 22:15,Eigenmann Hall,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251041,3/4/25,2/20/25 19:00,Walnut Grove Center - Persimmon,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
251040,3/4/25,2/21/25 0:00,Collins Smith Hall,Odor Of Marijuana,Failed To Locate
251039,3/4/25,3/4/25 3:00,Tau Epsilon Phi,All Other Theft Less Than $750,Open Case
251039,3/4/25,3/4/25 3:00,Tau Epsilon Phi,Criminal Mischief Loss Less Than $750,Open Case
251035,3/4/25,3/4/25 0:25,Briscoe Quad Exterior Grounds,Battery No Injury,Open Case
251035,3/4/25,3/4/25 0:25,Briscoe Quad Exterior Grounds,Odor Of Marijuana,Open Case
251034,3/3/25,3/3/25 23:11,McNutt Quad Exterior Grounds,Stalking - Clery,Open Case
251033,3/3/25,3/3/25 22:00,Bill Garrett Fieldhouse,Theft From Building Less Than $750,Open Case
251032,3/3/25,3/3/25 21:52,Art Museum Parking Lot,Vehicle Theft,Open Case
251031,3/3/25,3/1/25 23:00,Eigenmann Parking Lot,Theft From Building Less Than $750,Open Case
251030,3/3/25,3/3/25 18:10,3rd St/West of Eagleton,Battery No Injury,Open Case
251030,3/3/25,3/3/25 18:10,3rd St/West of Eagleton,Intimidation,Open Case
251029,3/3/25,2/28/25 20:00,10th St Lot,Theft From Building Less Than $750,Victim Declined To Prosecute
251027,3/3/25,3/3/25 23:50,Library Lot,Leaving The Scene Of A Property Damage Crash,Open Case
251025,3/3/25,3/3/25 8:08,Cyberinfrastructure Building,Identity Deception,Open Case
251025,3/3/25,3/3/25 8:08,Cyberinfrastructure Building,Fraud,Open Case
251022,3/3/25,3/3/25 15:00,518 E 7th,Burglary,Open Case
251021,3/3/25,1/1/25 0:00,Bill Garrett Fieldhouse,Stalking - Clery,Referred To University Officials For Review
251020,3/3/25,3/2/25 3:06,Kilroys on Kirkwood,Strangulation,Investigated By Other Agency
251020,3/3/25,3/2/25 3:06,Kilroys on Kirkwood,Battery With Minor Injury,Investigated By Other Agency
251019,3/3/25,3/2/25 5:16,IU Health Bloomington Hospital,Battery No Injury,Investigated By Other Agency
251019,3/3/25,3/2/25 5:16,Forest Quad Exterior Ground,Vehicle Theft,Suspect Arrested
251010,3/2/25,3/2/25 18:36,Forest Quad Exterior Ground,Criminal Trespass,Suspect Arrested
251010,3/2/25,3/2/25 18:36,Forest Quad Exterior Ground,Criminal Mischief Loss Less Than $750,Suspect Arrested
251010,3/2/25,3/2/25 18:36,Forest Quad Exterior Ground,All Other Theft Less Than $750,Suspect Arrested
251004,3/2/25,3/2/25 4:00,Walnut Grove Center - Persimmon,Possession Marijuana/Hash Oil/Hashish/Salvia,Open Case
251003,3/2/25,3/2/25 1:00,10th St/East Of Eagleton,Operating While Intoxicated,Suspect Arrested
251003,3/2/25,3/2/25 1:00,10th St/East Of Eagleton,Illegal Consumption/Possession Of Alcohol By Minor,Suspect Arrested
251002,3/1/25,3/1/25 20:26,Atwater Ave/West Of Eagleson,Reckless Driving,Suspect Arrested
250999,3/1/25,2/28/25 20:00,Foster Back Lot,Criminal Mischief Loss Less Than $750,Open Case
250997,3/1/25,2/27/25 23:00,Beta Sigma Psi,Illegal Consumption/Possession Of Alcohol By Minor,No Arrest
250996,3/1/25,2/28/25 22:00,Briscoe Quad,Illegal Consumption/Possession Of Alcohol By Minor,No Arrest
250994,3/1/25,2/27/25 23:00,Beta Sigma Psi,Aggravated Battery,Open Case
250994,3/1/25,2/27/25 23:00,Beta Sigma Psi,Illegal Consumption/Possession Of Alcohol By Minor,Open Case
250993,3/1/25,3/1/25 0:00,Beta Sigma Psi,Aggravated Battery,Open Case
250992,3/1/25,2/28/25 11:18,Beta Sigma Psi,Aggravated Battery,Open Case
250991,2/28/25,2/28/25 22:02,Kappa Alpha Theta,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250990,2/28/25,2/28/25 20:10,Bill Garrett Fieldhouse,Theft From Building Less Than $750,Open Case
250986,2/28/25,2/28/25 17:55,Indiana Memorial Union,Intimidation,Open Case
250985,2/28/25,2/24/25 0:00,Eigenmann Hall,Criminal Mischief Loss Less Than $750,Open Case
250981,2/28/25,1/22/25 18:00,Indiana Memorial Union,Theft From Building Less Than $750,Open Case
250980,2/28/25,2/14/25 12:00,Indiana Memorial Union,Theft From Building Less Than $750,Open Case
250973,2/28/25,2/11/25 0:00,Teter Quad,Stalking - Clery,Referred To University Officials For Review
250972,2/28/25,2/20/25 4:00,1901 E 10th St,Leaving The Scene Of A Property Damage Crash,Investigated By Other Agency
250970,2/28/25,2/28/25 10:19,46 Bypass/North of 17th Street,Driving While Suspended - Prior Suspension,Suspect Arrested
250968,2/28/25,2/28/25 2:49,3rd St/East of Eagleson,Operating Without Ever Obtaining License,Suspect Arrested
250967,2/28/25,2/27/25 22:30,Forest Quad,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250966,2/28/25,2/27/25 0:21,Theta Chi,Refusal To Leave An Incident Area,Open Case
250966,2/28/25,2/27/25 0:21,Theta Chi,False Reporting/False Informing,Open Case
250965,2/27/25,2/27/25 22:46,Read Center Exterior Grounds,Driving While Suspended - Prior Suspension,Suspect Arrested
250963,2/27/25,2/27/25 16:00,Union Street/North of 10th,All Other Theft Less Than $750,No Arrest
250961,2/27/25,2/26/25 22:12,IU Police Department,Harassment,Open Case
250960,2/27/25,2/27/25 12:00,Bill Garrett Fieldhouse,Confinement,Victim Declined To Prosecute
250958,2/27/25,2/18/25 4:44,Chi Phi,All Other Theft Less Than $750,Open Case
250955,2/27/25,2/22/25 0:00,Read Hall,Sexual Battery,Referred To University Officials For Review
250955,2/27/25,2/22/25 0:00,Read Hall,Battery No Injury,Referred To University Officials For Review
250953,2/27/25,12/11/24 11:32,Campus View Apts,Intimidation,Open Case
250953,2/27/25,12/11/24 11:32,Campus View Apts,Stalking - Clery,Open Case
250950,2/27/25,12/11/24 7:55,Henderson Parking Garage,Criminal Trespass,Suspect Arrested
250946,2/27/25,2/27/25 0:00,Kappa Alpha Theta,Illegal Consumption/Possession Of Alcohol By Minor,Referred To University Officials For Review
250939,2/26/25,2/26/25 21:15,Collins Smith Hall,Possession Marijuana/Hash Oil/Hashish/Salvia,Referred To University Officials For Review
250935,2/26/25,2/26/25 18:58,Fee Lane/North of 10th St,Leaving The Scene Of A Property Damage Crash,Open Case
250932,2/26/25,12/1/24 0:00,Walnut Grove Center - Chestnut,Theft From Building Less Than $750,Open Case
