Case Number,Date/Time Reported,Incident Type,Date/Time Occurred,Location,Disposition
2025-00776,2/8/25 19:05,Liquor Law - Liquor Law - Illegal Possession,2/8/25 19:00,1300 Residence Hall - On Campus - Residential Facility,Referred To The Student Code Of Conduct
2025-00780,2/8/25 20:32,Theft - Theft Except Auto Thefts $50 To $199.99 From Bldg.,2/8/25 16:30,Temple Towers - On Campus - Residential Facility,Investigation Is Ongoing
2025-00781,2/9/25 0:58,Assault - Harassment,2/9/25 0:30,1500 Block N 17TH Street - Patrol Jurisdiction,Exceptionally Cleared
2025-00783,2/9/25 3:18,Assault - Assault-Domestic,2/9/25 3:10,2100 Block N 15TH Street - Patrol Jurisdiction,Referred For Protection From Abuse
2025-00796,2/9/25 16:37,Assault - Harassment,2/9/25 16:00,1800 Block N Bouvier Street - Patrol Jurisdiction,Referred To The Student Code Of Conduct
2025-00798,2/9/25 18:46,Assault - Harassment,2/9/25 18:15,1800 Block N Bouvier Street - Patrol Jurisdiction,Investigation Is Ongoing
2025-00819,2/9/25 21:50,Assault - Harassment,2/9/25 21:10,James S White Hall - On Campus - Residential Facility,Referred For Private Criminal Complaint
2025-00802,2/9/25 21:50,Assault - Other Assaults,2/9/25 21:10,James S White Hall - On Campus - Residential Facility,Referred For Private Criminal Complaint
2025-00812,2/9/25 22:57,Vandalism - Graffiti-Vandalism Under $500,2/9/25 22:57,Liacouras Center - On Campus,Investigation Is Ongoing
2025-00805,2/9/25 23:24,Assault - Agr Assault By Knife Or Cutting Instrument,2/9/25 22:20,James S White Hall - On Campus - Residential Facility,Investigation Is Ongoing
2025-00808,2/10/25 0:16,Assault - Assault-Assault On Police - Non Philadelphia,2/10/25 0:10,Temple Police HQ 1801 - On Campus,An Arrest Was Made
2025-00804,2/10/25 0:32,Drunkeness - Public Drunkeness,2/10/25 0:32,1300 Block Cecil B Moore Avenue - Public property,Exceptionally Cleared
2025-00813,2/10/25 4:18,Theft - Theft Except Auto Thefts $200 And Over Building,2/9/25 20:30,1900 Block N 17TH Street - Patrol Jurisdiction,Investigation Is Ongoing
2025-00840,2/10/25 7:58,Disorderly Conduct - Disorderly Conduct,2/10/25 0:15,1600 Block N Broad Street - Public property,An Arrest Was Made
2025-00842,2/10/25 9:49,Disorderly Conduct - Disorderly Conduct,2/10/25 0:15,1600 Block N Broad Street - Public property,An Arrest Was Made
2025-00817,2/10/25 10:37,Assault - Harassment,2/10/25 20:30,The Nest - Patrol Jurisdiction,Referred To The Student Code Of Conduct
2025-00820,2/10/25 11:27,Theft - Theft From Vehicle Accessories $50 To $199.99,2/10/25 2:00,1900 Block N 10TH Street - Patrol Jurisdiction,Investigation Is Ongoing
2025-00822,2/10/25 15:31,Drunkeness - Public Drunkeness,2/10/25 15:31,CVS - Patrol Jurisdiction,An Arrest Was Made
2025-00830,2/10/25 19:37,Theft - Theft Except Auto Thefts $50 To $199.99 Retail,2/10/25 19:32,Rally House - Patrol Jurisdiction,Investigation Is Ongoing
2025-00832,2/10/25 21:45,Assault - Assault-Stalking,1/29/25 21:45,Morgan Hall North - On Campus - Residential Facility,Referred For Protection From Abuse
2025-00834,2/10/25 22:53,Assault - Other Assaults,2/9/25 20:00,1900 Block N 18TH Street - Patrol Jurisdiction,Investigation Is Ongoing
2025-00844,2/11/25 10:29,Theft - Theft Except Auto Thefts $50 To $199.99 Retail,2/11/25 10:10,Foot Locker - Patrol Jurisdiction,Investigation Is Ongoing
2025-00849,2/11/25 12:19,Theft - Theft Under $50 Incl Attempts Pocket Picking,2/11/25 12:12,CVS - Patrol Jurisdiction,Investigation Is Ongoing
2025-00855,2/11/25 17:21,Assault - Assault-Domestic,2/11/25 17:00,1000 Blk. W. Berks St. (Private Res/Bus) - Patrol Jurisdiction,Referred For Protection From Abuse
2025-00856,2/11/25 17:38,Vandalism - Vandalism-Criminal Mischief Priv Prop $500 To $999,2/9/25 17:00,1800 Block N Bouvier Street - Patrol Jurisdiction,Investigation Is Ongoing
2025-00857,2/11/25 19:25,Theft - Theft Under $50 Incl Attempts Retail Theft,2/11/25 19:18,CVS - Patrol Jurisdiction,Investigation Is Ongoing
2025-00871,2/12/25 15:29,Theft - Theft Except Auto Thefts $200 And Over All Other,2/12/25 14:45,Raising Canes - Patrol Jurisdiction,Investigation Is Ongoing
2025-00872,2/12/25 16:36,Other Offense - Other Offenses - Harassment By Communication,1/27/25 20:00,Morgan Hall South - On Campus - Residential Facility,Investigation Is Ongoing
2025-00878,2/12/25 21:44,Assault - Other Assaults,2/12/25 20:30,1400 Block W Jefferson Street - Public property,Investigation Is Ongoing
2025-00888,2/13/25 8:06,Robbery - Robbery Hijack Of Vehicle No Weapon,2/12/25 13:45,Sunoco Gas Station - Patrol Jurisdiction,An Arrest Was Made
2025-00896,2/13/25 13:10,Theft - Theft Except Auto Thefts $200 And Over Building,2/13/25 8:00,Temple University Hospital - On Campus,Investigation Is Ongoing
2025-00898,2/13/25 13:54,Auto Theft - Auto Theft Stolen All Other Motor Vehicles,2/11/25 15:30,1800 Block N 15th Street - Public property,Investigation Is Ongoing
2025-00919,2/14/25 11:21,Narcotic - Narcotic Drug Laws Possession Marijuana,2/14/25 11:21,1600 Block N Broad Street - Public property,Code Violation Notice Issued
2025-00920,2/14/25 11:31,Auto Theft - Auth Theft Stolen Passenger Vehicle,2/14/25 8:00,Liacouras Center Parking Garage - On Campus,An Arrest Was Made
2025-00926,2/14/25 14:13,Drunkeness - Public Drunkeness,2/14/25 14:13,900 Block W Montgomery Avenue - Public property,Modified Date: 03/24/25 - Mon At 09:28
2025-01107,2/14/25 15:02,Weapons - Weapons-Adult Carrying On Public Street W/O Lic.,2/14/25 15:02,1700 Block N Broad Street - Public property,An Arrest Was Made
2025-00927,2/14/25 15:02,Assault - Other Assaults-Terroristic Threat,2/14/25 15:02,Morgan Dining Hall - On Campus - Residential Facility,An Arrest Was Made
2025-00933,2/14/25 16:33,Vandalism - Vandalism-Criminal Mischief Priv Prop $1K To $4999,2/13/25 20:00,1500 Block W Oxford Street - Patrol Jurisdiction,Modified Date: 02/15/25 - Sat At 08:45
2025-00939,2/14/25 17:47,Vandalism - Vandalism-Criminal Mischief Priv Prop $1K To $4999,2/14/25 11:00,Liacouras Center Parking Garage - On Campus,Investigation Is Ongoing
2025-00948,2/14/25 20:46,Vandalism - Vandalism-Criminal Mischief Priv Prop $500 To $999,2/14/25 13:00,Liacouras Center Parking Garage - On Campus,Investigation Is Ongoing
2025-00951,2/14/25 21:28,Assault - Harassment,2/14/25 21:20,1500 Block Cecil B Moore Avenue - Public property,Investigation Is Ongoing
2025-00958,2/15/25 7:50,Vandalism - Vandalism-Criminal Mischief Priv Prop $500 To $999,2/14/25 23:00,1700 Block N 11th Street - Patrol Jurisdiction,Investigation Is Ongoing
2025-00963,2/15/25 11:29,Assault - Harassment,9/28/24 2:00,Hardwick Hall Residence (Tower) - On Campus - Residential Facility,Referred To The Student Code Of Conduct
2025-00965,2/15/25 13:04,Assault - Other Assaults-Terroristic Threat,2/15/25 13:00,Temple University Hospital - On Campus,Investigation Is Ongoing
2025-00971,2/15/25 16:24,Vandalism - Vandalism-Criminal Mischief Priv Prop $500 To $999,2/15/25 16:00,Liacouras Center Parking Garage - On Campus,Investigation Is Ongoing
2025-00981,2/16/25 1:45,Liquor Law - Liquor Law-Minors,2/16/25 1:45,1300 Residence Hall - On Campus - Residential Facility,Referred To The Student Code Of Conduct
2025-00992,2/16/25 12:35,Assault - Harassment,2/16/25 11:45,Avery Philly Apartments - Patrol Jurisdiction,Referred For Private Criminal Complaint
2025-01007,2/16/25 21:58,Theft - Theft Except Auto Thefts $50 To $199.99 From Bldg.,2/16/25 21:20,1300 Residence Hall - On Campus - Residential Facility,Investigation Is Ongoing
2025-01008,2/16/25 23:28,Vandalism - Vandalism-Criminal Mischief Priv Prop $500 To $999,2/16/25 23:20,7-Eleven - On Campus,Investigation Is Ongoing
2025-01009,2/16/25 23:51,Disorderly Conduct - Disorderly Conduct,2/16/25 23:51,Temple University Hospital - On Campus,An Arrest Was Made
2025-01020,2/17/25 11:58,Assault - Other Assaults-Recklessly Endangering Another Per.,2/17/25 11:58,Medical Education and Research Building (MERB) - On Campus,Investigation Is Ongoing
2025-01030,2/17/25 18:09,Vandalism - Vandalism-Criminal Mischief Priv Prop $500 To $999,2/17/25 17:30,1500 Block W Oxford Street - Patrol Jurisdiction,Referred For Private Criminal Complaint
2025-01040,2/18/25 1:20,Homicide - Homicide Willfull/Non-Negligent By Handgun,2/18/25 1:10,1600 Block N Willington Street - Patrol Jurisdiction,An Arrest Was Made
2025-01041,2/18/25 3:05,Theft - Theft Except Auto Thefts $50 To $199.99 From Bldg.,2/18/25 0:00,Temple University Hospital - On Campus,Investigation Is Ongoing
2025-01044,2/18/25 9:32,Theft - Theft Except Auto Thefts $200 And Over All Other,2/17/25 6:30,Liacouras Center Parking Garage - On Campus,Investigation Is Ongoing
2025-01048,2/18/25 12:37,Auto Theft - Auto Theft Stolen All Other Motor Vehicles,2/18/25 9:00,1700 Block N 13th Street - Public property,Investigation Is Ongoing
2025-01052,2/18/25 16:00,Auto Theft - Auto Theft Stolen All Other Motor Vehicles,2/18/25 12:25,1700 Block N 13th Street - Public property,Modified Date: 02/18/25 - Tue At 20:24
2025-01057,2/18/25 17:59,Theft - Theft Except Auto Thefts $50 To $199.99 All Other,2/18/25 17:00,Temple University Hospital - On Campus,Investigation Is Ongoing
2025-01065,2/19/25 1:56,Theft - Theft Except Auto Thefts $50 To $199.99 From Bldg.,2/18/25 23:52,Temple University Hospital - On Campus,Investigation Is Ongoing
2025-01081,2/19/25 16:01,Other Offense - Other Offenses - Harassment By Communication,2/19/25 13:00,1300 Residence Hall - On Campus - Residential Facility,Investigation Is Ongoing
2025-01084,2/19/25 18:44,Auto Theft - Auth Theft Stolen Passenger Vehicle,2/19/25 18:39,1500 Block N Broad Street - Public property,Investigation Is Ongoing
2025-01090,2/19/25 22:30,Assault - Other Assaults,2/19/25 22:20,Johnson Hall Residence (Tower) - On Campus - Residential Facility,Referred To The Student Code Of Conduct
2025-01100,2/20/25 7:41,Theft - Theft Under $50 Incl Attempts Retail Theft,2/20/25 7:41,CVS - Patrol Jurisdiction,Exceptionally Cleared
2025-01110,2/20/25 8:48,Weapons - Weapons-Adult Carrying On Public Street W/O Lic.,2/20/25 8:48,Temple University Hospital - On Campus,An Arrest Was Made
2025-01109,2/20/25 12:40,Theft - Theft Except Auto Thefts $50 To $199.99 From Bldg.,2/20/25 12:30,Temple University Hospital - On Campus,Investigation Is Ongoing
2025-01116,2/20/25 22:26,Assault - Harassment,2/20/25 22:10,Avery Philly Apartments - Patrol Jurisdiction,Referred For Private Criminal Complaint
2025-01117,2/20/25 22:27,Assault - Other Assaults,2/20/25 22:08,James S White Hall - On Campus - Residential Facility,Referred To The Student Code Of Conduct
2025-01118,2/20/25 23:22,Theft - Theft Under $50 Incl Attempts All Other,2/20/25 16:30,Avery Philly Apartments - Patrol Jurisdiction,Referred To The Student Code Of Conduct
2025-01120,2/21/25 0:39,Assault - Other Assaults,2/21/25 0:20,2100 Block N Broad Street - Public property,Referred To The Student Code Of Conduct
2025-01121,2/21/25 2:38,Liquor Law - Liquor Law-Minors,2/21/25 2:38,James S White Hall - On Campus - Residential Facility,Referred To The Student Code Of Conduct
2025-01125,2/21/25 8:12,Assault - Agg Assualt Domestic - Other Dangerous Weapon,2/20/25 12:36,2100 Block N 15TH Street - Patrol Jurisdiction,An Arrest Was Made
2025-01126,2/21/25 8:31,"Theft - Theft From Vehicle Non Accessory, $200 And Over",2/19/25 18:00,3300 Block N Park Avenue - Public property,Investigation Is Ongoing
2025-01128,2/21/25 9:09,Assault - Other Assaults,2/21/25 0:22,2100 Block N Broad Street - Public property,Referred To The Student Code Of Conduct
2025-01130,2/21/25 12:07,Theft - Theft Except Auto Thefts $50 To $199.99 All Other,2/21/25 10:40,1700 Blk. N. Sydenham St. (Private Res/Bus) - Patrol Jurisdiction,Investigation Is Ongoing
2025-01137,2/21/25 16:01,Auto Theft - Auto Theft Stolen All Other Motor Vehicles,2/21/25 9:20,1800 Block Liacouras Walk - On Campus,Investigation Is Ongoing
2025-01141,2/21/25 23:23,Assault - Agg Assault - Handgun,2/21/25 23:17,1500 Block N Broad Street - Public property,Investigation Is Ongoing
2025-01195,2/22/25 0:15,Disorderly Conduct - Disorderly Conduct,2/22/25 0:15,1400 Block N Broad Street - Public property,An Arrest Was Made
2025-01197,2/22/25 0:15,Disorderly Conduct - Disorderly Conduct,2/22/25 0:15,1400 Block N Broad Street - Public property,An Arrest Was Made
2025-01142,2/22/25 0:23,Assault - Other Assaults,2/22/25 0:15,1400 Block N Broad Street - Public property,An Arrest Was Made
2025-01143,2/22/25 1:40,Liquor Law - Liquor Law-Minors,2/22/25 1:40,Johnson Hall Residence (Tower) - On Campus - Residential Facility,Referred To The Student Code Of Conduct
2025-01163,2/22/25 20:13,Theft - Theft Except Auto Thefts $200 And Over Building,2/22/25 19:45,IBC Student Recreation Center - On Campus,Investigation Is Ongoing
2025-01175,2/23/25 11:38,Assault - Other Assaults-Terroristic Threat,2/23/25 11:30,Temple University Hospital - On Campus,Exceptionally Cleared
2025-01176,2/23/25 11:53,Vandalism - Vandalism-Criminal Mischief Priv Prop $1K To $4999,2/21/25 15:00,1700 Block N 10TH Street - Public property,Investigation Is Ongoing
2025-01178,2/23/25 14:01,Fraud - Credit Cards,2/23/25 14:01,7-Eleven - On Campus,An Arrest Was Made
2025-01190,2/23/25 21:57,Investigation - Investigation-Arrest For Other Jurisdiction W/I Pa,2/23/25 21:57,2000 Block N Broad Street - Public property,An Arrest Was Made
2025-01191,2/24/25 1:36,Assault - Harassment,2/24/25 1:35,Temple University Hospital - On Campus,Exceptionally Cleared
2025-01201,2/24/25 11:04,Theft - Theft Except Auto Thefts $200 And Over Building,2/7/25 11:00,Ambler Learning Center - On Campus,Investigation Is Ongoing
2025-01207,2/24/25 16:21,Theft - Theft Except Auto Thefts $50 To $199.99 All Other,2/24/25 16:18,1900 Block Liacouras Walk - On Campus,Investigation Is Ongoing
2025-01206,2/24/25 16:32,Theft - Theft Under $50 Incl Attempts Retail Theft,2/14/25 3:15,7-Eleven - Patrol Jurisdiction,Referred To The Student Code Of Conduct
2025-01216,2/24/25 23:37,Investigation - Investigation-Arrest For Other Jurisdiction W/I Pa // Weapons -,2/24/25 20:30,1200 Block Cecil B Moore Avenue - Public property,An Arrest Was Made
2025-01219,2/25/25 8:44,Robbery - Robbery - Highway No Weapon,2/24/25 14:40,1200 Block N Broad Street - Patrol Jurisdiction,Investigation Is Ongoing
2025-01223,2/25/25 10:02,Theft - Theft Under $50 Incl Attempts Retail Theft,2/25/25 10:00,CVS - Patrol Jurisdiction,Exceptionally Cleared
2025-01238,2/25/25 21:02,Assault - Harassment,2/25/25 20:55,Howard Gittis Student Center - On Campus,Investigation Is Ongoing
2025-01246,2/26/25 9:40,"Theft - Theft From Vehicle Non Accessory, $200 And Over",2/20/25 22:00,Montgomery Avenue Parking Garage - On Campus,Investigation Is Ongoing
2025-01270,2/26/25 9:40,Burglary - Burglary Non Res/Night/Force 6Pm - 6Am,2/26/25 3:00,Montgomery Avenue Parking Garage - On Campus,Investigation Is Ongoing
2025-01248,2/26/25 10:45,Vandalism - Vandalism-Criminal Mischief Priv Property < $500,2/25/25 20:00,2100 Block N Camac Street - Patrol Jurisdiction,Investigation Is Ongoing
2025-01252,2/26/25 14:39,Other Offense - Other Offenses - Harassment By Communication,2/24/25 10:00,Pita Chip - Patrol Jurisdiction,Referred For Private Criminal Complaint
2025-01263,2/26/25 21:04,Stolen Property - Stolen Property-Receiving Stolen Property,2/26/25 21:04,2000 Block N Broad Street - Public property,An Arrest Was Made
2025-01265,2/26/25 21:29,Sex Offense - Sex Offenses-Indecent Assault,2/26/25 21:20,1400 Block Cecil B Moore Avenue - Public property,Investigation Is Ongoing
2025-01264,2/26/25 21:42,Assault - Harassment,2/26/25 21:20,1500 Block N Broad Street - Public property,Investigation Is Ongoing
2025-01268,2/27/25 2:23,Theft - Theft Except Auto Thefts $200 And Over Building,2/27/25 2:10,Temple University Hospital - On Campus,Exceptionally Cleared
2025-01271,2/27/25 9:18,Vandalism - Vandalism-Criminal Mischief Priv Prop $1K To $4999,2/26/25 23:50,1900 Block N 9TH Street - Patrol Jurisdiction,Investigation Is Ongoing
2025-01275,2/27/25 12:18,Auto Theft - Auto Theft Stolen All Other Motor Vehicles,2/27/25 11:00,1800 Block N Broad Street - Public property,Investigation Is Ongoing
2025-01276,2/27/25 13:02,Vandalism - Vandalism-Criminal Mischief Priv Property < $500,2/27/25 13:02,Pharmacy Allied Health Building - On Campus,Investigation Is Ongoing
2025-01280,2/27/25 15:48,Vandalism - Graffiti-Vandalism Under $500,2/27/25 15:48,Tyler School of Art and Architecture - On Campus,Investigation Is Ongoing
2025-01287,2/28/25 1:08,Assault - Assault-Domestic,2/28/25 0:30,Avery Philly Apartments - Patrol Jurisdiction,Referred For Protection From Abuse
2025-01290,2/28/25 1:23,Assault - Harassment,2/28/25 1:23,Temple University Hospital - On Campus,Exceptionally Cleared
2025-01299,2/28/25 12:26,Vandalism - Graffiti-Vandalism $500 To $999.99,2/28/25 12:26,Tuttleman Learning Center - On Campus,Investigation Is Ongoing
2025-01300,2/28/25 12:40,Theft - Theft Except Auto Thefts $200 And Over Building,2/28/25 12:30,1700 Block N 17TH Street - Patrol Jurisdiction,Investigation Is Ongoing
2025-01312,2/28/25 19:15,Vandalism - Vandalism-Criminal Mischief Priv Prop $1K To $4999,2/28/25 19:15,1600 Block N 13th Street - Public property,Exceptionally Cleared
2025-01309,2/28/25 20:49,Assault - Harassment // Theft - Theft Except Auto Thefts $200 And Over All Other,2/28/25 20:49,1700 N Broad Street - On Campus,Investigation Is Ongoing
2025-01319,3/1/25 1:39,Assault - Harassment // Liquor Law - Liquor Law-Minors,3/1/25 1:39,1940 Residence Hall - On Campus - Residential Facility,Referred To The Student Code Of Conduct
2025-01317,3/1/25 1:50,Liquor Law - Liquor Law-Minors,3/1/25 1:50,The View - Patrol Jurisdiction,Referred To The Student Code Of Conduct
2025-01318,3/1/25 1:58,Liquor Law - Liquor Law-Minors,3/1/25 1:58,Temple Towers - On Campus - Residential Facility,Referred To The Student Code Of Conduct
2025-01322,3/1/25 6:44,Assault - Harassment,3/1/25 6:30,Temple University Hospital - On Campus,Referred For Private Criminal Complaint
2025-01331,3/1/25 12:41,Theft - Theft Under $50 Incl Attempts Retail Theft,3/1/25 12:35,CVS - Patrol Jurisdiction,Exceptionally Cleared
2025-01333,3/1/25 14:48,Investigation - Investigation-Arrest For Other Jurisdiction W/I Pa,3/1/25 14:36,1200 Block N Broad Street - Patrol Jurisdiction,Investigation Is Ongoing
2025-01336,3/1/25 16:13,Theft - Theft Except Auto Thefts $200 And Over All Other,3/1/25 13:00,1100 Block W Montgomery Avenue - Public property,Investigation Is Ongoing
2025-01343,3/1/25 22:18,Assault - Harassment // Burglary - Burglary Res/Night/Force 6Pm-6Am Attempts,3/1/25 22:12,1500 Block N 16TH Street - Patrol Jurisdiction,An Arrest Was Made
2025-01352,3/2/25 12:55,Vandalism - Graffiti-Vandalism Under $500,3/2/25 12:55,Boyer Pavilion - On Campus,Investigation Is Ongoing
2025-01363,3/3/25 1:16,Assault - Harassment,3/3/25 1:16,Temple University Hospital - On Campus,Exceptionally Cleared
2025-01368,3/3/25 7:16,Narcotic - Narcotic Drug Laws Possession Marijuana,3/3/25 7:16,Temple University Hospital - On Campus,Code Violation Notice Issued
2025-01373,3/3/25 11:28,Burglary - Burglary Non Res/No Force 6Pm-6Am Chain Store,3/3/25 5:30,Bagels & Co - On Campus,Investigation Is Ongoing
2025-01372,3/3/25 11:38,Other Offense - Other Offenses - Harassment By Communication,1/22/25 11:00,The View - Patrol Jurisdiction,Investigation Is Ongoing
2025-01375,3/3/25 16:54,Theft - Theft Except Auto Thefts $200 And Over All Other,3/3/25 16:15,Temple University Hospital - On Campus,Investigation Is Ongoing
2025-01381,3/3/25 22:34,Auto Theft - Auth Theft Stolen Passenger Vehicle,3/3/25 22:00,1600 Block French Street - Patrol Jurisdiction,Investigation Is Ongoing
2025-01392,3/4/25 12:56,Theft - Theft Except Auto Thefts $50 To $199.99 From Bldg.,3/1/25 2:52,Morgan Hall North - On Campus - Residential Facility,Investigation Is Ongoing
2025-01393,3/4/25 13:06,Assault - Other Assaults-Terroristic Threat,3/4/25 12:45,Temple University Hospital - On Campus,Exceptionally Cleared
2025-01395,3/4/25 21:43,Theft - Theft Under $50 Incl Attempts Retail Theft,3/4/25 21:40,CVS - Patrol Jurisdiction,Investigation Is Ongoing
2025-01424,3/5/25 11:35,Assault - Other Assaults-Recklessly Endangering Another Per.,3/5/25 11:35,2100 Block N Broad Street - Public property,An Arrest Was Made
2025-01423,3/5/25 11:36,Auto Theft - Auth Theft Stolen Passenger Vehicle,3/5/25 11:25,McDonalds - Patrol Jurisdiction,Investigation Is Ongoing
2025-01405,3/5/25 12:09,Sex Offense - Sex Offenses-Open Lewdness,3/5/25 11:20,The Kornberg School of Dentistry - On Campus,Investigation Is Ongoing
2025-01404,3/5/25 12:32,Theft - Theft Under $50 Incl Attempts Retail Theft,3/5/25 12:15,CVS - Patrol Jurisdiction,Exceptionally Cleared
2025-01406,3/5/25 13:05,Assault - Assault-Domestic,3/5/25 12:45,1700 Block Arlington Street - Patrol Jurisdiction,Referred For Protection From Abuse
2025-01416,3/5/25 21:28,Theft - Theft Except Auto Thefts $50 To $199.99 From Bldg.,3/5/25 18:00,IBC Student Recreation Center - On Campus,Investigation Is Ongoing
2025-01430,3/6/25 14:14,Assault - Assault-Domestic,3/6/25 14:00,1100 Block W Jefferson Street - Patrol Jurisdiction,Referred For Protection From Abuse
2025-01444,3/7/25 4:10,Dui - Driving Under The Influence,3/7/25 4:10,1700 Block N 10TH Street - Public property,An Arrest Was Made
2025-01454,3/7/25 16:27,Assault - Harassment,3/7/25 16:20,Temple University Hospital - On Campus,Exceptionally Cleared
2025-01498,3/8/25 0:22,Robbery - Robbery Grocery/Deli No Weapon,3/7/25 23:52,1700 Block Cecil B Moore Avenue - Patrol Jurisdiction,An Arrest Was Made
2025-01466,3/8/25 19:01,Assault - Other Assaults // Vandalism - Vandalism-Criminal Mischief Priv Prop $1K To $4999,3/8/25 19:01,Liacouras Center - On Campus,Exceptionally Cleared
2025-01497,3/8/25 19:01,Assault - Other Assaults,3/8/25 18:45,Liacouras Center - On Campus,Exceptionally Cleared
2025-01467,3/8/25 21:31,Drunkeness - Public Drunkeness,3/8/25 21:31,Liacouras Center - On Campus,Exceptionally Cleared
2025-01476,3/9/25 0:32,Theft - Theft Except Auto Thefts $200 And Over Building,3/8/25 21:00,Liacouras Center - On Campus,Investigation Is Ongoing
2025-01477,3/9/25 4:18,Drunkeness - Public Drunkeness,3/9/25 4:18,1500 Block N 15th Street - Patrol Jurisdiction,Exceptionally Cleared
2025-01478,3/9/25 4:50,Drunkeness - Public Drunkeness,3/9/25 4:50,1400 Block W Jefferson Street - Public property,Exceptionally Cleared
2025-01479,3/9/25 10:44,Assault - Assault-Domestic,3/9/25 10:20,1800 Block N 17TH Street - Patrol Jurisdiction,An Arrest Was Made
2025-01487,3/9/25 20:06,Auto Theft - Auto Theft Stolen All Other Motor Vehicles,3/9/25 20:00,1900 Block Liacouras Walk - On Campus,Investigation Is Ongoing
2025-01494,3/10/25 0:39,Assault - Harassment,2/23/25 0:20,7-Eleven - On Campus,Investigation Is Ongoing
2025-01496,3/10/25 4:28,Burglary - Burglary Res/Night/Force 6Pm-6Am Attempts,3/10/25 4:15,1500 Block W Diamond Street - Patrol Jurisdiction,Investigation Is Ongoing
2025-01500,3/10/25 9:45,Assault - Harassment,3/10/25 9:40,CVS - Patrol Jurisdiction,Investigation Is Ongoing
2025-01507,3/10/25 12:59,Fraud - Other Frauds,2/26/25 10:00,Morgan Hall South - On Campus - Residential Facility,Investigation Is Ongoing
2025-01514,3/10/25 17:00,Narcotic - Narcotic Drug Laws Manufacture/Delivery Marijuana,3/10/25 17:00,1700 Block N 12th Street - Public property,An Arrest Was Made
2025-01516,3/10/25 19:34,Assault - Harassment,3/7/25 10:00,2000 Blk. N. Broad St. (Private Res/Bus) - Patrol Jurisdiction,Referred For Private Criminal Complaint
2025-01518,3/10/25 19:36,Auto Theft - Auto Theft Stolen All Other Motor Vehicles,3/10/25 19:20,1100 Block W Montgomery Avenue - Public property,Investigation Is Ongoing
2025-01527,3/11/25 7:19,"Theft - Theft From Vehicle Accessories, $200 And Over",3/10/25 17:00,1300 Block W Master Street - Public property,Investigation Is Ongoing
2025-01535,3/11/25 13:47,Assault - Other Assaults-Assault On Student Public School,3/11/25 13:47,1300 Block Cecil B Moore Avenue - Public property,Referred For Private Criminal Complaint
2025-01559,3/11/25 13:47,Assault - Other Assaults-Assault On Student Public School,3/11/25 13:47,1300 Block Cecil B Moore Avenue - Public property,Referred For Private Criminal Complaint
2025-01560,3/11/25 13:47,Assault - Other Assaults-Assault On Student Public School,3/11/25 13:47,1300 Block Cecil B Moore Avenue - Public property,Referred For Private Criminal Complaint
2025-01541,3/11/25 17:54,Assault - Other Assaults,3/11/25 17:40,Raising Canes - Patrol Jurisdiction,Investigation Is Ongoing
