Case #,Incident Type,Date/Time Reported,Occurred Range,Location,Disposition
25-00630,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,3/2/25 17:39,"03/02/2025  14:00 - 3/2/25
17:00",Bancroft Library,Inactive
25-00631,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,3/2/25 17:52,"03/02/2025  17:40 - 3/2/25
17:52",1928 Stadium Rim Wy; Bowles Hall,Active
25-00632,INFO: Information Only Report,3/2/25 0:52,"03/02/2025  *00:47 - 3/2/25
 0:53",2700 Hearst Av #121; Stern Hall,Inactive
25-00634,Caslty: Injury/Illness,3/2/25 22:43,"03/02/2025  22:43 - 3/2/25
23:00",2301 Bancroft Wy; RSF,Inactive
25-00635,484(A): PC; Theft Of Personal Property; Misdemeanor 484G: PC; Theft By Use Of Access Card Information; Misdemeanor,3/2/25 22:29,"08/01/2024  00:00 - 3/2/25
 0:00 - 03/03/2025  00:00  -  03/03/2025  23:59",2601 Warring St #219; CKC-12,Active
25-00636,Caslty: Injury/Illness,3/3/25 0:02,"03/03/2025  00:02 - 3/3/25
 0:03",UVA-139 Red Oak Av #622,Inactive
25-00637,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,3/3/25 7:40,"03/01/2025  23:04 - 3/1/25
23:04",Stow Plaza,Inactive
25-00638,Found Property: Found Property,3/3/25 8:22,"03/01/2025  00:00 - 3/1/25
23:59",2301 Bancroft Wy; RSF,Inactive
*25-00639,*OA-BOMB: Outside Assist - Bomb Call,*03/03/2025  *10:56,"*03/03/2025  *10:56 - *3/3/25
*12:14","*6 Cedar Ave, Kentfield",*Inactive
25-00640,594(A)(1): PC; Vandalism:deface Property; Misdemeanor 5150: WI; 72 Hour Mental Health Hold; 626: Exclusion Order Issued SUPP: Supplemental Reports,3/3/25 12:49,"03/03/2025  12:49 - 3/3/25
12:50",2643 Bancroft Wy; Structure B,Closed
25-00641,Caslty: Injury/Illness,3/3/25 14:21,"03/03/2025  14:21 - 3/3/25
14:30",1950 Oxford St; Anchor House,Inactive
25-00642,470(C): PC; Alter/Etc Will/Etc; Misdemeanor,3/3/25 14:20,"03/03/2025  14:00 - 3/3/25
14:01",1608 Fourth St; Shared Services,Active
25-00643,415(1): PC; Fight/Challenge Fight Public Place; Misdemeanor,3/3/25 22:35,"03/03/2025  22:35 - 3/3/25
22:36",Upper Sproul Plaza,Inactive
25-00644,1203.2(A): PC; Probation Violation:rearrest/Revoke; Misdemeanor 14601.2(A): VC; Driving W/Lic Susp/Revoked For Dui Violation; Misdemeanor 16028 (A): VC; Failure to Provide Financial Responsibility; Infraction,3/3/25 23:13,"03/03/2025  23:13 - 3/3/25
23:14 - 03/04/2025  00:00  -  03/04/2025  23:59",Haste St  & Ellsworth St,Closed
25-00645,Caslty: Injury/Illness,3/4/25 0:22,"03/04/2025  00:22 - 3/4/25
 0:23",1051 Monroe St; Xucyun Ruwway Apartments,Inactive
25-00646,Lost Prop.: Lost Property,3/4/25 8:30,"02/01/2025  00:01 - 2/1/25
23:59",Stanley Hall,Inactive
25-00647,626: Exclusion Order Issued,3/4/25 9:14,"03/04/2025  08:16 - 3/4/25
 9:14",Minor Hall,Closed
25-00648,647(A): PC; Solicit Lewd Act In Public; Misdemeanor,3/4/25 9:41,"03/04/2025  09:41 - 3/4/25
 9:45",1801 Walnut St; Oxford Tract,Closed
25-00649,647(A): PC; Solicit Lewd Act In Public; Misdemeanor,3/4/25 10:50,"03/04/2025  10:35 - 3/4/25
10:45",Sather Gate,Inactive
25-00650,287(C)(2)(A): PC; Oral Cop:by Use Of Force/Injury; Felony 273.5(A): PC; Inflict Corporal Injury On Spouse/Cohabitant/Datng Relatnshp; Felo,3/4/25 12:09,"08/31/2024  00:00 - 8/31/24
23:59",**2000 block of Haste Ave,Active
25-00651,626: Exclusion Order Issued,3/4/25 13:05,3/4/25 13:05,Lower Sproul Garage,Active
25-00652,Caslty: Injury/Illness,3/4/25 13:26,"03/04/2025  13:26 - 3/4/25
13:27",2700 Hearst Av; Foothill-4,Inactive
25-00653,Lost Prop.: Lost Property,3/4/25 13:33,"03/01/2025  00:01 - 3/1/25
23:59",Davis Hall,Inactive
25-00654,Caslty: Injury/Illness,3/4/25 14:02,"03/04/2025  14:02 - 3/4/25
14:03",Evans Hall,Inactive
25-00655,INFO: Information Only Report,3/4/25 13:06,*03/01/2025  *10:23,Sproul Hall; UCPD,Active
25-00656,INFO: Information Only Report,3/4/25 13:13,"03/03/2025  13:15 - 3/3/25
13:20",Hearst Av  & Le Roy Av,Inactive
25-00664,INFO: Information Only Report SUPP: Supplemental Reports,3/5/25 4:59,"03/05/2025  04:45 - 3/5/25
 5:38",Bechtel Center,Inactive
25-00666,459: PC; Burglary: Second Degree; Felony SUPP: Supplemental Reports,3/5/25 7:27,"03/05/2025  07:19 - 3/5/25
 7:25",2645 Haste St; Underhill Parking Structure,Inactive
25-00667,Lost Prop.: Lost Property,3/5/25 11:39,"04/11/2019  11:39 - 5/1/22
 1:00",Stanley Hall,Inactive
25-00669,487(A): PC; Grand Theft:money/Labor/Property; Felony,3/5/25 12:20,"02/28/2025  13:00 - 3/5/25
11:00",LBNL-62,Inactive
25-00670,"OUT WRTM: Other Agency Warrant, Misd 978.5: PC; Bench Warrant/Failure To Appear On Misdemeanor Charge; Misdemeanor",3/5/25 14:38,"03/05/2025  14:38 - *3/5/25
*15:30",University Dr  & Shattuck Av,Closed
25-00671,PRODAM: Property Damage,3/5/25 15:08,"03/05/2025  15:08 - 3/5/25
16:42",Gauss Wy  & Centennial Dr,Inactive
25-00672,314(1): PC; Indecent Exposure; Misdemeanor SUPP: Supplemental Reports,3/5/25 16:06,"03/05/2025  15:25 - 3/5/25
15:35",2701 Hearst Av; Upper Hearst Structure,Inactive
25-00673,Caslty: Injury/Illness,3/5/25 16:50,"03/05/2025  16:50 - 3/5/25
16:55",2301 Bancroft Wy; RSF,Inactive
25-00674,Caslty: Injury/Illness SUPP: Supplemental Reports,3/5/25 16:52,"03/05/2025  16:40 - 3/5/25
16:53",Sather Tower,Inactive
25-00675,532(A): PC; Obtain Money/Etc By False Pretenses; Misdemeanor SUPP: Supplemental Reports,3/5/25 16:34,"02/27/2025  00:00 - 2/27/25
23:59",1608 Fourth St; Shared Services,Active
25-00676,PRODAM: Property Damage,3/5/25 16:49,"03/05/2025  09:20 - 3/5/25
16:41",2645 Haste St; Underhill Parking Structure,Active
25-00677,OA-OTHER CRIME: Outside Assist - Other Crime *Sexual Assault,3/5/25 17:33,"03/05/2025  17:33 - 3/5/25
17:34 - University of California PD, Berkeley - Daily Crime Log - 03/05/2025  00:00  -  03/05/2025  23:59",**Off Campus,Inactive
25-00745,INFO: Information Only Report *Stalking,3/5/25 20:59,"03/05/2025  20:58 - 3/5/25
20:59 - 03/06/2025  00:00  -  03/06/2025  23:59",**2700 Block of Hearst Av,Inactive
25-00678,Caslty: Injury/Illness,3/6/25 2:30,"03/06/2025  02:30 - 3/6/25
 2:50",2424 Haste St; Rochdale Village,Inactive
25-00679,Lost Prop.: Lost Property,3/6/25 9:51,"02/24/2025  15:00 - 2/27/25
16:00",Dwinelle Hall,Inactive
25-00680,BITE: Animal Bite Report,3/6/25 11:46,"03/03/2025  16:20 - 3/3/25
16:25",University Dr  & University House Wy,Inactive
25-00681,INFO: Information Only Report SUPP: Supplemental Reports,3/6/25 15:12,"03/06/2025  14:55 - 3/6/25
15:13",Centennial Dr  & Stadium Rim Wy,Inactive
25-00682,INFO: Information Only Report,3/6/25 15:22,"03/06/2025  15:22 - 3/6/25
18:55",715 Kinkead Wy; UVA-145,Inactive
25-00683,11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor SUPP: Supplemental Reports,3/6/25 18:09,"03/06/2025  18:09 - 3/6/25
19:00",Haas Pavilion,Closed
25-00684,484(A): PC; Petty Theft; Misdemeanor,3/6/25 17:20,"03/06/2025  15:30 - 3/6/25
15:31",Evans Hall,Active
25-00685,Caslty: Injury/Illness,3/6/25 22:36,"03/06/2025  22:36 - 3/6/25
22:53 - 03/07/2025  00:00  -  03/07/2025  23:59",2001 Gayley Rd; Greek Theater,Inactive
25-00686,518(A): PC; Extortion; Felony SUPP: Supplemental Reports,3/7/25 2:04,"03/07/2025  02:04 - 3/7/25
 2:31",2400 Durant Av; Unit-3 Ida Sproul,Inactive
25-00687,626: Exclusion Order Issued,3/7/25 10:25,"03/07/2025  10:25 - 3/7/25
11:02",Dwinelle Hall,Active
25-00688,DEMO: Demonstration,3/7/25 11:43,"03/07/2025  11:43 - 3/7/25
13:42",Upper Sproul Plaza,Inactive
25-00689,Lost Prop.: Lost Property,3/7/25 9:52,"03/06/2025  13:00 - 3/7/25
 8:00",Valley Life Science Building,Inactive
25-00690,OA-BPD: Outside Assist - BPD,3/7/25 14:21,"03/07/2025  13:00 - 3/7/25
14:00",Haste St  & Telegraph Av,Inactive
25-00692,20002 (A): VC; Hit and Run:property Damage; Misdemeanor,3/7/25 15:16,"03/05/2025  13:19 - 3/5/25
13:19",1051 Monroe St; Xucyun Ruwway Apartments,Active
25-00693,20002: VC; Hit and Run; Misdemeanor,3/7/25 18:24,"03/07/2025  10:02 - 3/7/25
10:05",2451 Hearst Av; Lower Hearst Structure,Inactive
25-00694,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,3/7/25 21:29,3/7/25 21:29,2601 Warring St; CKC-12,Inactive
25-00695,Caslty-Drug Inv: Injury/Illness - Drug,3/7/25 23:47,"03/07/2025  21:47 - 3/7/25
23:47 - 03/08/2025  00:00  -  03/08/2025  23:59",2401 Durant Av; Blackwell Hall,Inactive
25-00696,Casualty-Alcoholol Inv: Injury/Illness - Alcohol  *Aggravated Assault,3/8/25 2:39,"03/08/2025  02:38 - 3/8/25
 2:39","2400 Durant Av; Unit-3 Ida Sproul, *2395 Piedmont Av",Active
25-00697,2800(A): VC; Fail To Obey Peace Officer:lawful Order Or Inspection; Misdemeanor,3/8/25 2:06,"03/08/2025  02:06 - 3/8/25
 2:07",Stadium Rim Wy  & Centennial Dr,Active
25-00698,2800(A): VC; Fail To Obey Peace Officer:lawful Order Or Inspection; Misdemeanor,3/8/25 2:48,"03/08/2025  02:48 - 3/8/25
 3:00",Bancroft Wy  & Piedmont Av,Inactive
25-00699,594(A)(1): PC; Vandalism:deface Property; Misdemeanor,3/8/25 6:57,"03/08/2025  00:00 - 3/8/25
 6:57",Upper Sproul Plaza,Inactive
25-00700,Caslty: Injury/Illness,3/8/25 13:14,"03/08/2025  13:14 - 3/8/25
13:20",2600 Bancroft Wy,Inactive
25-00701,20002 (A): VC; Hit and Run:property Damage; Misdemeanor,3/8/25 14:23,"03/04/2025  07:00 - 3/4/25
20:30",2175 Gayley Rd; Stadium Parking Structure,Inactive
25-00702,484(A): PC; Theft Of Personal Property; Misdemeanor,3/8/25 16:19,"02/23/2025  00:00 - 3/1/25
23:59",Dwinelle Hall,Inactive
25-00703,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,3/8/25 20:17,"03/08/2025  18:40 - 3/8/25
20:15",Moffitt Library,Inactive
25-00704,WELFARE: Welfare Check,3/8/25 19:11,"03/08/2025  19:11 - 3/8/25
19:12",715 Kinkead Wy; UVA-145,Inactive
25-00705,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,3/8/25 20:59,"03/08/2025  20:50 - 3/8/25
20:59 - 03/09/2025  00:00  -  03/09/2025  23:59",4927 Happy Valley Rd; Russell Research Station,Inactive
25-00706,5150: WI; 72 Hour Mental Health Hold;,3/9/25 0:46,3/9/25 0:46,2401 Durant Av; Blackwell Hall,Inactive
25-00707,Caslty: Injury/Illness,3/9/25 1:40,"03/09/2025  01:00 - 3/9/25
 1:40",1950 Oxford St; Anchor House,Inactive
25-00708,22651 (b): VC; Vehicle Parked Obstructing Normal Traffic; Infraction,3/9/25 7:40,"03/09/2025  07:40 - 3/9/25
 7:41",Gayley Rd S University Dr,Inactive
25-00709,484(A): PC; Theft Of Personal Property; Misdemeanor,3/9/25 15:00,"03/05/2025  18:00 - 3/6/25
 0:00",Chou Hall #358,Inactive
25-00710,10852: VC; Tamper With Vehicle; Misdemeanor,3/9/25 14:22,"03/09/2025  10:20 - 3/9/25
13:00",1995 University Av; UC Extension,Inactive
25-00711,484(A): PC; Theft Of Personal Property; Misdemeanor,3/9/25 16:32,"03/09/2025  10:30 - 3/9/25
15:30",Bauer Wurster Hall,Inactive
25-00712,484(A): PC; Theft Of Personal Property; Misdemeanor,3/9/25 19:29,3/9/25 19:25,2415 Bowditch St; Crossroads,Inactive
25-00713,487(A): PC; Grand Theft:money/Labor/Property; Felony,3/9/25 20:36,"03/09/2025  19:00 - 3/9/25
20:30",2301 Bancroft Wy; RSF,Inactive
25-00714,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,3/9/25 20:05,"03/09/2025  18:30 - 3/9/25
20:04 - 03/10/2025  00:00  -  03/10/2025  23:59",Valley Life Science Building,Active
25-00733,12500 (A): VC; Drive Without Licence; Misdemeanor,3/12/25 0:58,"03/12/2025  00:58 - 3/12/25
 0:59",Shattuck Av  & Virginia St,Closed
25-00734,FIRE: Fire,3/12/25 2:25,"03/12/2025  02:24 - 3/12/25
 2:30",Cesar Chavez Center,Inactive
25-00735,Caslty: Injury/Illness,3/12/25 7:34,"03/12/2025  03:00 - 3/12/25
 4:00",2645 Haste St; Underhill Parking Structure,Inactive
25-00736,530.5(A): PC; Get Credit/Etc Other's Id; Felony SUPP: Supplemental Reports,3/12/25 9:27,"03/11/2025  17:46 - 3/11/25
20:45",Sproul Hall; UCPD,Closed
25-00738,Caslty: Injury/Illness,3/12/25 13:26,"03/12/2025  13:26 - 3/12/25
13:27",North Gate Hall,Inactive
25-00739,OA-BPD: Outside Assist - BPD OA-BATTERY: Outside Assist - Battery,3/12/25 13:56,"03/12/2025  10:30 - 3/12/25
10:31",Durant Av  & Bowditch St,Inactive
25-00740,Lost Prop.: Lost Property,3/12/25 14:54,"07/01/2020  08:00 - 3/12/25
14:54",Stanley Hall,Inactive
25-00741,Lost Prop.: Lost Property,3/12/25 15:03,"02/27/2025  21:30 - 2/28/25
10:00",Stephens Hall,Inactive
25-00742,INFO: Information Only Report,3/12/25 15:36,"12/26/2024  00:00 - 3/10/25
23:59",2539 Telegraph Av; Panoramic Berkeley Housing,Inactive
25-00743,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,3/12/25 17:09,"03/12/2025  14:00 - 3/10/25
17:00",Mulford Hall,Inactive
25-00744,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor,3/12/25 17:56,"03/12/2025  12:00 - 3/12/25
16:00",Cheit Hall,Inactive
25-00746,487(A): PC; Grand Theft:money/Labor/Property; Felony,3/12/25 17:28,"03/12/2025  08:30 - 3/12/25
16:30 - 03/12/2025  00:00  -  03/12/2025  23:59",Hilgard Hall,Inactive
25-00747,484(A): PC; Theft Of Personal Property; Misdemeanor,3/12/25 18:35,"03/12/2025  13:20 - 3/12/25
15:00",Morrison Hall,Inactive
25-00748,OA-BPD: Outside Assist - BPD OA-OTHER CRIME: Outside Assist - Other Crime,3/12/25 21:35,"03/03/2025  11:40 - 3/3/25
12:20",2435 Virginia St,Inactive
25-00749,OA-BATTERY: Outside Assist - Battery,3/12/25 23:15,"03/11/2025  15:00 - 3/11/25
15:01",2425 Prospect St #204A,Inactive
25-00750,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,3/12/25 23:13,"03/12/2025  23:12 - 3/12/25
23:13",2650 Haste St; Unit-2 Griffith,Inactive
25-00760,Lost Prop.: Lost Property,3/12/25 17:26,"01/01/2022  00:00 - 12/31/22
 0:00",Stanley Hall,Inactive
25-00751,1203.2(A): PC; Probation Violation:rearrest/Revoke; Misdemeanor 11377(A): HS; Possess Controlled Substance; Misdemeanor 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor,3/13/25 0:27,"03/13/2025  00:27 - 3/13/25
 0:28",Kinkead Wy  & Ohlone Av,Closed
25-00752,Casualty-Alcoholol Inv: Injury/Illness - Alcohol  Caslty-Drug Inv: Injury/Illness - Drug,3/13/25 4:35,"03/13/2025  04:34 - 3/13/25
 4:35",Sproul Hall; UCPD,Inactive
25-00753,459: PC; Burglary:first Degree; Felony,3/13/25 6:04,"03/12/2025  22:00 - 3/13/25
 4:30",Bechtel Center,Inactive
25-00754,Caslty: Injury/Illness,3/13/25 7:24,"03/13/2025  07:24 - 3/13/25
 7:38",2301 Bancroft Wy; RSF,Inactive
25-00755,484G: PC; Theft By Use Of Access Card Information; Misdemeanor,3/13/25 8:16,"03/12/2025  00:00 - 3/12/25
23:59",1608 Fourth St; Shared Services,Inactive
25-00756,INFO: Information Only Report,3/13/25 8:29,"03/13/2025  08:29 - 3/13/25
 8:30",Ohlone Av  & Kinkead Wy,Inactive
25-00757,Lost Prop.: Lost Property,3/13/25 9:36,3/12/25 10:00,Valley Life Science Building,Inactive
25-00758,484(A): PC; Theft Of Personal Property; Misdemeanor,3/13/25 10:26,"03/12/2025  21:30 - 3/13/25
 8:50",Hildebrand Hall,Inactive
25-00759,148.4(A)(1): PC; Tamper/Etc With Fire Alarm/Etc; Misdemeanor,3/13/25 11:59,"03/13/2025  11:59 - 3/13/25
12:00",2200 Bancroft Wy; Public Affairs Office,Inactive
25-00761,SUPP: Supplemental Reports 626: Exclusion Order Issued 69(A): PC; Obstruct/Resist Exec Ofcr; Misdemeanor 626.6(A): PC; Nnstdnt Refuse Leave Univ; Misdemeanor,3/13/25 13:12,"03/13/2025  13:11 - 3/13/25
13:34 - 03/13/2025  00:00  -  03/13/2025  23:59",Dwinelle Plaza,Closed
25-00762,DEMO: Demonstration,3/13/25 14:25,"03/13/2025  16:38 - 3/13/25
16:38",Upper Sproul Plaza,Closed
25-00763,PRODAM: Property Damage,3/13/25 17:48,"03/13/2025  13:48 - 3/13/25
14:30",Upper Sproul Plaza,Inactive
25-00764,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor,3/13/25 18:40,3/13/25 17:56,Evans Hall,Active
25-00765,484(A): PC; Theft Of Personal Property; Misdemeanor,3/13/25 21:39,"03/12/2025  17:00 - 3/12/25
18:00 - 03/14/2025  00:00  -  03/14/2025  23:59",1051 Monroe St; Xucyun Ruwway Apartments,Inactive
25-00766,WELFARE: Welfare Check,3/14/25 1:31,"03/14/2025  01:30 - 3/14/25
 1:31",2601 Warring St; CKC-17,Inactive
25-00767,Caslty: Injury/Illness,3/14/25 5:29,"03/14/2025  05:28 - 3/14/25
 5:29",2601 Warring St; CKC-16,Inactive
25-00769,INFO: Information Only Report *Vandalism,3/14/25 10:43,"*02/27/2025  *00:00 - *3/14/25
 *10:00 - *Unknown","2339 Haste St; Haste Child Development Center, *2339 Haste St; Haste Child Development Center",Inactive
25-00770,Rec-Stolen: Recovered Stolen Vehicle,3/14/25 10:48,"03/14/2025  10:48 - 3/14/25
12:16",540 Red Oak Av,Inactive
25-00771,Lost Prop.: Lost Property,3/14/25 12:54,"03/07/2025  00:00 - 3/7/25
23:59",1 Centennial Dr; Lawrence Hall of Science,Inactive
25-00773,INFO: Information Only Report,3/14/25 14:24,"03/08/2025  12:06 - 3/10/25
15:37",McCone Hall,Inactive
25-00774,TC-Non Injury: Traffic Collision Non Injury,3/14/25 15:48,"03/14/2025  15:47 - 3/14/25
15:48",Bancroft Wy WEST Telegraph Av,Inactive
25-00775,INFO: Information Only Report,3/14/25 19:08,"03/14/2025  19:07 - 3/14/25
20:22",2495 Bancroft Wy; MLK Jr. Student Union,Inactive
25-00776,459: PC; Burglary: Second Degree; Felony,3/14/25 20:38,"03/10/2025  22:00 - 3/14/25
20:36 - University of California PD, Berkeley - Daily Crime Log - 03/14/2025  00:00  -  03/14/2025  23:59 - 03/15/2025  00:00  -  03/15/2025  23:59",2309 Haste St; Structure C,Inactive
25-00777,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,3/15/25 0:10,3/15/25 0:10,2424 Channing Wy; Cleary Hall,Inactive
25-00778,Casualty-Alcoholol Inv: Injury/Illness - Alcohol  Caslty-Drug Inv: Injury/Illness - Drug,3/15/25 0:15,3/15/25 0:14,2650 Haste St; Unit-2 Davidson,Inactive
25-00779,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,3/15/25 0:21,"03/14/2025  16:00 - 3/15/25
 0:00",Physics Building,Inactive
25-00780,25661: BP; Possess/Use False Evidence of Age; Misdemeanor,3/15/25 0:38,"03/15/2025  00:37 - 3/15/25
 0:38",Sproul Hall; UCPD,Inactive
25-00781,2800.1(A): VC; Evading Peace Officer; Misdemeanor 240: PC; Assault On Person; Misdemeanor SUPP: Supplemental Reports,3/15/25 1:31,3/15/25 1:31,2001 Gayley Rd; Greek Theater,Inactive
25-00782,Caslty: Injury/Illness,3/15/25 3:47,3/15/25 3:47,2700 Hearst Av; Foothill-2,Inactive
25-00783,INFO: Information Only Report,3/15/25 7:56,3/15/25 7:56,580 Ohlone Av; UVA-154,Inactive
25-00784,647(E): PC; Disorderly Conduct:lodge Without Owners Consent; Misdemeanor,3/15/25 12:21,"03/05/2025  05:56 - 3/15/25
12:04","2223 Fulton St #Women's Lock; Edwards Track, Stadium",Inactive
25-00785,415(1): PC; Fight/Challenge Fight Public Place; Misdemeanor 20001(A): VC; Hit And Run Resulting In Death Or Injury; Felony,3/15/25 16:34,3/15/25 16:29,1051 Monroe St; Xucyun Ruwway Apartments,Inactive
25-00786,OA-OTHER CRIME: Outside Assist - Other Crime *Aggravated Assault,3/15/25 20:25,"03/15/2025  20:25 - 3/15/25
20:59 - 03/16/2025  00:00  -  03/16/2025  23:59",Ninth St  & Harrison St,Inactive
25-00787,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,3/16/25 1:07,"03/16/2025  01:07 - 3/16/25
 1:08",1950 Oxford St; Anchor House,Inactive
25-00788,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,3/16/25 2:08,3/16/25 2:08,2650 Haste St; Unit-2 Towle,Inactive
25-00789,Found Property: Found Property,3/16/25 5:18,"03/16/2025  05:18 - 3/16/25
 5:19",Cesar Chavez Center,Inactive
25-00790,OA-BPD: Outside Assist - BPD OA-BATTERY: Outside Assist - Battery,3/16/25 12:36,"03/16/2025  12:36 - 3/16/25
12:37 - *03/14/2025  *00:00 - *3/14/25
*23:59","2301 Bancroft Wy; RSF Garage, *Unknown",Inactive
25-00791,487(A): PC; Grand Theft:money/Labor/Property; Felony,3/16/25 15:05,"03/16/2025  01:00 - 3/16/25
12:00",2700 Hearst Av; Stern Hall,Inactive
25-00792,Caslty: Injury/Illness,3/16/25 15:24,"03/16/2025  15:24 - 3/16/25
15:24",Zellerbach Hall,Inactive
25-00793,WELFARE: Welfare Check,3/16/25 23:59,"03/16/2025  23:59 - 3/16/25
23:59",Sproul Hall; UCPD,Inactive
25-00794,12500 (A): VC; Drive Without Licence; Misdemeanor 16028 (A): VC; Failure to Provide Financial Responsibility; Infraction 4000 (a)(1): VC; No Registration: Vehicle/Trailer/Etc; Infraction,3/17/25 1:06,"03/17/2025  01:06 - 3/17/25
 1:24",Durant Av  & College Av,Inactive
25-00795,602.5(B): PC; Unauth Entry Occu Dwling; Misdemeanor,3/17/25 1:04,"03/16/2025  22:10 - 3/16/25
 22:11",2520 Channing Wy; Max Martinez Commons,Inactive
25-00796,INFO: Information Only Report,3/17/25 9:24,"03/17/2025  08:54 - 3/17/25
 9:30",2607 Hearst Av; Goldman School of Public Policy,Inactive
25-00797,484(A): PC; Petty Theft; Misdemeanor,3/17/25 10:17,"03/16/2025  16:40 - 3/17/25
 9:38",670 Kula Gulf Wy; UVA-159,Inactive
25-00798,TC-Injury: Traffic Collision Injury,3/17/25 11:36,"03/17/2025  11:00 - 3/17/25
11:36",Telegraph Av  & Durant Av,Inactive
25-00799,Lost Prop.: Lost Property,3/17/25 12:47,"01/01/2023  00:00 - 12/31/23
 0:00",Stanley Hall,Inactive
25-00800,Lost Prop.: Lost Property,3/17/25 10:42,"03/12/2025  00:00 - 3/12/25
23:00",Evans Hall,Inactive
25-00801,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,3/17/25 13:17,"03/15/2025  15:50 - 21:00
*3/15/25",2227 Piedmont Av; Simpson Center,Inactive
25-00802,Lost Prop.: Lost Property,3/17/25 12:56,"03/10/2025  09:00 - 3/10/25
 9:05 - 03/18/2025  00:00  -  03/18/2025  23:59",2121 Berkeley Wy; Berkeley Way West,Inactive
25-00810,484(A): PC; Petty Theft; Misdemeanor,3/19/25 8:42,"03/18/2025  15:00 - 3/18/25
15:30",Wheeler Hall,Inactive
