Case Number,Incident Type,Report Date,Date/Time Occurred,Location,Disposition
25RC00356,Agg Criminal Sexual Contact,02/19/25 1645,7/4/24 19:03,,
25RC00360,Terroristic Threats,02/19/25 1736,2/3/25 12:00,,
25RC00360,Harassment,02/19/25 1736,2/3/25 12:00,,
25RC00360,Crim Coer-Harm To Reputation,02/19/25 1736,2/3/25 12:00,,
25RC00362,Theft From Building,02/20/25 1125,2/20/25 10:58,RUTCOR,Closed
25RC00362,Criminal Mischief W/Damage,02/20/25 1125,2/20/25 10:58,RUTCOR,Closed
25RC00364,Driving While Intoxicated,02/20/25 1459,2/20/25 14:13,,
25RC00365,Theft Of Property All Other - Non-Building,02/20/25 1615,2/1/25 15:19,,
25RC00369,Criminal Trespass,02/21/25 1146,2/21/25 5:30,,
25RC00370,Criminal Mischief W/Damage,02/21/25 1258,2/20/25 16:00,,
25RC00375,Burglary By Entering Motor Vehicle,02/21/25 2053,2/19/25 10:30,,
25RC00375,Criminal Mischief W/Damage,02/21/25 2053,2/19/25 10:30,,
25RC00382,Harassment,02/23/25 1056,8/17/24 10:56,EL JEFES,
25RC00384,Theft From Building,02/23/25 1628,2/23/25 14:30,,
25RC00393,Simple Assault Bodily Injury,02/24/25 2332,2/24/25 22:39,,
25RC00393,Criminal Mischief W/Damage,02/24/25 2332,2/24/25 22:39,,
25RC00396,Theft Of Property All Other - Non-Building,02/25/25 0948,2/24/25 22:00,,
25RC00401,Theft Of Property All Other - Non-Building,02/25/25 1347,2/24/25 18:30,,
25RC00402,Burglary By Entering Structure,02/25/25 1651,2/22/25 22:00,,
25RC00405,Theft From Motor Vehicle - Non-Burglary,02/25/25 2045,2/25/25 20:24,,
25RC00411,Theft From Building,02/26/25 1125,1/20/25 12:00,,
25RC00414,Theft From Building,02/26/25 1426,1/23/25 15:00,LIVINGSTON,
25RC00415,Criminal Mischief W/Damage,02/26/25 1528,2/26/25 12:45,,
25RC00416,Poss Of Drug Paraphernalia,02/26/25 1606,2/26/25 16:04,GATEWAY TRANSIT,
25RC00416,Arrest On Warrant (Other Department),02/26/25 1606,2/26/25 16:04,GATEWAY TRANSIT,
25RC00416,Possess Cds Or Analog,02/26/25 1606,2/26/25 16:04,GATEWAY TRANSIT,
25RC00417,Harassment,02/26/25 1811,2/15/25 1:00,,
25RC00417,2c:25-17 Domestic Violence,02/26/25 1811,2/15/25 1:00,,
25RC00418,Theft By Deception,02/26/25 1927,2/25/25 20:50,,
25RC00422,Theft From Building,02/26/25 2329,2/26/25 20:00,,
25RC00428,Found Property,02/27/25 1007,2/27/25 10:06,ELIJAH'S PROMISE,
