Case Number,Date/Time Reported,Date/Time Occurred,Incident Type,Location,Disposition
2503060001,3/6/25 6:14,3/6/25 6:14,Fire/Other (Unknown Origin),E Enke Dr & N Campbell Ave,Closed
2503060002,3/6/25 7:16,3/6/25 5:48,Found/Property,880 E 4Th St,Pending
2503050014,3/5/25 23:17,3/5/25 22:01,Burglary/Unlawful Entry - No Force,515 N Tyndall Ave,Closed
2503110004,3/11/25 12:13,3/5/25 12:08,Larceny/All Others,1600 E 1 St,Closed
2503050010,3/5/25 12:15,3/5/25 10:58,Sick Cared For/Transported To Medical Facility,1601 E University Blvd,Closed
2503050011,3/5/25 13:38,3/5/25 10:17,Assist Other Agency/Municipal Criminal Justice,1303 E University Blvd,Active
2503050009,3/5/25 11:13,3/5/25 10:13,Criminal Damage/Graffiti,,Closed
2503050008,3/5/25 10:59,3/5/25 10:00,Found/Property,Warren Ave & E Hawthorne St,Closed
2503050007,3/5/25 10:30,3/5/25 9:54,Criminal Damage/Intentional Vandalism X2,,Closed
2503050005,3/5/25 9:31,3/5/25 9:00,Criminal Damage/Intentional Vandalism,1508 E Helen St,Closed
2503050002,3/5/25 9:11,3/5/25 7:00,Disorderly Conduct/Other (Trespassing),1130 N Fremont Ave & N Santa Rita Ave,Closed
2503050006,3/5/25 10:16,3/5/25 6:15,Criminal Damage/Intentional Vandalism,1003 N Olive Rd,Closed
2503050001,3/5/25 6:12,3/5/25 5:50,Criminal Damage/Intentional Vandalism,1009 E James E. Rogers Way,Closed
2503050003,3/5/25 8:12,3/5/25 1:03,Criminal Damage,880 E 4 St,Closed
2503050012,3/5/25 14:45,3/5/25 0:00,Found/Property,1100 E James E. Rogers Way,Closed
2503040016,3/4/25 23:31,3/4/25 22:24,Traffic & Motor Vehc Laws/License & Registration,Speedway/Campbell,Closed
2503040013,3/4/25 23:54,3/4/25 22:23,Suspicious Activity/Other,1852 E 1st ST,Closed
2503040015,3/4/25 22:54,3/4/25 22:19,Assist Other Agency/Municipal Criminal Justice,1435 E 2Nd St,Closed
2503040014,3/4/25 22:25,3/4/25 21:16,Suspicious Activity/Vehicle,945 E 2nd ST,Closed
2503040012,3/4/25 19:13,3/4/25 18:30,Larceny/From Building Open To The Public,1303 E University Blvd,Closed
2503040010,3/4/25 13:25,3/4/25 17:57,Criminal Damage/Graffiti,1111 E Lowell St,Closed
2503040011,3/4/25 20:48,3/4/25 17:57,Criminal Damage/Graffiti,1117 E Lowell St,Closed
2503040009,3/4/25 19:39,3/4/25 17:23,Narcotic Drug Laws/Possession Of Paraphernalia/Warrants/Misd,Speedway/Warren,Arrest
2503040008,3/5/25 7:34,3/4/25 13:30,Miscellaneous/Public,Lowell/Park,Closed
2503040007,3/4/25 12:57,3/4/25 12:23,Suspicious Activity/Other,1418 E 4 St,Closed
2503040006,3/4/25 12:52,3/4/25 10:15,Narc Drug Laws/Poss Paraphernalia/Disorderly Conduct/Tresspassing/Other Offenses/Other Misd/Interfere W/Court Order,1501 N Campbell Ave,Arrest
2503040004,3/4/25 11:01,3/4/25 9:12,Assist Other Agency/Municipal Criminal Justice,940 E 5th ST,Closed
2503040003,3/4/25 9:59,3/4/25 9:05,Criminal Damage/Graffiti,1031 N Olive Rd,Closed
2503040002,3/4/25 8:33,3/4/25 7:45,Suspicious Activity/Other,1013 E University Blvd,Closed
2503040001,3/4/25 3:34,3/4/25 1:40,Disorderly Conduct/Other (Trespassing),540 540 N Vine,Arrest
2503030006,3/3/25 23:27,3/3/25 21:11,Narcotic Drug Laws/Possession Of Paraphernalia,977 East Speedway Blvd,Arrest
2503030005,3/3/25 21:34,3/3/25 20:53,Assist Other Agency/Municipal Criminal Justice,E Speedway Blvd & N Mountain Ave,Closed
2503030004,3/3/25 19:16,3/3/25 17:44,Found/Property,1852 N Martin Ave & N Campbell Ave,Closed
2503068002,3/13/25 1:02,3/3/25 17:20,Larceny/Bicycles,1201 E Speedway,Closed
2503030003,3/3/25 17:41,3/3/25 16:57,Disorderly Conduct/Other (Trespassing),1510 N Ave & N Vine Ave,Arrest
2503030002,3/3/25 14:16,3/3/25 14:15,Found/Property,602 N Highland Ave,Closed
2503050013,3/3/25 15:00,3/3/25 14:00,Suspicious Activity/Person,1430 N Highland & N Vine Ave,Closed
R00045-2025,3/3/25 0:00,3/3/25 0:00,Drug Referral (2),610 N Highland,University Diversion
2503030001,3/3/25 12:58,3/3/25 0:00,Mental Health/Transported To Treatment Facility,1140 E South Campus Dr,Closed
CSA030425001,3/3/25 0:00,3/3/25 0:00,Sexual Assault - Rape,638 E University Blvd,Closed
R00043-2025,3/3/25 0:00,3/3/25 0:00,Alcohol Referral (1),575 N Highland,Closed
2503020009,,3/2/25 23:11,Disorderly Conduct/Other (Trespassing),545 N National Championship Dr,Arrest
2503020004,,3/2/25 19:18,Collision,Park/4Th St,Pending
2503020008,3/2/25 20:23,3/2/25 19:01,Mental Health/Transported To Treatment Facility,1140 N Park Ave,Closed
2503020007,3/2/25 17:44,3/2/25 17:11,Threats,825 E 5 St,Closed
2503020005,3/2/25 11:33,3/2/25 10:15,Mental Health/Other,610 N Highland Ave,Closed
2503020006,,3/2/25 8:32,Assist/Other Agency,17439 S Sierrita Mountain Rd,Pending
2503020001,3/2/25 2:11,3/2/25 1:47,Disorderly Conduct/Other (Trespassing),1700 E 2nd,Arrest
2503020002,3/2/25 3:27,3/2/25 1:16,Liquor Laws/Minor In Possession,621N Highland,Adult University Diversion
2503020003,3/2/25 4:51,3/2/25 1:12,Liquor Laws/Minor In Poss/Disorderly Conduct/Other (Trespassing),1010 N Park Ave,Arrest
2503010009,3/1/25 2:55,3/1/25 23:03,Mental Health/Attempted Suicide,1101 N Fremont Ave & N Snta Rita Ave,Closed
2503010008,3/1/25 23:06,3/1/25 21:49,Assist Other Agency/Other,E Speedway Blvd & N Campbell Ave,Closed
2503010007,3/1/25 21:01,3/1/25 21:01,Pulled Error,1852 E 1St St,Closed
2503010006,3/1/25 19:59,3/1/25 19:15,Criminal Damage/Intentional Vandalism,1010 N Park Ave,Closed
2503028001,3/13/25 1:02,3/1/25 17:40,Criminal Damage/Intentional Damage,940 E 5Th St,Closed
2503010005,3/1/25 20:44,3/1/25 16:30,Burglary/Fprcible Entry,4040 E Roger Rd & E Limberlost Dr,Closed
2503170007,3/18/25 8:41,3/1/25 15:30,Traffic & Motor Vehc Laws/License & Registration,Park/6Th St,Arrest
2503010004,3/1/25 14:18,3/1/25 12:38,Non-Traffic Accident/Property Damage,822 E 5 St,Closed
2503010003,3/1/25 10:47,3/1/25 10:30,Found/Property,1401 E University Blvd,Closed
2503010002,3/1/25 10:17,3/1/25 10:00,Found/Property,350 N Highland Ave,Closed
2502280013,3/1/25 1:18,3/1/25 1:18,Mental Health/Transported To Treatment Facility,910 E 5Th St,Closed
2503010001,3/1/25 2:31,3/1/25 0:53,Found/Property,910 E 6Th St 7 E 4Th St,Closed
R00044-2025,3/3/25 0:00,3/1/25 0:00,Alcohol Referral(1)DV(1),575 N Highland,University Diversion
2503040005,3/4/25 11:35,2/28/25 23:00,Sexual Assault/Forcible Rape,638 E University Blvd,Closed
2502280012,3/1/25 0:48,2/28/25 21:06,Disorderly Conduct/Disturbing The Peace,4Th St/N Park Ave,Arrest
2502280011,2/28/25 21:58,2/28/25 20:11,Suspicious Activity/Person,N Park Ave & E University Blvd,Closed
2502280009,2/28/25 18:20,2/28/25 15:39,Disorderly Conduct/Other (Trespassing),5755 N Highland,
2502280008,2/28/25 19:12,2/28/25 14:31,Suspicious Activity/Person,1041 E Lowell,Closed
2503018002,3/13/25 1:01,2/28/25 14:00,Larceny/Bicycles,1040 E 4Th St,Closed
2502280010,2/28/25 21:36,2/28/25 13:55,Traffic & Motor Vehc Laws/Moving Violations,N Highland Ave & E 1St St,Closed
2502280006,2/28/25 12:17,2/28/25 12:49,Mental Health/Attempted Suicide,1201 E 6 St,Closed
2502280007,2/28/25 0:00,2/28/25 12:20,Criminal Damage/Intentional Vandalism,910 E 5Th St,Closed
2502280005,2/28/25 12:17,2/28/25 11:50,Criminal Damage/Intentional Vandalism,1025 North Olive Road,Closed
2502280003,2/28/25 10:59,2/28/25 10:21,Criminal Damage/Intentional Vandalism,910 E 5 St,Closed
2502280002,2/28/25 10:34,2/28/25 9:39,Sick Cared For/Transported To Medical Facility,1428 E University Blvd,Closed
2502280001,2/28/25 8:00,2/28/25 6:00,Criminal Damage/Intentional Vandalism,1003 N Olive Rd,Closed
2502280004,2/28/25 12:39,2/28/25 2:00,Assault/Minor Injury,1701 E 1st ST,Active
R00038-2025,2/28/25 0:00,2/28/25 0:00,Drug Referral (7),1557 E 6th St,University Diversion
R00041-2025,3/3/25 0:00,2/28/25 0:00,Alcohol Referral (7),1101 E Mabel,University Diversion
R00039-2025,2/28/25 0:00,2/28/25 0:00,Alcohol Referral (3),Unknown,University Diversion
R00042-2025,3/3/25 0:00,2/28/25 0:00,Alcohol Referral (1),1003 N Olive,University Diversion
R00040-2025,2/28/25 0:00,2/28/25 0:00,Alcohol Referral (1),822 E 5th St,University Diversion
2502270011,2/27/25 21:54,2/27/25 21:29,Disorderly Conduct/Disturbing The Peace,928 N Tyndall Ave & N Park Ave,
2502270010,2/27/25 21:38,2/27/25 20:32,Narcotic Drug Laws/Possession Of Paraphernalia,1510 E University Blvd,
2502270008,2/27/25 13:59,2/27/25 13:50,Fraud/Credit Card,1630 E University Blvd,
2502270009,2/27/25 18:31,2/27/25 13:45,Public Assist/Check Welfare,3443 East Monte Vista Drive,
2502270006,2/27/25 13:22,2/27/25 13:05,Criminal Damage/Intentional Vandalism,602 N Highland Ave,
2502270005,2/27/25 14:21,2/27/25 11:43,Traffic Accident/Hit-And-Run,1641 N Cherry Ave & N National Champ,
2502270004,2/27/25 10:40,2/27/25 10:18,Larceny/Bicycles,1101 E Mabel St,
2502270003,2/27/25 9:22,2/27/25 9:15,Found/Property,1306 E University Blvd,
2502270007,2/27/25 14:35,2/27/25 9:15,Mental Health/Other,1030 N Olive Rd,
2502270002,2/27/25 1:25,2/27/25 4:19,Suspicious Activity/Person,1200 E James E Rogers Way,
2502270001,2/27/25 1:17,2/27/25 0:58,Criminal Damage/Intentional Vandalism,1042 N Park Ave,
CSA022825001,2/27/25 0:00,2/26/25 0:00,Domestic Violence,1528 E 8th St,
2502250008,2/25/25 23:56,2/25/25 23:03,Criminal Damage/Malicious Mischief,1641 N Cherry Ave &National Championship Dr,Closed
2502250004,2/25/25 15:29,2/25/25 21:00,Traffic Accident/Hit-And-Run,1201 N Santa Rita Ave,Closed
2502250007,2/25/25 21:50,2/25/25 21:00,Larceny/Bicycles,1031 E James E. Rogers Way,Closed
2502250006,2/25/25 19:47,2/25/25 19:26,Found/Property,1140 N Park Ave,Closed
2502250005,2/25/25 17:08,2/25/25 16:57,Found/Property,1852 E 1 St,Closed
2502250003,2/25/25 13:45,2/25/25 13:14,Criminal Damage/Intentional Vandalism,1003 N Olive Rd,Closed
2502250002,2/25/25 13:11,2/25/25 13:00,Found/Property,1852 E 1 St,Closed
2503018001,3/13/25 1:31,2/25/25 12:30,Lost/Property,1025 N Olive Rd,Closed
2502258001,3/13/25 1:01,2/25/25 10:55,Criminal Damage/Intentional Damage,1003 N Olive Rd,Closed
2502250001,2/25/25 12:19,2/24/25 22:00,Fraud/Defrauding,1400 E 6 St,Closed
2502240008,2/24/25 21:20,2/24/25 19:00,Larceny/All Others,515 N Tyndall,Closed
2502240007,2/24/25 16:27,2/24/25 16:27,Disturbance/Other,822 E 5Th St,Arrest
2502240006,2/24/25 19:43,2/24/25 16:10,Collision,E 6Th St/Campbell,Closed
2502240005,2/24/25 16:16,2/24/25 15:40,Found/Property,527 N National Championship Dr,Closed
2502240004,2/24/25 17:36,2/24/25 14:31,Disorderly Conduct/Obstructing An Officer,Campbell/Speedway,Arrest
2502240003,2/24/25 11:45,2/24/25 11:14,Larceny/All Others,1117 E 6 St,Closed
2502240002,2/24/25 11:23,2/24/25 10:48,Larceny/Shoplifting,1209 E University,Active
2502248003,3/13/25 1:01,2/24/25 8:00,Larceny/All Others,822 E 5Th St,Closed
2502240001,2/24/25 6:35,2/23/25 23:30,Larceny/From Motor Vehicle/Crim Damage,1021 E Mabel St,Closed
2502230006,2/23/25 17:39,2/23/25 17:39,Gta/Recover/Arrest For Other Jurisd/Narc Drug Law Poss/Poss Of Paraphernalia/Other Offense/Other Felonies,1449 E Drachman St,Arrest
2502230004,2/23/25 15:49,2/23/25 16:43,Personal Injury Accidents,1640 E University Blvd,Closed
2502248002,3/13/25 1:01,2/23/25 11:10,Criminal Damage/Intentional Damage,500 N Highland Ave,Closed
2502230003,2/23/25 6:04,2/23/25 4:43,Found/Property,1508 N Vine,Closed
2502230002,2/23/25 3:06,2/23/25 2:52,Assist Other Agency/Municipal Criminal Justice,Euclid Ave & E 1St St,Closed
2502230001,2/23/25 0:35,2/23/25 2:03,Criminal Damage/Intentional Vandalism,1614 East 1St Street,Closed
2502220010,2/23/25 6:30,2/22/25 22:40,Assault/No Injury,1721 N National Championship Dr & Ncampbell Ave,Active
2502220009,2/22/25 22:49,2/22/25 22:16,Liquor Laws/Minor In Possession,1511 East 1St Street,Closed
2502220008,2/22/25 23:03,2/22/25 20:54,Miscellaneous/Public,1003 E 2Nd St,Closed
2502230005,2/23/25 17:03,2/22/25 19:30,Criminal Damage/Intentional Vandalism,1121 N Park,Closed
2502220006,2/22/25 18:09,2/22/25 17:48,Criminal Damage/Graffiti,1125 North Vine Avenue,Closed
2502220007,2/22/25 21:41,2/22/25 17:46,Mental Health/Attempted Suicide,880 E 4 St,Closed
2502220004,2/22/25 9:34,2/22/25 9:05,Criminal Damage,515 N Tyndall Ave,Closed
2502220002,2/22/25 4:27,2/22/25 4:06,Liquor Laws/Furnishing Liquor To Minor,822 E 5 St,Adult University Diversion
2502220003,2/22/25 4:37,2/22/25 3:47,Disorderly Conduct/Other (Trespassing),922 E 4 St,Arrest
2502220001,2/22/25 2:19,2/22/25 1:41,Traffic & Motor Vehc Laws/License & Registration,E Speedway Blvd & N Euclid Ave,Arrest
2502210010,2/21/25 18:30,2/21/25 18:13,Criminal Damage/Graffiti,1703 E Mabel St,Closed
2502268001,3/13/25 1:01,2/21/25 18:00,Criminal Damage/Intentional Damage,880 E 4Th St,Closed
2502210008,2/21/25 15:44,2/21/25 15:10,Found/Property,845 N Park Ave,Closed
2502210007,2/21/25 15:38,2/21/25 15:06,Lost/Property,1400 E 6 St,Closed
2502210006,2/21/25 15:12,2/21/25 14:44,Fraud/Credit Card,Fremont/Santa Rita,Closed
2502210005,2/21/25 12:35,2/21/25 11:48,Found/Property,1340 E University Blvd,Closed
2502220005,2/22/25 11:47,2/21/25 11:12,Criminal Damage/Intentional Vandalism,575 N Highland Ave,Closed
2502210004,2/21/25 8:22,2/21/25 7:45,Found/Property,822 E 5 St,Closed
2502210009,2/21/25 19:58,2/21/25 7:15,Fraud/Credit Card,1656 E Mabel St,Closed
2502210001,2/21/25 3:55,2/21/25 1:37,Found/Property,1852 E 1st ST,Closed
2502210003,2/21/25 1:15,2/21/25 0:52,Miscellaneous/Officer,1614 East 1St Street,Closed
2502210002,2/21/25 2:59,2/21/25 0:36,Liquor Laws/Minor In Possession,822 E 6th ST,Adult University Diversion
