Incident Type,Location,Date/Time Reported,Date/Time Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Information / Violation of Order of Protection,5109 S. Cornell (Apartment Building),1/8/25 15:06,1/8/25 14:45,A person violated a court order but left before police were called / Referred to CPD,Referred,2025-001108
Theft from Motor Vehicle,5870 S. Dorchester (Public Way),1/8/25 22:30,1/5/25 to 1/8/25 5:00 PM to 5:40 PM,Catalytic converter taken from vehicle parked on the street,Open,25-00028
Information,"1306 E. 61st St, (Parking Garage)",1/8/25 22:16,1/8/25 22:16,A homeless person loitering in the parking garage was transported to a city warming center,Closed,25-00029
Mental Health Transport,5200 S. Lake Park (McDonalds),1/9/25 9:46,1/9/25 9:41,A person was transported to UCMED for evaluation,Closed,25-00030
Criminal Damage to Property,924 E. 57th St. (BSLC Green House),1/9/25 11:16,12/31/24 to 01/1/25 3:00 PM to 10:00 AM,Two glass panes were damaged by a bullet,Closed,25-00031
Criminal Trespass to Land,915 E. 60th St. (Logan Center),1/9/25 14:30,1/9/25 14:30,"An unauthorized person, banned from campus, was arrested by UCPD",Arrest,25-00032
Traffic Crash / Property Damage / Hit & Run,5505 S. Ellis (Public Way),1/9/25 19:08,1/9/25 18:50,A motorist struck a UC Shuttle bus and fled the scene,Open,25-00033
Information,5815 S. Maryland (Mitchell Hospital),1/9/25 23:58,1/9/25 20:00,An allegation of battery documented from a challenged patient,Unfounded,25-00034
Traffic Crash / Property Damage / Hit & Run,5500 S. Lake Park (Public Way),1/10/25 9:11,1/10/25 9:10,An unknown motorist sideswiped another vehicle in traffic and drove off,Open,25-00035
Found Property,5525 S. Ellis (Public Way),1/10/25 9:37,1/10/25 9:35,A set of keys was found on the sidewalk and turned over to UCPD for safekeeping,Closed,25-00036
Battery,6300 S. University (Woodlawn Charter School),1/10/25 8:30,1/10/25 7:50,"A school staff member was battered by a trespasser / Upon review by UCPD Investigations, it has been determined that no battery occurred / Unfounded",Unfounded,25-00037
Theft,1100 E. 57th St. (Regenstein Library),1/10/25 10:32,1/9/25 to 1/10/25 7:15 PM to 10:00 AM,iPad left in the library was taken by unknown person / Complainant's property was located and returned intact / No crime was committed,Unfounded,25-00038
Criminal Damage to Property,5700 S. Maryland (CCD),1/10/25 12:09,1/10/25 12:00,A disturbed patient broke a staff member's eyeglasses / Victim declined prosecution,Ex. Cleared,25-00039
Information / Burglary,Woodlawn between 54th & 55th,1/10/25 13:06,1/2/25 to 1/8/25 times unknown,Residents reported an unknown person unlawfully entered the off-campus apartment and took property / Referred to CPD,Referred,2025-001367
Found Property,850 E. 61st St. (UCPD HQ),1/10/25 14:14,1/10/25 13:20,A wallet found on a UC Shuttle bus was turned over to UCPD for safekeeping,Closed,25-00040
Lost Property,850 E. 61st St. (UCPD HQ),1/10/25 15:20,1/10/25 3:15 PM to 3:20 PM,A person reported leaving a laptop and computer bag on a UC Shuttle bus,Closed,25-00041
Medical Call,5500 S. University (Campus North RH),1/11/25 17:45,1/11/25 17:44,A person in need of medical attention was transported to UCMED by CFD EMS,Closed,25-00042
Domestic Battery,5815 S. Maryland (Mitchell Hospital),1/11/25 17:50,1/11/25 16:45,"A boyfriend battered girlfriend / Suspect left before police were notified / As a result of follow-up investigation, the victim declined prosecution",Ex. Cleared,25-00043
Information / Theft,1346 E 53rd St. (Target),1/12/25 12:04,1/12/25 12:00,A subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-001682
Medical Call,5500 S. University (Campus North RH),1/12/25 14:11,1/12/25 14:09,A person in need of medical attention was transported to UCMED by CFD EMS,Closed,25-00044
Information / Theft,5656 S. Maryland (UCMED),1/12/25 15:18,1/12/25 15:05,A firearm was recovered from a patient with a CCL permit / Weapon inventoried by UCPD for safekeeping,Closed,25-00045
Theft,1554 E. 55th St. (Walgreens),1/12/25 17:39,1/12/25 17:39,A subject took merchandise from the off-campus store without paying and was arrested by UCPD officer,Arrest,25-00046
Criminal Damage to Vehicle,5505 S. Ellis (Parking Structure),1/13/25 14:00,12/20/24 to 12/26/24 10:00 AM to 3:20 PM,"Unknown person(s) smashed a window in a parked, unattended vehicle",Open,25-00047
Assault,1115 E. 58th St. (Walker),1/13/25 15:54,6/1/24 to 1/13/25 9:00 AM to 9:40 AM,A known person transmitted harassing messages by various means / Incidents documented / Prosecution declined at this time,Ex. Cleared,25-00048
Information / Burglary,Harper between 57th & 58th,1/13/25 21:10,1/13/25 8:00 AM to 1:00 PM,Unknown subject(s) forced entry to off-campus apartment and took property / CPD case JJ114179,CPD,2025-001925
Found Property,850 E. 61st St. (UCPD HQ),1/14/25 1:29,1/14/25 1:20,Wallet found and turned over to UCPD for safekeeping,Closed,25-00049
Motor Vehicle Theft,5549 S. Dorchester (Public Way),1/14/25 3:34,1/14/25 3:34,A 2018 Infiniti was taken by unknown suspect(s) / Unoccupied vehicle recovered by UCPD after being involved in a traffic crash / A handgun was also recovered in the vehicle,Open,25-00050
Medical Call,1005 E. 60th St.; (Burton - Judson RH),1/14/25 8:26,1/14/25 8:25,A person in need of medical attention was transported to Student Wellness by CFD EMS,Closed,25-00051
Non-Criminal Property Damage,1029 E. 57th St. (Anatomy),1/15/25 6:37,1/15/25 6:36,Leaking pipe caused water damage,Closed,25-00052
Theft from Motor Vehicle,1156 E. 57th St. (Public Way),1/15/25 8:50,1/15/25 4:00,Catalytic converter taken from car parked on the street,Open,25-00053
Harassment by Telephone,5815 S. Maryland (Mitchell Hospital),1/15/25 12:02,1/14/25 to 1/15/25 12:30 PM to 12:20 PM,A patient received harassing phone calls from a known person / Declined prosecution,Ex. Cleared,25-00054
Mental Health Transport,840 E. 59th St. (Student Wellness),1/15/25 11:35,1/15/25 11:33,A person was transported to UCMED by UCPD for evaluation,Closed,25-00055
Domestic Battery,5730 S. Drexel (Comer Hospital),1/15/25 13:19,1/15/25 10:42,Two sisters were involved in a verbal disturbance that became physical with one person striking the other / Suspect left before police were called,Open,25-00056
Harassing Email,5700 S. Maryland (CCD),1/15/25 16:41,1/15/25 9:47,Harassing email from an unknown person was documented,Open,25-00057
Information /Theft,1522 E. 53rd St. (Restaurant),1/16/25 1:31,1/15/25 20:00,Wallet taken / Subsequent unauthorized use of debit card reported / Referred to CPD,Referred,2025-002314
Found Property,5700 S. Maryland (CCD),1/16/25 7:22,1/16/25 7:00,A weapon was found and returned to licensed owner,Closed,25-00058
Traffic Crash / Minor Personal Injury / Hit & Run,1400 E. 59th St. (Public Way),1/16/25 11:43,1/16/25 9:20,A bus struck a pedestrian in the crosswalk / Driver failed to make a report,Open,25-00059
Information Report,850 E. 61st St. (UCPD HQ),1/16/25 13:41,1/16/25 13:41,Probable fraudulent activity documented,Closed,25-00060
Assault,5700 S. Maryland (CCD),1/16/25 15:53,1/16/25 14:50,One person threatened another with physical harm / Suspect left before police were notified,Open,25-00061
Information / Theft,1554 E. 55th St. (Walgreens),1/17/25 10:01,1/17/25 10:00,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-002543
Theft,5758 S. Maryland (DCAM),1/17/25 12:51,1/17/25 11:00 AM to 11:55 AM,"Unsecured, unattended cell phone taken",Open,25-00062
Found Property,5500 S. Greenwood (Public Way),1/17/25 18:35,1/17/25 18:25,Debit card found and turned over to UCPD for safekeeping,Closed,25-00063
Information / Battery,1554 E. 55th St. (Public Way),1/18/25 1:25,1/18/25 1:25,A person reported an unknown subject touched them inappropriately as they walked off-campus and left before police were called / CPD case,CPD,2025-002670
Lost Property,5500 S. University (Campus North RH),1/18/25 12:30,1/17/25 8:00 PM to 11:00 PM,Person lost a cell phone between campus and downtown Chicago,Closed,25-00064
Theft,1228 E. 53rd St. (CVS),1/18/25 16:04,1/18/25 16:02,A subject was arrested for taking merchandise from the off-campus store without paying and an active warrant from Cook County Sheriff's Office,Arrest,25-00065
Theft,1156 E. 61st St. (Woodlawn Commons RH),1/18/25 17:58,1/18/25 4:00 PM to 5:30 PM,Clothes taken from dryer in common laundry room,Open,25-00066
Liquor Law Violation,5630 S. University (Max Palevsky RH),1/19/25 0:50,1/19/25 0:50,A person became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,25-00067
Information / Criminal Damage to Vehicle,960 E. 53rd St. (Public Way),1/19/25 10:34,1/18/25 to 1/19/25 7:00 PM to 10:30 AM,Window smashed in 2015 Cadillac parked on the street off-campus / Referred to CPD,Referred,2025-002861
Criminal Damage to Property,5815 S. Maryland (Mitchell Hospital),1/19/25 21:27,1/19/25 21:27,A visitor pushed and damaged a computer monitor and was arrested by UCPD,Arrest,25-00068
Void,Void,Void,Void,Number generated in error,Void,25-00069
Information / Theft,1554 E. 55th St. (Walgreens),1/20/25 14:48,1/20/25 14:49,Two subjects took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-003011
Theft,1346 E. 53rd St. (Target),1/20/25 15:27,1/20/25 15:10,A subject took merchandise from the off-campus store without paying and was arrested by UCPD,Arrest,25-00070
Information / Assault,1346 E. 53rd St. (Target),1/20/25 18:39,1/20/25 17:10,An unknown subject threatened an employee with bodily harm in the off-campus store / Referred to CPD,Referred,2025-003022
Information,5500 S. University (Campus North RH),1/21/25 4:13,1/21/25 4:12,An unauthorized person that was admitted to the building was escorted from the premises by UCPD officers,Closed,25-00071
Theft from Person,1020 E. 58th St. (Kent Lab Walkway),1/21/25 9:43,1/21/25 9:13,"An unknown subject took a cell phone from the hand of a person / A witness retrieved the phone from the suspect who fled on foot / Subsequent to follow up investigation, the suspect was identified and the victim declined to pursue prosecution",Ex Cleared,25-00072
Theft,1554 E. 55th St. (Walgreens),1/21/25 10:25,1/21/25 10:20,A subject took merchandise from the off-campus store without paying / A UCPD officer located and arrested the suspect,Arrest,25-00073
Found Property,850 E. 61st St. (UCPD HQ),1/21/25 10:15,1/21/25 10:01,Toyota key fob found on UC Shuttle bus and turned over to UCPD for safekeeping,Closed,25-00074
Theft,5550 S. University (Crown Field House),1/21/25 16:00,1/12/25 3:10 PM to 3:15 PM,"An unsecured, unattended wallet left on the floor of the gym was taken",Open,25-00075
Theft,1155 E. 57th St. (Quadrangle Club),1/22/25 13:43,1/17/25 to 1/21/25 9:00 PM to 9:00 AM,Numerous sets of tableware and other supplies taken from a secured storage closet,Open,25-00076
Information / Burglary,1550 E. 55th St. (Small Business),1/23/25 3:49,1/23/25 0:20,An unknown subject unlawfully entered the off-campus store and took property / CPD case JJ124043,CPD,2025-003433
Warrant Arrest,1554 E. 55th St. (Walgreens),1/23/25 5:06,1/23/25 5:06,UCPD officer arrested a subject for an active warrant from the Cook County Sheriff's Office,Arrest,25-00077
Found Property,5900 S. Kimbark (Public Way),1/23/25 11:30,1/23/25 11:30,A Ford key fob was found and turned over to UCPD for safekeeping,Closed,25-00078
Traffic Crash,6225 S. Cottage Grove (Public Way),1/23/25 17:45,1/23/25 17:45,UC owned vehicle involved in traffic crash / No injuries reported,Closed,25-00079
Traffic Crash,5656 S. Maryland (Parking Structure),1/23/25 17:35,1/23/25 17:30,A vehicle struck a pillar / No injuries reported,Closed,25-00080
Void,Void,Void,Void,Number generated in error,Void,25-00081
Theft from Motor Vehicle,5245 S. Cottage Grove (Loading Dock),1/24/25 4:46,1/24/25 4:40,Unknown suspects took catalytic converter from a truck parked at the loading dock,Open,25-00082
Lost Property,850 E. 61st St. (UCPD HQ),1/24/25 9:42,1/21/25 to 1/22/25 6:30 AM to 2:00 PM,Report of lost ID card,Closed,25-00083
Found Property,850 E. 61st St. (UCPD HQ),1/24/25 10:16,1/22/25 9:00,A rideshare driver turned over a cellphone to UCPD for safekeeping,Closed,25-00084
Non-Criminal Property Damage,920 E. 58th St.,1/24/25 11:54,1/24/25 4:45 AM to 9:30 AM,Contractor reported damage to mirror of work vehicle / Cause of damage unknown,Closed,25-00085
Information / Theft,1154 E. 55th St. (Walgreens),1/24/25 13:09,1/24/25 13:05,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-003682
Non-Criminal Property Damage,850 E. 61st St. (UCPD HQ),1/24/25 15:40,1/24/25 15:40,Damage to UC owned vehicle documented,Closed,25-00086
Theft,5228 S. Lake Park (Ulta),1/24/25 16:27,1/24/25 16:15,Two unknown subjects took merchandise from the off-campus store without paying,Open,25-00087
Information / Battery,5320 S. Harper (Public Way),1/24/25 18:25,1/24/25 17:40,A person reported 2 unknown subjects struck him with fists on the sidewalk off-campus and fled / CPD case,CPD,2025-003714
Information,5815 S. Maryland (Mitchell Hospital),1/24/25 20:49,1/24/25 4:00 PM to 4:30 PM,Patient complaint documented,Closed,25-00088
Public Indecency,5700 S. Maryland (CCD),1/24/25 21:26,1/24/25 19:00,An act of public indecency by a patient documented,Open,25-00089
Theft,5656 S. Maryland (UCMED),1/25/25 8:46,1/25/25 1:15 AM to 8:40 AM,Patient reported bracelet taken from personal property container,Open,25-00090
Public Indecency,5656 S. Maryland (UCMED),1/25/25 8:06,1/25/25 7:15,A person performed an act of public indecency and was arrested by UCPD officers,Arrest,25-00091
Telephone Threat,5700 S. Maryland (CCD),1/25/25 11:13,1/25/25 10:50,Threatening phone call from an unknown subject was documented,Open,25-00092
Theft,1346 E. 53rd St. (Target),1/25/25 13:00,1/25/25 13:00,A subject took merchandise from the off-campus store without paying and was arrested by UCPD officer,Arrest,25-00093
Void,Void,Void,Void,Number generated in error,Void,25-00094
Criminal Damage to Vehicle,5505 S. Ellis (Parking Structure),1/25/25 19:42,1/24/25 to 1/25/25 7:30 PM to 7:30 PM,Window smashed and steering column damaged in 2013 Kia parked in the garage,Open,25-00095
Traffic Crash / Property Damage / Hit & Run,5530 S. Ellis (Public Way),1/25/25 20:03,1/25/25 4:00 PM to 7:00 PM,Unknown vehicle struck a parked vehicle / Motorist failed to report the crash,Open,25-00096
No Incident Reports this date - 1/26/25,,,,,,
Void,Void,Void,Void,Number generated in error,Void,25-00097
Traffic Crash / Property Damage / Hit & Run,1302 E. 56th St. (Public Way),1/27/25 9:36,1/27/25 8:45 AM to 9:00 AM,"A parked vehicle was struck by another vehicle / The motorist fled the scene and did not initiate a report / Subsequent to follow up investigation, damage did not occur in UCPD extended patrol area",Unfounded,25-00098
Traffic Crash / Property Damage / Hit & Run,6013 S. Woodlawn (Public Way),1/27/25 13:33,1/26/25 to 1/27/25 9:00 PM to 8:30 AM,A parked vehicle was struck by another vehicle / The motorist fled the scene and did not initiate a report,Open,25-00099
Theft,1156 E. 61st St. (Woodlawn RC),1/27/25 16:43,1/26/25 2:00 PM to 8:00 PM,"An unsecured, unattended electric scooter taken from hallway of the residence hall",Open,25-00100
Information / Burglary,Kimbark between 52nd & 53rd,1/27/25 19:59,1/27/25 3:30 PM to 6:20 PM,Unknown person(s) unlawfully entered off-campus apartment and took property / CPD case JJ129386,CPD,2025-004170
Information / Burglary,Kimbark between 52nd & 53rd,1/27/25 20:17,1/27/25 1:00 PM to 6:00 PM,Unknown person(s) unlawfully entered off-campus apartment and took property / CPD case JJ129395,CPD,2025-004173
Information / Aggravated Domestic Assault,5140 S. Woodlawn (Public Way),1/27/25 20:23,1/27/25 20:15,UCPD officers detained a suspect wanted by CPD for domestic assault with a knife / Victims refused prosecution / CPD case JJ129387,CPD,25-00101
Found Property,850 E. 61st St. (UCPD HQ),1/27/25 21:34,1/27/25 21:30,A cell phone and UCID card found and returned to owner,Closed,25-00103
Information,5500 S. Woodlawn (Public Way),1/26/25 2:00,1/26/25 1:40,Traffic incident documented,Closed,25-00102
Telephone Threat,5700 S. Maryland (CCD),1/28/25 13:44,1/28/25 13:44,A threatening phone call was documented,Open,25-00104
Theft,5721 S. Maryland (Comer Hospital),1/28/25 14:02,1/28/25 2:02 PM to 2:07 PM,During a domestic argument boyfriend took girlfriend's purse / Purse returned and victim declined prosecution,Ex. Cleared,25-00105
Lost Property,850 E. 61st St. (UCPD HQ),1/28/25 16:24,1/28/25 6:00 AM to 12:00 PM,Lost UC ID reported,Closed,25-00106
Criminal Trespass to Vehicle,1504 E. Harper Ct. (Public Way),1/29/25 8:35,1/29/25 8:35,UCPD officers arrested a suspect for trespass to a motor vehicle,Arrest,25-00107
Medical Call,1307 E. 60th St. (Keller Center),1/29/25 10:41,1/29/25 10:40,A person in need of medical attention was transported to UCMED by CFD EMS,Closed,25-00108
Information / Battery,5100 S. Dorchester (Alley),1/29/25 11:23,1/29/25 11:23,During an argument off-campus one acquaintance pushed another / Referred to CPD,Referred,2025-004498
Non-Criminal Damage to Property,6054 S. Ellis (Drexel Parking),1/29/25 15:03,1/29/25 15:03,Minor damage on a UC owned vehicle documented,Closed,25-00109
Theft,924 E. 57th St. (BSLC),1/29/25 15:18,1/17/25 1:30 PM to 3:30 PM,"Unattended, unsecured jacket taken",Open,25-00110
Burglary,6054 S. Drexel (Parking Garage),1/29/25 20:21,1/29/25 20:20,Unknown person took property from a parked vehicle / Suspect arrested on 4/26/25 / Refer to Incident 25-00490,Arrest,25-00111
Information,5500 S. University (Campus North RH),1/29/25 23:23,1/29/25 23:05,Information regarding a suspicious person in the building lobby was documented,Closed,25-00112
Found Property,5460 S. University,1/30/25 3:40,1/30/25 3:40,A set of keys was found and turned over to UCPD for safekeeping,Closed,25-00113
Found Property,850 E. 61st St. (UCPD HQ),1/30/25 14:02,1/30/29 14:02,A wallet was found on a UC shuttle bus and turned over to UCPD for safekeeping,Closed,25-00114
Medical Call,5734 S. Ellis (Hinds Lab),1/30/25 16:59,1/30/25 16:40,A person in need of medical assistance self-transported to UCM for treatment,Closed,25-00115
Missing Person,Drexel between 52nd & 53rd,1/30/25 22:52,1/30/25 22:52,A person was reported missing by a roommate,Closed,25-00116
Information / Battery,Ingleside between 54th & 55th,1/30/25 23:54,1/30/25 23:40,An off-campus building resident and a former resident involved in a dispute that became physical / Suspect fled / Referred to CPD,Referred,2025-004746
Found Narcotics,5815 S. Maryland (Mitchell Hospital),1/31/25 10:47,1/31/25 10:43,Narcotics and drug paraphernalia found by a UCM staff member turned over to UCPD for proper disposal,Closed,25-00117
Traffic Crash / Property Damage / Hit & Run,5840 S. Maryland (Parking Structure),1/31/25 12:30,1/31/25 11:30 AM to 11:35 AM,"A vehicle struck an unoccupied, parked vehicle / Driver left the scene without making a report",Open,25-00118
Mental Health Transport,5035 S. East End,1/31/25 16:03,1/31/25 16:03,A person was transported to UCMED for evaluation,Closed,25-00119
Found Property,5600 S. Ellis (Public Way),1/31/25 23:04,1/31/25 23:03,A telephone was found and returned to owner,Closed,25-00120
Deceptive Practice / Fraud,1414 E. 59th St. (I-House),2/1/25 15:14,1/25/25 to 2/1/25 9:00 AM to 3:00 PM,Fraudulent rental scam documented,Open,25-00121
Information / Theft,1346 E. 53rd St. (Target),2/1/25 15:39,2/1/25 15:37,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-005031
Information / Criminal Damage to Property,52nd St. between Kimbark & Kenwood,2/2/25 4:24,2/2/25 2:00,Unknown person(s) smashed window in entrance door of off-campus private apartment building / Referred to CPD,Referred,2025-005133
Information / Aggravated Battery,Woodlawn between 61st & 62nd,2/2/25 11:18,2/2/25 11:18,Victim reports a person struck him on the head with a blunt object causing a laceration while inside of an off-campus apartment building / CPD officers arrested a suspect / CPD case JJ135730,CPD,2025-005166
Motor Vehicle Theft,6054 S. Drexel (Parking Structure),2/2/25 13:52,2/2/25 8:00 AM to 2:55 PM,Incident Unfounded / Vehicle located on the street where confused complainant parked the car,Unfounded,25-00122
Warrant Arrest / Narcotics Arrest,4415 S. Cottage Grove (Public Way),2/2/25 18:55,2/2/25 18:55,"Subsequent to a traffic stop, UCPD officers arrested one person for a warrant from DuPage County, IL and another person for possession of narcotics",Arrest,25-00123
Found Property,970 E. 58th St. (Bookstore),2/3/25 9:58,2/3/25 9:58,Credit card found and turned over to UCPD for safekeeping,Closed,25-00124
Theft,1101 E. 56th St. (Max Palevsky RH),2/3/25 11:33,2/1/25 to 2/2/25 2:00 PM to 12:30 PM,A parcel delivered to the desk was taken by unknown person,Open,25-00125
Other Offense / Eavesdropping,5700 S. Maryland (CCD),2/3/25 11:17,2/3/25 11:13,Video recording device found in room / Incident documented,Open,25-00126
DUI,1133 E. 63rd St. (Public Way),2/3/25 14:19,2/3/25 14:18,UCPD officer arrested a motorist for DUI,Arrest,25-00127
Information / Theft,54th Pl. between Drexel & Ingleside,2/3/25 15:30,2/3/25 15:00,Package taken from front porch of off-campus residence / Referred to CPD,Referred,2025-005328
Theft,5812 S. Ellis (Surgery Brain Research),2/4/25 13:29,1/30/25 to 2/4/25 12:00 PM to 11:30 AM,A 3D printer was taken from a shared office space,Open,25-00128
Theft,5225 S. Cottage Grove (Facilities),2/4/25 16:08,2/4/25 12:00 PM to 3:00 PM,"Jacket taken from inventory in unsecured office / Subsequent to follow up investigation, the jacket was found and had not been stolen",Unfounded,25-00129
Motor Vehicle Theft Recovery,947 E. Hyde Park (Public Way),2/4/25 16:40,2/4/25 16:40,A subject stole a 2023 Honda and was later located and arrested by UCPD officer / CPD case JJ138197,CPD,25-00130
"Traffic Offense / Fleeing, Eluding Police",1400 E. Midway Pl. (Public Way),2/4/25 20:47,2/4/25 20:45,A subject committed traffic violations and fled police / Vehicle later located parked at the curb off-campus / Vehicle towed,Open,25-00131
Theft,1554 E. 55th St. (Walgreens),2/4/25 23:19,2/4/25 23:18,A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officer,Arrest,25-00132
Information / Criminal Damage to Property,51st & Cornell (Public Way),2/5/25 0:55,2/5/25 0:55,An unknown subject discharged a firearm / An unoccupied vehicle parked on the street was damaged / CPD case,CPD,2025-005580
Information / Aggravated Assault,1366 E. 62nd St. (Public Way),2/5/25 6:28,2/5/25 6:10,Two unknown subjects fired a handgun in the direction of a person on the sidewalk off-campus / No injuries or property damage reported / CPD case JJ138755,CPD,2025-005603
Missing Person,860 E. 59th St. (Goldblatt Hospital),2/5/25 7:42,1/30/25 to 2/5/25 12:00 PM to 8:00 AM,"A person reported missing from Harvey, Il found by UCPD / Harvey P.D. notified",Closed,25-00133
Information / Armed Robbery,5211 S. Greenwood (Public Way),2/6/25 0:08,2/6/25 0:00,"Three unknown suspects, armed with handguns, took property from two victims walking on the street off-campus / CPD case JJ139822",CPD,2025-005740
Medical Call,5900 S. Ellis (Public Way),2/6/25 0:24,2/6/24 0:12,A person slipped on icy sidewalk and injured ankle / Transported to UCMED by CFD EMS,Closed,25-00134
Medical Call,5630 S. University (Max Palevsky RH),2/6/25 0:17,2/6/25 0:17,A person in need of medical attention was transported to UCMED by CFD EMS,Closed,25-00135
Theft,5640 S. Ellis (ERC),2/6/25 9:52,2/6/25 9:51,A subject took food from a restaurant in the building without paying / Arrested by UCPD,Arrest,25-00136
