Incident Type,Date/Time Occurred,Location,Disposition
Motor Vehicle Theft,3/4/25 20:30,Eliot House D,Open
Visitor Conduct,3/4/25 22:11,American Repertory Theater,Closed
Theft,3/5/25 11:00,85-95 Prescott St,Open
Visitor Conduct,3/5/25 12:35,Smith Campus Center,Closed
Demonstration,3/5/25 12:39,Wasserstein Hall,Closed
Suspicious Activity,3/5/25 17:16,Tosteson Mec,Closed
Trespass Warning,3/5/25 19:01,Center for Govt and Inter Studies,Closed
Vandalism Report,3/6/25 0:00,Harvard Yard,Open
Visitor Conduct,3/6/25 8:41,38 Oxford,Closed
Suspicious Call/Mail/Text/Social Media,3/6/25 10:51,Smith Campus Center,Closed
Visitor Conduct,3/6/25 12:08,Laboratory for Integrated Science and Engineering,Closed
Theft,3/6/25 15:00,Widener Library,Closed
Vandalism Report,3/6/25 15:15,Fogg Museum,Open
Noise Complaint,3/7/25 0:36,1 Western Ave,Closed
Theft,3/7/25 11:30,Thayer Hall North,Open
Property Damage,3/7/25 11:59,Memorial Hall,Closed
Suspicious Activity,3/7/25 12:18,Harvard University Police Department,Closed
Annoying Calls/Texts/Mail,3/7/25 14:19,Massachusetts Hall,Closed
Assist Cambridge Police,3/7/25 15:04,32 Quincy St,Closed
Visitor Conduct,3/7/25 18:44,Story Hall,Closed
Property Damage,3/8/25 9:57,Allston,Closed
Theft,3/8/25 10:00,Hurlbut Hall North,Open
Property Damage,3/8/25 11:09,SPH - Building 2,Closed
Suspicious Odor/Smoke,3/8/25 18:06,Quincy House - Stone Hall,Closed
Trespass Warning,3/8/25 20:51,Quincy House Library,Closed
Suspicious Activity,3/9/25 9:14,Peabody Terrace Bldg B,Closed
Noise Complaint,3/9/25 12:31,Soldiers Field Park Bldg 2,Closed
Theft,3/9/25 13:50,27 Everett St,Open
Visitor Conduct,3/9/25 16:12,Emerson Hall,Closed
Visitor Conduct,3/9/25 16:36,Science Center,Closed
Fire,3/9/25 17:11,85-95 Prescott St,Closed
Visitor Conduct,3/9/25 21:43,Fogg Museum,Closed
Visitor Conduct,3/10/25 11:11,Smith Campus Center,Closed
Visitor Conduct,3/10/25 13:03,305 Holden Green,Closed
Visitor Conduct,3/10/25 13:23,Smith Campus Center,Closed
Theft,3/10/25 15:00,Terry Terrace,Open
Theft,3/10/25 19:45,27 Everett St,Closed
Trespass Warning,3/11/25 1:39,20 Dewolfe St,Closed
Visitor Conduct,3/11/25 7:05,Peabody Terrace Bldg A,Closed
Vandalism Report,3/11/25 7:30,Smith Campus Center,Closed
Theft,3/11/25 8:00,153-155 Mount Auburn St,Open
Suspicious Activity,3/11/25 8:57,Holworthy Hall Middle,Closed
Motor Vehicle Accident,3/11/25 9:45,7 Ware St,Closed
Suspicious Activity,3/11/25 10:23,Shattuck International House,Closed
Demonstration,3/11/25 12:27,Langdell Hall,Closed
Fire,3/11/25 13:00,33 Kirkland St,Closed
Annoying Calls/Texts/Mail,3/11/25 13:02,Center for Middle Eastern Stud,Closed
Fire,3/11/25 14:23,Science Center Plaza,Closed
Visitor Conduct,3/11/25 16:55,Lyman Lab,Open
Fire,3/11/25 17:48,Peabody Terrace Bldg D,Closed
Visitor Conduct,3/12/25 7:10,Smith Campus Center,Closed
Disturbance,3/12/25 10:54,Smith Campus Center,Closed
Trespass Warning,3/12/25 11:39,Smith Campus Center,Closed
Domestic Disturbance,3/12/25 14:05,Peabody Terrace Bldg E,Closed
Visitor Conduct,3/12/25 14:26,Matthews Hall South,Closed
Trespass Warning,3/12/25 16:26,Cabot Science Library,Closed
Theft,3/12/25 18:00,Connell House,Open
Theft,3/12/25 20:30,1 Western Ave,Open
Visitor Conduct,3/13/25 9:02,Center for the Study of World Religions,Closed
Theft,3/13/25 12:00,Smith Campus Center,Closed
Suspicious Activity,3/13/25 13:52,33 Shaler Lane,Closed
Visitor Conduct,3/13/25 14:36,Science Center,Closed
Demonstration,3/13/25 16:21,Widener Library,Closed
Theft,3/15/25 14:00,37-41 Kirkland St,Open
Theft,3/15/25 19:00,GSAS Student Center at Lehman Hall,Open
Visitor Conduct,3/15/25 21:38,114 Western Ave,
Suspicious Activity,3/15/25 23:43,Cabot House H - Whitman Hall,Open
Suspicious Activity,3/16/25 0:29,Leverett House Towers F,Closed
Visitor Conduct,3/16/25 17:36,Austin Hall,Closed
Theft,3/16/25 18:55,Vanderbilt Hall,Open
Annoying Calls/Texts/Mail,3/17/25 9:39,Smith Campus Center,Open
Theft,3/17/25 11:00,20 Sumner Rd,Open
Suspicious Activity,3/17/25 15:53,Cabot House H - Whitman Hall,Open
Motor Vehicle Accident,3/17/25 16:34,Center for Govt and Inter Studies,Closed
Visitor Conduct,3/17/25 21:56,Smith Campus Center,Closed
Hazardous Condition,3/18/25 8:57,Business School Deans House,Closed
Theft,3/18/25 10:00,Eliot House G,Open
Motor Vehicle Theft,3/18/25 16:00,Smith Campus Center,Open
Visitor Conduct,3/19/25 7:59,Warren Alpert Building Garage,Closed
Visitor Conduct,3/19/25 15:17,Canaday Hall D,Closed
Field Interview,3/19/25 17:27,Wasserstein Hall,Closed
Visitor Conduct,3/20/25 0:17,Gund Hall 42-48 Quincy St,Closed
Suspicious Activity,3/20/25 10:42,Cabot House F - Whitman Hall,Closed
Demonstration,3/20/25 14:35,Sever Hall,Closed
Suspicious Package/Bag,3/20/25 21:35,Memorial Church,Closed
Visitor Conduct,3/21/25 14:25,New Research Building,Closed
Theft,3/21/25 15:15,New Research Building,Open
Theft,3/22/25 12:00,Hemenway Gymnasium H,Closed
Motor Vehicle Theft,3/22/25 12:00,Quincy House Dining Hall,Open
Visitor Conduct,3/22/25 19:19,Smith Campus Center,Closed
Motor Vehicle Theft,3/22/25 20:30,Harvard Yard,Closed
Trespass Warning,3/23/25 11:15,Littauer Hks,Closed
Assist Cambridge Police,3/23/25 16:42,James St/Brattle St,Closed
Harassment,3/23/25 19:21,28 Fernald Dr,Closed
Field Interview,3/23/25 21:29,Harvard University Police Department,Closed
Trespass Warning,3/24/25 0:00,Smith Campus Center,Closed
Trespass Warning,3/24/25 1:49,Biology Lab,Arrest
Annoying Calls/Texts/Mail,3/24/25 11:07,SPH - Building 2,Closed
Suspicious Activity,3/24/25 13:25,Harkness Commons,Closed
Visitor Conduct,3/24/25 14:00,New Research Building,Closed
Visitor Conduct,3/24/25 15:12,4 Blackfan Cir,Closed
Indecent Exposure,3/24/25 15:30,Smith Campus Center,Open
Vandalism Report,3/24/25 16:25,Wasserstein Hall,Open
Suspicious Activity,3/24/25 21:17,9 Oxford St,Closed
Visitor Conduct,3/25/25 3:00,Dunster House,Closed
Trespass Warning,3/25/25 10:54,University Herbaria,Closed
Trespass Warning,3/25/25 11:48,Smith Campus Center,Closed
Theft,3/26/25 1:00,Dunster House,Open
Theft,3/26/25 11:00,19 Everett St,Open
Suspicious Odor/Smoke,3/26/25 20:34,Mt Auburn St/Dunster St,Closed
Demonstration,3/27/25 11:11,Widener Library,Closed
Demonstration,3/27/25 15:30,Smith Campus Center,Closed
Harassment,3/27/25 16:37,Harvard University Police Department,Open
Suspicious Activity,3/27/25 16:38,Weld Boathouse,Closed
