Incident Type,Case Number,Date/Time Reported,Date/Time Occurred,Location,Disposition
,,,,235 Hope Street,
Larceny (bicycle),25-199-OF,2/24/25 1732,2/22/25 1700 2/24/25 1752,129 Waterman Street (outside),Open
Vandalism,25-206-OF,2/25/25 1216,2/25/25 1200 2/25/25 1235,Walkway Angell and Waterman - 143 Angell St,Open
Larceny (scooter),25-209-OF,2/25/25 1546,2/2425 1500 2/24/25 1800,Perkins Hall (outside) 154 Power St,Open
Simple Assault,25-210-OF,2/25/25 1356,2/25/25 1356,Main Green,Open
Hazing ,,,,75 Waterman Street,Updated 4/1/25
Sex Offense - Rape,25-212-OF,2/26/25,2/9/25,Residence,CSA form 
,25-5-CSA,,,,
Stalking,25-226-OF,2/27/25,8/1/24 1200 2/26/25,On Campus,Open
Vandalism,25-227-OF,2/27/25 1503,Unknown,CIT Building 115 Waterman Street,Open
Larceny (wallet),25-254-OF,3/3/25 1730,3/3/25 1300 3/3/25 1400,222 Richmond Street - (outside),Open
Larceny (jacket),25-280-OF,3/7/25 1654,3/7/25 14303/7/25 1630,Nelson Fitness Center ,Open
,,,,225 Hope Street,
Vandalism,25-311-OF,3/14/25 0938,3/13/25 0000 3/14/25 0900,126 Power Street,Open
Vandalism,25-312-OF,3/14/25 1301,3/14/25 0000 3/14/25 1330,Wriston Quad,Open
,,,,27 Brown Street,
Vandalism,25-315-OF,3/14/25 1556,3/14/25 0000 3/14/25 1545,Lot 10,Open
,,,,111 Brown Street,
Larceny (clothing),25-333-OF,3/17/25 1543,2/14/25 0820 2/24/25 1200,Andrews Hall,Open
,,,,234 Bowen St,
Larceny (Bank Fraud),25-341-OF,3/18/25 2052,3/18/25 0900 3/18/25 1100,Nelson Fitness Center,Open
,,,,225 Hope Street,
Larceny (bicycle),25-346-OF,3/19/25 1008,3/18/25 0930 3/19/25 1000,Sidney Frank Hall (outside),Open
,,,,18 Meeting St,
Vandalism,25-355-OF,3/20/25 2028,Unknown,Archibald House,Open
,,,,17 Benevolent St,
Larceny (scooter),25-362-OF,3/23/25 1626,3/23/23 1520 3/23/25 1620,Rockefeller Library (outside),Open
,,,,10 Prospect St,
Vandalism,25-425-OF,4/7/25 0800,Unknown,Friedman Center,Open
,,,,90 George Street,
Assist Providence Police/Larceny,25-447-OF,4/9/25 2054,4/9/25 1800 4/9/25 2030,Brook and Meeting Streets,TOT PPD
Larceny (groceries),25-459-OF,4/12/25 1421,4/12/25 1248 4/12/12 1400,Vartan Gregorian Quad A ,Open
,,,,103 Thayer Street,
Larceny (clothing),25-464-OF,4/13/25 1426,4/13/25 1403 4/13/25 1410,Brown Bookstore,Open
,,,,244 Thayer Street,
Vandalism,25-467-OF,4/14/25 1254,4/12/25 2345 4/13/25 2345,Jameson House,Open
,,,,11 Benevolent Street,
Larceny (gumball machine),25-473-OF,4/14/25 2207,4/14/25 1800 4/14/25 2207,Sayles Hall,Open
,,,,81 Waterman Street,
Larceny (stone drain) ,25-491-OF,4/17/25 1031,December 2024 to 4/17/25 1032,Kasper Multipurpose Room (outside),Open
,,,,75 Waterman St,
"Larceny (Airpods, Brown ID)",25-507-OF,4/19/25 1540,4/18/25 1800 4/18/25 2100,Sharpe Refectory,Open
,,,,144 Thayer Street,
Vandalism,25-519-OF,4/21/25 1119,Unknown,Campus Center,Open
,,,,75 Waterman Street,
Vandalism,25-524-OF,4/21/25 1813,Unknown,Lot 5,Open
,,,,172 Meeting Street,
Larceny,25-526-OF,4/22/25 1046,4/20/25 1426 4/21/25 0930,Page Robinson Hall,Open
,,,,69 Brown Street,
Larceny,25-536-OF,4/25/25 1506,4/25//25 0037 4/25/25 1506,Vartan Gregorian Quad A,Open
,,,,144 Thayer Street,
Vandalism,25-549-OF,4/26/25 1848,Unknown,Archibald-Bronson,Open
,,,,Everett-Poland,
,,,,17 Benevolent St,
Larceny,25-556-OF,4/27/25 2155,Winter Break 2024/2025,250 Brook Street,Open
