Incident Number,Date Reported,Time Reported,Incident Type,Location,Disposition,Narrative,Date/Time Occurred
250442,3/13/25,18:20,MV Damage,Columbus Garage,Report Filed,Caller reports damage to vehicle.,3/13/25 8:00
250437,3/13/25,2:36,Larceny,Snell Quad,Report Filed,Caller reports scooter stolen.,3/12/25 14:37
250436,3/12/25,23:45,Larceny,INV,Report Filed,Caller reports wallet stolen.,3/12/25 11:00
250435,3/12/25,19:22,Larceny,Massachusetts Ave,Report Filed,Caller reports scooter stolen.,3/12/25 16:00
25-03-12- 003864,3/12/25,11:01,OAA Graffiti,Ruggles Station,Transit Assumed Jurisdiction,Caller reports graffiti.,3/12/25 11:01
25-03-12- 003875,3/12/25,14:51,Investigate Premises,Richards Hall,Area Checked,Caller reports individual inside restroom for over a half an hour.,3/12/25 14:51
25-03-11- 003782,3/11/25,10:30,Parking Violation,Leon St,Services Rendered,Caller reports illegally parked vehicles.,3/11/25 10:30
250420,3/11/25,11:25,Harassment,Electronic,Report Filed,Caller reports ongoing harassment by known individual.,1/9/22 9:00
25-03-11- 003808,3/11/25,15:15,Investigate Person,Columbus Parking Garage,Area Checked,Caller reports individual sleeping in a vehicle.,3/11/25 15:15
250428,3/11/25,17:55,Larceny,Public Alley 807,Report Filed,Caller reports attempted larceny.,3/11/25 17:55
250418,3/11/25,7:43,Vandalism,Hastings,Report Filed,Caller reports restroom vandalized.,3/10/25 16:48
250425,3/11/25,15:27,Fraud,West G,Report Filed,Caller reports apartment scam.,3/2/25 10:30
250421,3/11/25,11:49,Shoplifting,Marino Center Wollaston's,Report Filed,Caller reports individual shoplifted.,3/11/25 11:49
250430,3/11/25,21:27,Larceny,Egan Center,Report Filed,Caller reports bicycle stolen.,3/11/25 11:00
250411,3/10/25,9:56,Malicious Destruction,Columbus Garage,Report Filed,Caller reports vehicle was keyed.,3/7/25 8:45
25-03-10- 003728,3/10/25,12:38,MV Accident,St. Botolph St,Services Rendered,Motor vehicle accident.,3/10/25 12:38
250410,3/10/25,5:12,Larceny,Snell Library,Report Filed,Caller reports scooter stolen.,3/10/25 1:30
250415,3/10/25,16:28,OAA Suspicious Activity,Off Campus,Report Filed,Caller reports suspicious email.,3/10/25 16:28
250402,3/6/25,18:08,Operating To Endanger,Krentzman Quad,Report Filed,Caller reports vehicle operating erratically.,3/6/25 18:08
25-03-06- 003584,3/6/25,12:12,Investigate Premises,140 The Fenway,Services Rendered,Caller reports odor of gas in the area.,3/6/25 12:12
250404,3/6/25,20:44,Larceny,ISEC Footbridge,Report Filed,Caller reports moped stolen.,3/4/25 12:00
250398,3/5/25,14:26,Larceny,780 Columbus Ave,Report Filed,Caller reports shoes stolen.,2/28/25 16:00
250397,3/5/25,13:54,Malicious Destruction,Egan Center,Report Filed,Caller reports projector damaged.,3/4/25 10:45
25-03-04- 003502,3/4/25,23:30,Investigate Person,ISEC Footbridge,Sent On Way,Caller reports individual acting suspiciously.,3/4/25 23:30
25-03-04- 003499,3/4/25,19:19,Noise Complaint,337 Huntington Ave,Services Rendered,Caller reports noise complaint.,3/4/25 19:19
250391,3/3/25,15:17,OAA Sexual Harassment,Off Campus,Report Filed,Caller reports being harassed by known individual.,3/1/25 12:00
250390,3/3/25,9:47,Suspicious Activity,West E Quad,Report Filed,Caller reports suspicious activity in the patio area.,3/3/25 9:47
25-03-03- 003467,3/3/25,22:41,Trespassing,Hastings,Sent On Way,Caller reports trespassed individual in the area.,3/3/25 22:41
250401,3/3/25,14:53,Larceny,Lightview,Report Filed,Caller reports food delivery stolen.,3/3/25 14:14
25-03-02- 003430,3/2/25,22:51,Investigate Person,Renaissance Park Garage,Services Rendered,Caller reports individual acting suspiciously.,3/2/25 22:51
25-03-02- 003412,3/2/25,3:29,Fire Alarm,EXP,Services Rendered,General fire alarm received. No smoke or fire.,3/2/25 3:29
250386,3/1/25,7:45,Trespassing,Dockser Hall,Report Filed,Caller reports individual trespassing in the building.,3/1/25 7:45
25-03-01- 003364,3/1/25,1:37,Investigate Premises,Kennedy Hall,Area Checked,Caller reports individuals on the fire escape.,3/1/25 1:37
250385,3/1/25,2:37,Intoxicated Person,Lightview,Report Filed,Caller reports intoxicated individual.,3/1/25 2:37
250383,2/28/25,22:11,Larceny,Huntington Ave,Report Filed,Caller reports scooter stolen.,2/28/25 19:00
25-02-28- 003317,2/28/25,11:15,Parking Violation,Leon St,Services Rendered,Caller reports illegally parked vehicle.,2/28/25 11:15
250377,2/28/25,17:50,Larceny,Lightview,Report Filed,Caller reports package stolen.,2/25/25 21:30
250370,2/28/25,1:31,OAA Trespassing,Off Campus,OAA Assumed Jurisdiction,Caller reports past trespassing incident.,2/27/25 21:00
25-02-28- 003329,2/28/25,13:01,Parking Violation,St. Botolph St,Area Checked,Caller reports illegally parked vehicle.,2/28/25 13:01
250384,2/28/25,23:30,Larceny,Snell Quad,Report Filed,Caller reports scooter stolen.,2/28/25 20:00
250378,2/28/25,19:15,OAA Fraud,Electronic,Report Filed,Caller reports immigration scam.,2/28/25 12:00
250363,2/27/25,11:24,Trespassing,Ell Hall,Report Filed,Caller reports trespassed individual in the area.,2/27/25 11:24
25-02-27- 003249,2/27/25,6:22,Fire Alarm,EXP,Services Rendered,General fire alarm received. No smoke or fire.,2/27/25 6:22
250368,2/27/25,23:37,Trespassing,Snell Library,Arrest,"Trespassed individual, identified as Dien Hu, located inside the building and placed under arrest.",2/27/25 23:37
250361,2/27/25,1:58,Larceny,Snell Library,Report Filed,Caller reports laptop stolen.,2/27/25 0:29
25-02-27- 003263,2/27/25,12:08,Parking Violation,Columbus Ave,Report Filed,Caller reports illegally parked vehicle.,2/27/25 12:08
25-02-27- 003268,2/27/25,15:47,Investigate Premises,West E,Services Rendered,Caller reports individual on the roof.,2/27/25 15:47
250357,2/26/25,16:51,Larceny By False Pretense,Electronic,Report Filed,Caller reports concert ticket scam.,2/25/25 12:00
250355,2/26/25,12:20,Fraud,Electronic,Report Filed,Caller reports fraudulent activity on credit card.,9/15/24 8:00
250354,2/26/25,10:35,Shoplifting,Marino Center Wollaston's,Report Filed,Caller reports individual attempted to shoplift.,2/26/25 10:35
250359,2/26/25,21:47,Malicious Destruction,INV,Report Filed,Caller reports damage in the laundry room.,2/26/25 21:47
250356,2/26/25,15:17,Disorderly Conduct,Nightingale Hall,Report Filed,Caller reports disorderly individual.,2/26/25 15:17
25-02-26- 003198,2/26/25,10:32,Proctor Sign In Violation,Smith Hall,Area Checked,Caller reports individual entered without swiping in.,2/26/25 10:32
25-02-25- 003137,2/25/25,11:30,OAA Fraud,Off Campus,Services Rendered,Caller reports known individual made a fraudulent transaction.,2/25/25 11:30
250350,2/25/25,13:57,Vandalism,Squashbusters,Report Filed,Caller reports poster vandalized.,2/25/25 13:57
250347,2/25/25,12:13,Possession Of Fake ID,Columbus Place,Report Filed,Fake ID located.,2/25/25 12:13
25-02-25- 003130,2/25/25,7:43,Parking Violation,White Hall,Services Rendered,Caller reports illegally parked vehicle.,2/25/25 7:43
250346,2/24/25,23:15,Shoplifting,Marino Center Wollaston's,Report Filed,Caller reports individual shoplifted.,2/24/25 23:15
250341,2/24/25,15:16,Shoplifting,Marino Center Wollaston's,Report Filed,Caller reports individual shoplifted.,2/24/25 15:16
250344,2/24/25,19:57,Larceny,Speare Hall,Report Filed,Caller reports sheets stolen from laundry room.,2/24/25 18:00
25-02-24- 003101,2/24/25,20:45,OAA MV Damage,Parker St,Services Rendered,Caller reports damage to motor vehicle.,2/24/25 20:45
25-02-24- 003076,2/24/25,2:47,Investigate Person,INV,Services Rendered,Individual loitering in the area.,2/24/25 2:47
250339,2/24/25,12:11,Malicious Destruction,Stetson West,Report Filed,Caller reports exit signs damaged.,2/24/25 8:00
25-02-23- 003070,2/23/25,22:35,Investigate Premises,Hayden Hall,Area Checked,Caller reports individual loitering in the area.,2/23/25 22:35
25-02-23- 003062,2/23/25,18:02,Proctor Sign In Violation,Stetson West,Services Rendered,Caller reports sign in violation.,2/23/25 18:02
25-02-23- 003043,2/23/25,2:33,Investigate Person,INV,Services Rendered,Caller reports individual sleeping in the lobby.,2/23/25 2:33
25-02-22- 002977,2/22/25,1:04,Investigate Person,West E,Area Checked,Caller reports suspicious individual.,2/22/25 1:04
250333,2/22/25,14:18,Suspicious Activity,Snell Library,Report Filed,Caller reports suspicious activity in restroom.,2/22/25 14:18
250332,2/22/25,14:27,Larceny,Renaissance Park Garage,Report Filed,Caller reports bicycle stolen.,2/11/25 15:00
25-02-22- 003015,2/22/25,16:15,Investigate Premises,Edwards Hall,Area Checked,Caller reports individual screaming in the area.,2/22/25 16:15
250330,2/22/25,1:37,Intoxicated Person; Possession Of Fake ID,Leon St,Transport To Hospital,Intoxicated individual located.,2/22/25 1:37
25-02-22- 003010,2/22/25,14:22,Proctor Sign In Violation,Davenport A,Area Checked,Caller reports sign in violation.,2/22/25 14:22
250329,2/22/25,1:36,Trespassing,Hayden Hall,Summons To Issue,"Previously trespassed individual, identified as Arpan Singh, located inside building. Subject to be summonsed to court.",2/22/25 1:36
250327,2/21/25,22:38,Shoplifting,Marino Center Wollaston's,Report Filed,Caller reports two individuals shoplifted.,2/21/25 22:38
25-02-21- 002953,2/21/25,1:27,Intoxicated Person,Light Hall,Services Rendered,Caller reports intoxicated individual.,2/21/25 1:27
250326,2/21/25,17:08,OAA Larceny,Off Campus,Report Filed,Caller reports wallet stolen and fraudulent charges made.,2/19/25 20:00
25-02-20- 002929,2/20/25,11:57,Parking Violation,Columbus Ave,Services Rendered,Caller reports illegally parked vehicle.,2/20/25 11:57
250325,2/20/25,16:33,Trespassing,Hayden Hall,Report Filed,Caller reports individual sleeping in a lab.,2/18/25 21:00
25-02-20- 002938,2/20/25,17:51,Investigate Premises,Hastings,Area Checked,Caller reports individual loitering in the stairwell.,2/20/25 17:51
25-02-20- 002947,2/20/25,23:10,Intoxicated Person,Davenport B,Services Rendered,Caller reports intoxicated individual.,2/20/25 23:10
250318,2/19/25,18:02,OAA Fraud,Electronic,Report Filed,Caller reports fraud.,2/19/25 9:40
25-02-19- 002899,2/19/25,19:51,Investigate Person,Hayden Hall,Sent On Way,Caller reports individual inside conference room without permission.,2/19/25 19:51
250309,2/18/25,12:50,Shoplifting,Marino Center Wollaston's,Report Filed,Caller reports individual shoplifted.,2/18/25 12:50
250306,2/18/25,11:56,Suspicious Activity,Hayden Hall,Report Filed,Caller reports suspicious activity.,2/17/25 23:30
250324,2/18/25,1:06,Trespassing,Cabot,Report Filed,Caller reports individual trespassing after hours.,2/18/25 1:06
250303,2/17/25,1:35,Malicious Destruction,Smith Hall,Report Filed,Caller reports damage to exit sign.,2/17/25 1:35
240644,4/15/24,18:02,Larceny,Speare Hall,Report Filed,"Caller reports laptop and headphones stolen. Items later located, no larceny occurred.",4/13/24 19:00
25-03-20- 004506,3/20/25,19:08,OAA Fraud,Electronic,BPD Assumed Jurisdiction,Caller reports being scammed.,3/20/25 19:08
25-03-20- 004487,3/20/25,16:49,Investigate Premises,St. Botolph St,Services Rendered,Caller reports possibly being followed by unknown individual.,3/20/25 16:49
250502,3/20/25,17:41,Shoplifting,Marino Center Wollaston's,Report Filed,Caller reports individual attempted to shoplift.,3/20/25 17:41
250499,3/20/25,12:30,OAA Armed Robbery,Off Campus,BPD Assumed Jurisdiction,Officers assisted BPD in an off campus robbery.,3/20/25 12:30
250496,3/20/25,8:11,B&E Into MV,North Lot,Arrest,"Officer flagged down for unknown individual sleeping in backseat of their vehicle. Officers located suspect, identified as Calvin White, and placed him under arrest.",3/20/25 8:11
25-03-19- 004408,3/19/25,19:48,Investigate Person,Camden St,Area Checked,Caller reports individual attempting to gain entry to construction site.,3/19/25 19:48
25-03-19- 004417,3/19/25,21:13,Suspicious Activity,Southwest Corridor,Area Checked,Caller reports suspicious activity involving unknown individuals.,3/19/25 21:13
25-03-19- 004360,3/19/25,9:57,OAA Investigate Premises,Belvidere St,OAA Assumed Jurisdiction,Caller reports alot of smoke in the area. No fire.,3/19/25 9:57
25-03-16- 004145,3/16/25,1:41,Investigate Person,Centennial Common,Sent On Way,Caller reports individual acting erratically.,3/16/25 1:41
25-03-16- 004182,3/16/25,20:39,Suspicion Of MJ Use,Renaissance Park Garage,Area Checked,Caller reports odor of marijuana.,3/16/25 20:39
25-03-16- 004185,3/16/25,22:27,Suspicious Activity,Massachusetts Ave,Services Rendered,Caller reports suspicious activity.,3/16/25 22:27
250467,3/16/25,14:02,Roommate Dispute,West A Hi-Rise,Report Filed,Caller reports roommate dispute.,3/16/25 14:02
250466,3/16/25,14:10,Intoxicated Person,Columbus Garage,Transport To Hospital,Caller reports intoxicated individual.,3/16/25 14:10
25-03-15- 004099,3/15/25,11:48,Investigate Person,West Quad,Sent On Way,Individual loitering in the area.,3/15/25 11:48
250455,3/15/25,15:35,Intoxicated Person,Huntington Ave,Transport To Hospital,Caller reports intoxicated individual.,3/15/25 15:35
250451,3/15/25,0:33,Intoxicated Person,Speare Hall,Transport To Hospital,Caller reports intoxicated individual.,3/15/25 0:33
250458,3/15/25,17:07,Shoplifting,Marino Center Wollaston's,Report Filed,Caller reports individual shoplifted.,3/15/25 17:07
250449,3/14/25,17:45,Larceny,Centennial Common,Report Filed,Caller reports scooter stolen.,3/14/25 15:30
25-02-24- 003094,2/24/25,15:26,OAA MV Damage,Off Campus,Services Rendered,Caller reports damage to motor vehicle.,2/24/25 15:26
250343,2/24/25,19:01,OAA Fraud,Electronic,Report Filed,Caller reports immigration scam.,2/24/25 19:01
250345,2/24/25,21:36,Malicious Destruction,INV,Report Filed,Caller reports damage in laundry room.,2/24/25 20:00
250340,2/24/25,13:48,MV Damage,Benton St,Report Filed,Damage to motor vehicle.,2/24/25 13:48
250338,2/24/25,9:02,MV Accident,Westland Ave,Report Filed,Motor vehicle accident.,2/24/25 9:02
250336,2/23/25,0:17,Intoxicated Person,St. Botolph St,Report Filed,Caller reports intoxicated individual.,2/23/25 0:17
25-02-23- 003044,2/23/25,3:01,Investigate Premises,Edwards Hall,Services Rendered,Caller reports individuals smoking in the building.,2/23/25 3:01
25-02-23- 003061,2/23/25,17:39,Proctor Sign In Violation,East Village,Area Checked,Caller reports individual entered without swiping in.,2/23/25 17:39
25-02-22- 002998,2/22/25,9:04,OAA ABDW,Off Campus,BPD Assumed Jurisdiction,Officers monitored the area of Massachusetts Ave after reports of an assault off campus.,2/22/25 9:04
250334,2/22/25,19:32,Larceny,West E,Report Filed,Caller reports package stolen.,2/22/25 13:17
25-02-22- 003008,2/22/25,13:44,Parking Violation,Gainsborough Garage,Area Checked,Caller reports vehicle blocking the entrance.,2/22/25 13:44
25-02-22- 002982,2/22/25,1:59,Fire Alarm,West E,Services Rendered,General fire alarm received. No smoke or fire.,2/22/25 1:59
25-02-22- 002987,2/22/25,6:55,Investigate Person,Egan Access Rd,Sent On Way,Caller reports individual sleeping on the ground.,2/22/25 6:55
250186,1/31/25,1:11,Harassment,INV,,,Report Filed Callers report being harassed by unknown individual.
250176,1/29/25,17:24,Harassment,Electronic,,,Report Filed Caller reports receiving harassing phone call.
250155,1/27/25,15:08,OAA MV B&E,Coventry St,,,Report Filed Caller reports vehicle broken into and items stolen.
250144,1/25/25,20:28,Liquor Law Violation,Matthews Arena,,,Report Filed Underage individuals found in possession of alcohol.
250124,1/22/25,20:23,MV Accident,"Renassiance Park
Garage",,,Report Filed Motor vehicle accident.
"25-01-19-
001048",1/19/25,13:06,OAA Investigate Person,Ruggles Station,,,"Services
Rendered Verbal dispute between two individuals."
"25-01-17-
000932",1/17/25,18:21,Investigate Premises,Richards Hall,,,Area Checked Caller reports individual attempting to scale an exterior wall.
250085,1/15/25,16:03,Larceny,Carter Park,,,Report Filed Caller reports jacket stolen.
"25-01-12-
000640",1/12/25,22:11,Investigate Premises,Edwards Hall,,,"Services
Rendered Caller reports odor of gas in the area."
250049,1/10/25,12:16,Suspicious Activity,1065 Tremont St,,,Report Filed Caller reports suspicious activity involving packages.
"25-01-07-
000298",1/7/25,14:05,Investigate Person,INV,,,Area Checked Caller reports individual attempted to enter building without swiping in.
"25-01-05-
000158",1/5/25,1:23,OAA Investigate Premises,Huntington Ave,,,"BPD Assumed
Jurisdiction Caller reports suspicious individuals loitering in a parking garage."
241960,12/30/24,22:37,Larceny,Huntington Ave,,,Report Filed Caller reports electric bicycle stolen.
"24-12-23-
023308",12/23/24,2:05,Trespassing,Ryder Hall,,,Sent On Way Caller reports individual loitering in a classroom.
241933,12/18/24,0:16,OAA MV Accident,"Massachusetts
Ave",,,Report Filed Motor vehicle accident.
"24-12-16-
023043",12/16/24,23:55,Investigate Person,"Gainsborough
Garage",,,Area Checked Caller reports group of individuals loitering in the area.
"24-12-12-
022793",12/12/24,5:25,Investigate Premises,"768 Columbus
Ave",,,Area Checked Caller reports door propped open.
241896,12/10/24,10:07,Shoplifting,"Marino Center
Wollaston's",,,Report Filed Caller reports individual shoplifted.
241874,12/6/24,8:41,Trespassing,Ell Hall,,,Report Filed Caller reports individual sleeping on the 4th floor.
241244,9/5/24,15:14,"Weapons Violation;
Malicious Destruction","Burlington
Campus",,,"Summons To Issue Caller reports damaged caused to window. Investigation identified subject as Ron Guy who used an airsoft
weapon to cause damage. Subject to be summonsed."
"25-01-30-
001736",1/30/25,1:04,Investigate Premises,Huntington Ave,,,Area Checked Caller reports hearing an individual yelling for help.
250160,1/28/25,9:31,"Harassment; Bias/Hate
Incident",Electronic,,,Report Filed Caller reports receiving a hate email.
250146,1/26/25,1:17,Intoxciated Person,East Village,,,Report Filed Caller reports intoxicated individual.
250132,1/23/25,17:09,OAA A&B,Off Campus,,,Report Filed Caller reports past assault.
"25-01-21-
001174",1/21/25,17:37,Investigate Person,Marino Center,,,Services Rendered Caller reports individual acting erratically.
250109,1/19/25,23:06,Shoplifting,"Marino Center
Wollaston's",,,Report Filed Caller reports individuals shoplifted.
