Case#,Date/Time Reported,Incident Type,Location,Date/Time Occurred,Disposition
001077 2025-00,1/20/25,Referral- Liquor Law) Larceny - Theft from Building,200 Kent Street (Newman,01/08/-01/20,Student Conduct Active
001125 2025-00,1/20/25,Underage Possession of Alcohol x3* (Dis,Hall) 700 Washington Street NW,/2025 1/20/25 21:16,Inactive - Referred to
001140 2024-00,1/20/25,Referral-Liq Law) Endangerment by Throwing Objects,AJ Hall 201 Ag Quad Hall (Slusher),11/3/24 20:57,Student Conduct CBA
023621 2025-00,1/21/25,Vandalism,175 W. Campus (Litton,11/21/25 6:09,Active
001166 2025-00,1/21/25,Burglary * (Clery Reportable),Reaves) 590 Washington Street,12/17/2024-,Active
001186 2025-00,1/21/25,Service of Protection Order -Another State,330 Sterrett (Police,1/17/25 1/21/25 17:17,Inactive
001192 2025-00,1/21/25,Underage Possession of Alcohol,Department) 675 Washington Street,1/21/25 23:27,Inactive - Referred to
1244,,,,,Student Conduct
2025-00 001327,1/22/25,Underage Possession of Alcohol,927 Southgate Drive,1/22/25 20:34,Inactive - Referred to Student Conduct
2025-00 001344,1/22/25,Littering,630 Washington St(Pritchard Hall),1/22/25 23:17,Inactive - Referred to Student Conduct
2025-00 001348,1/22/25,Underage Possession of Alcohol,570 Washington St (Hoge Hall),1/22/25 23:30,Inactive - Referred to Student Conduct
2026197 301,01/23/2025 Weapons Law Violation * (Dis Referral -,Weapons Violations),Alumni Mall (Pearson Hall),11/15/24,Inactive - Referred by Student Conduct
2025-00 001408,1/23/25,Fraud by Computer,201 Ag Quad Lane (Slusher),1/23/25 0:00,Active
2025-00 001412,1/23/25,Larceny of Bicycle,2875 Oak Lane,12/16/2024- 1/6/25,Inactive
2025-00 001447,1/23/25,Fake ID,Washington Street/Beamer Way,1/23/25 21:16,Inactive- Referred to Student Conduct
2025-00 001453,1/23/25,Underage Possession of Alcohol * (Dis Referral-Liq Law),570 Washington Street (Hoge Hall),1/23/25 21:36,Inactive- Referred to Student Conduct
2025-00 001456,1/23/25,Dating Violence * (VAWA) Public Intoxication,180 Kent Street (Vawter Hall),1/23/25 22:57,Active (Dating Violence) CBA(Pub
2025-00,1/23/25,Public Intoxication x2,720 W. Washington (AJ Hall),1/23/25 22:49,Intox) Inactive - Referred to
001455 2025-00,1/24/25,Public Intoxication,N. Main Street/Turner,1/24/25 1:13,Student Conduct CBA
001464 2025-00,1/24/25,Fake ID,1385 Perry Street (Hitt Hall),1/24/25 11:27,Inactive- Referred to
001493 2025-00,1/24/25,Posession of Hazardous Materials,601 Drillfield Drive (War,1/24/25 17:49,Student Conduct Active-Referred to
001514 2025-00,1/24/25,Underage Possession of Alcohol x2 * (Disc,Memorial) 180 Kent Street (Vawter Hall),1/24/25 20:33,Student Conduct Inactive-Referred to
001539 2025-00,1/24/25,Referral-Liquor Law) Underage Possession of Alcohol/Public,201 N. Main Street,1/24/25 21:35,Student Conduct Inactive- Referred to
1550,,Intoxication * (Liq Law),,,Student Conduct
,,,,,
2025-00 001551,1/24/25,Underage Possession of Alcohol x2 * (Disc Referral-Liq Law),570 Washington (Hoge Hall),1/24/25 21:42,Inactive- Referred to Student Conduct
2025-00 001566,1/24/25,Underage Possession of Alcohol * (Disc Referral-Liq Law),College Ave/Main Street,1/25/2025 1,Inactive - Referred to Student Conduct
2025-00 001567,1/24/25,Underage Possession of Alcohol * (Disc Referral-Liq Law),240 Kent Street,1/25/2025 4,Inactive -Referred to Student Conduct
2025-00 001569,1/25/25,Fake ID/Unlawful Purchase of Alcohol Beverage *(Liq Law),201 Ag Quad Lane (Slusher),1/25/2025 14,Inactive - Referred to Student Conduct
2025-00 001570,1/25/25,Underage Possession of Alcohol * (Disc Referral-Liq Law),600 Washington Street (Payne Hall),1/25/2025 17,Inactive- Referred to Student Conduct
2025-00 001579,1/25/25,Public Intoxication,200 College Ave (Theater 101),1/25/25 1:23,Inactive - Referred to Student Conduct
2025-00 001587,1/25/25,Public Intoxication,1201 Perry Street,1/25/25 2:16,Inactive- Referred to Student Conduct
2025-00 001607,1/25/25,Vandalism,600 Washington Street (Payne Hall),1/25/25 3:00,Active
2025-00 001624,1/25/25,Larceny from Building,370 Drillfield Drive,1/25/25 13:00,Active
2025-00 001641,1/25/25,Underage Possession of Alcohol * (Disc Referral-Liq Law),410 Washington Street (Miles Hall),1/25/25 21:02,Inactive - Referred to Student Conduct
2025-00 001658,1/25/25,Underage Poss of Alcohol * (Liq Law) Public Intoxication,Jackson Street/N. Main Street,1/25/25 22:30,Inactive - Referred to Student Conduct
2025-00 001659,1/25/25,Underage Poss of Alcohol x3* (Liq Law) Public Intoxication x3,410 Drillfield (Eggleston Hall),1/25/25 22:50,Inactive- Referred to Student Conduct
2025-00 001662,1/25/25,Public Intoxication,190 Alumni Hall,1/25/25 23:21,Inactive -Referred to Student Conduct
2025-00 001665,1/25/25,Underage Poss of Alcohol* (Liq Law) Public Intoxication,201 N. Main Street,1/25/25 23:49,Inactive - Referred to Student Conduct
2025-00 001667,1/26/25,Public Intoxication,1075 Life Sciences Circle,1/26/25 1:24,Inactive - Referred to Student Conduct
,,,,,
2025-00,1/26/25,Underage Possession of Alcohol* (Disc,630 Washington St (Pritchard,1/26/25 1:05,Inactive -Referred to
001674 2025-00,1/26/25,Referral-Liq Law) Underage Possession of Alcohol * (Disc,Hall) 630 Washington St (Pritchard,1/26/25 1:26,Student Conduct Inactive - Referred to
001676 2025-00,1/26/25,Referral -Liq Law) Underage Possession of Alcohol* (Disc,Hall) 630 Washington St (Pritchard,1/26/25 1:45,Student Conduct Inactive -Referred to
001678 2025-00,1/26/25,Referral-Liq Law) DUI*/Unlawful Poss Alc Bev*/Fake ID,Hall) 101 Draper Road,1/26/25 1:58,Student Conduct CBA
001679 2025-00,1/26/25,Petit Larceny,720 Washington,1/26/25 0:01,Active
001682 2025-00,1/27/25,Petit Larceny,926 West Campus Dr,01/26/2025- 12:00,Active
001759 2025-00,1/27/25,Petit Larceny,(Deering Hall) 285 Ag Quad Lane (Dietrick,1/27/25 01/23/2025- 00:00,Active
001785 2025-00,1/27/25,Petit Larceny,Hall) 560 Drillfield Drive (Newman,1/27/25 01/23/2025- 00:01,CBA
1807,,,Hall) MONTHLY CRIME LOG: JANUARY 2024,1/28/25,
,,,,nan,
2024-00 000022,1/2/24,Stalking,635 Prices Fork Rd (Goodwin Hall),12/19/2023- 12/28/23 15:55,Active
2024-00 000024,1/2/24,Fraud/Unqualified Person Voting,290 College Ave,09/23/2023- 11/7/23 08:00,Active
2024-00 000029,1/2/24,Burglary,800 Drillfield Dr (Burruss Hall),12/21/2023- 1/2/24 17:00,Inactive
Alexand er Platz,1/3/24,Burglary,"Berlin, Germany (H + Hotel)",12/29/23,Active
Police 2023-00,1/3/24,Vandalism/destruction of Property,460 Old Turner St (Hancock,12/22/2023- 00:00,Inactive
000068 2024-00,1/5/24,Burglary,Hall) 800 Drillfield Dr (Burruss Hall),1/3/24 12/24/23 05:47,Active
000204 2024-00,1/8/24,Sex Offense/Fondling,285 Ag  Quad Ln (Dietrick,1/7/24 8:00,Inactive
000308 2024-00,1/9/24,"Larceny, all Other",Hall) 505 Beamer Way,07/20/2014- 00:00,Active
000413 2024-00,1/10/24,"Larceny, all Other",220 Gilbert St (Gilbert Place),11/28/23 1/10/24 14:00,Inactive
000509 2024-00,1/10/24,"Larceny, all Other",220 Gilbert St (Gilbert Place),1/10/24 14:00,Inactive
000509 2024-00,1/10/24,"Larceny, all Other",220 Gilbert St (Gilbert Place),1/10/24 14:00,Inactive
000509 2024-00,1/10/24,"Larceny, all Other",220 Gilbert St (Gilbert Place),1/10/24 14:00,Inactive
509,,,,,
,,,,,
2024-00 000509,1/10/24,"Larceny, all Other",220 Gilbert St (Gilbert Place),1/10/24 14:00,Inactive
2024-00 000673,1/12/24,Vandalism/destruction of Property /Larceny/ theft from Building,180 Kent St (Vawter Hall),12/13/2023- 1/12/24 23:02,Inactive
2024-00 000683,1/13/24,Public Intoxication,755 West Roanoke St,1/13/24 1:32,CBA
2024-00 000800,1/14/24,"Larceny, theft from Building",3205 Oak Ln (SPH-H,08/21/2023- 1/14/24 00:00,Inactive: Referred to Student Conduct
2024-00 000902,1/15/24,Underage Possession of Alcohol/Public Intoxication,280 Stanger St (Upper Quad Hall North),1/15/24 18:25,Inactive: Referred to Student Conduct
2024-00 000938,1/16/24,Fraud/ Obtaining money by False Pretenses by Internet,727 Prices Fork Rd (Data & Secision Sciences),01/14/2024- 1/15/24 09:45,Active
2024-00 000994,1/16/24,Public Intoxication/Underage Possession of Alcohol/Fake ID,570 Washington St SW (Hoge Hall),1/16/24 23:47,CBA
2024-00 001001,1/17/24,Underage Possession of Alcohol/Underage Possession of Tobacco  X 2,2740 Oak Ln (SPH-B),1/17/24 2:25,Inactive: Referred to Student Conduct
2024721 2,12/4/23,Underage Possession of Alcohol,570 Washington St SW (Hoge Hall),12/1/23,Inactive: Referred by Student Conduct
2024-00 001053,1/17/24,"Larceny, theft from Building",1327 Perry St (Burchard Hall),01/14/2024- 1/17/24 13:30,Inactive
2024-00 001084,1/17/24,Underage Possession X 2,630 Washington St SW (Pritchard Hall),1/17/24 20:06,Inactive: Referred to Student Conduct
2024-00 001108,1/17/24,Urinating in Public onto a Vehicle,3220 Oak Ln (parking lot),1/17/24 22:35,Inactive: Referred to Student Conduct
2024797 8,1/5/24,Underage Possession of Alcohol,190 West Campus Dr (New Hall West),1/5/24,Inactive: Referred by Student Conduct
2024-00 001164,1/18/24,Issuing Bad Checks in Payment of Wages,185 Kent St (CID Bldg),01/17/2024- 1/18/24 16:00,Inactive
2024-00 001171,1/18/24,"Larceny, theft from Building",570 Washington St SW (Hoge Hall),12/15/2023- 1/15/24 07:00,Inactive
,,,,,
2024-00,1/18/24,"Larceny, from Auto/Tampering with a Vehicle",693 Duck Pond Dr,01/15/2024- 18:30,Inactive
001192 2024-00,1/19/24,Public Intoxication,217 College Ave,1/18/24 1/19/24 00:59,CBA
001227 2024-00,1/19/24,"Lareny, all Other",600 Washington St SW,1/19/24 0:35,Active
001228 2024-00,1/19/24,Underage Possession of Alcohol/Fake ID,(outside) 630 Washington St SW,1/19/24 1:35,Inactive: Referred to
001232 2024-00,1/19/24,Underage Possession of Alcohol,(Pritchard Hall) 201 Ag Quad Ln (Slusher,1/19/24 2:02,Student Conduct Inactive: Referred to
001233 2024-00,1/19/24,Identity Fraud,Tower) 440 Drillfield Dr,01/17/2024- 06:45,Student Conduct Inactive
001243 2024-00,1/19/24,Domestic Violence/Simple Assault,901 Prices Fork Rd (The Inn,1/18/24 7/20/23 17:00,Inactive
001265 2024-00,1/19/24,Vandalism/destruction of Property,@VT0 290 College Ave(Squires,01/10/2024- 00:00,Inactive
001270 2024-00,1/19/24,Underage Possession of Alcohol,Student Parking Lot) 201 Ag Quad Ln (Slusher,1/19/24 01//19/2024 21:32,Inactive: Referred to
001286 2024-00,1/19/24,Underage Possession of Alcohol,Hall) 630 Washington St SW,1/19/24 21:38,Student Conduct Inactive: Referred to
001288 2024-00,1/19/24,Fire Investigation / Arson,(Pritchard Hall) 410 Drillfield Dr (Egggleston,1/19/24 22:45,Student Conduct Active
001295 2024-00,1/19/24,Public Intoxication,Hall West) 430 Old Turner St (Lavery,1/19/24 23:31,Inactive: Referred to
001296 2024-00,1/20/24,Public Intoxication,Hall) 100 Draper Rd SW (7-Eleven),1/20/2024 8,Student Conduct Asst BPDwith CBA
001301 2024-00,1/20/24,Underage Possession of Alcohol/Public,630 Washington St SW,1/20/2024 25,Inactive: Referred to
001304 2024-00,1/20/24,Intoxication Driving Under the Influence of Alcohol/,(Pritchard Hall) 100 Draper Rd SW,1/20/24 0:08,Student Conduct CBA
1306,,Drinking While Driving,,,
,,,,,
2024-00 001309,1/20/24,Underage Possession of Alcohol/Public Intoxication,630 Washington St SW (Pritchard Hall),1/20/24 1:06,Inactive: Referred to Student Conduct
2024-00 001313,1/20/24,Underage Possession of Alcohol,185 Kent St (CID),1/20/24 2:08,Inactive: Referred to Student Conduct
2024-00 001315,1/20/24,Underage Possession of Alcohol/Public Intoxication,570 Washington St SW (Hoge Hall),1/20/24 2:37,Inactive: Referred to Student Conduct
2024-00 001337,1/20/24,Vandalism/destruction of Property,200 Kent St  D2 (Newman Hall),1/19/24 23:30,Active
2024-00 001370,1/20/24,Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),1/20/24 23:55,Inactive: Referred to Student Conduct
2024-00 001378,1/21/24,Underage Possession of Alcohol/Fake ID,Washington St SW / Otey St,1/21/24 1:33,CBA
2024-00 001417,1/21/24,Simple Assault,30 Washington St SW (O'Shaughnessy Hall),1/19/24,Active
2024-00 001463,1/22/24,Extortion by Threat,570 Washington St SW (Hoge Hall),1/18/24 12:00,Active
2024-00 001515,1/22/24,"Larceny, all Other",150 Kent St (Owens Hall),1/22/24 20:00,Inactive
2024-00 001526,1/23/24,Driving Under the Influence of Alcohol,Miller St,1/23/24 23:05,CBA
2024-00 001530,1/23/24,Computer Crime X 3,440 Drillfield Dr,01/17/2024- 1/18/24 05:22,Active
2024-00 001565,1/23/24,Fraud/Obtaining Money by False Pretenses,1981 Kraft Dr (Fralin Life Sciences),4/20/22 0:00,Active
2024-00 001705,1/25/24,Fire Investigation,185 Kent St (CID Building),1/25/24 4:32,Inactive: Referred to Student Conduct
2024269 0,10/9/23,Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),9/10/23,Inactive: Referred by Student Conduct
2024-00 001761,1/25/24,Fraud-Obtaining Money by False Pretenses,2475 Oak Lane,1/25/24 14:00,Active
,,,,,
2024-00,1/25/24,Simple Assault X 2,895 Washington St SW,1/25/24 19:09,Inactive: Referred to
001773 2024-00,1/25/24,Fake ID / Underage Possession of Alcohol,(McComas Hall) 530 Washington St SW,1/25/24 23:33,Student Conduct Inactive: Referred to
001784 2024-00,1/25/24,Public Intoxication/Underage Possession of,(O'Shaughnessy Hall) 204 Draper Rd NW (outside,1/25/24 22:52,Student Conduct Asst BPDwith CBA
001785 2024-00,1/26/24,Alcohol/Fake ID Underage Possession of Alcohol/Public,The Burg) 280 Stanger St (Upper Quad,1/26/24 4:41,CBA
001795 2024-00,1/26/24,"Intoxication Larceny, theft from Building",Hall North) 400 Stanger St (Surge Space,1/26/24 12:20,Active
001851 2024-00,1/26/24,Underage Possession of Alcohol,Bldg) 200 Garden Ln (Hahn Garden,1/26/24 21:00,Inactive: Referred to
001889 2024-00,1/27/24,Underage Possession of Alcohol,Pavilion) 410 Drillfield Dr (Egggleston,1/26/24 21:18,Student Conduct Inactive: Referred to
001890 2024-00,1/27/24,Public Intoxication/Underage Possession of,Hall West) 101 Draper Rd NW (Media,1/26/24 23:00,Student Conduct Inactive: Referred to
001901 2024-00,1/27/24,Alcohol Underage Possession of Alcohol,Lot) 101 Draper Rd NW (Media,1/26/24 23:00,Student Conduct Inactive: Referred to
001901 2024-00,1/26/24,Underage Possession of Tobacco/Littering,Lot) 101 Draper Rd NW (Media,1/26/24 23:10,Student Conduct Inactive: Referred to
001903 2024-00,1/26/24,Underage Possession of Alcohol,Lot) 200 Kent St  (Newman Hall),1/26/2024 51,Student Conduct Inactive: Referred to
001908 2024-00,1/27/24,Vandalism/destruction of Property,217 College Ave (Squires,1/27/24 1:52,Student Conduct Active
001913 2024-00,1/27/24,Vandalism/destruction of Property,Parking Lot) 300 Drillfield Dr (Main,01/26/2024- 22:45,Inactive
001915 2024-00,1/27/24,Computer Crime /Forging Coin and Bank,Campbell Hall) 570 Washington St SW (Hoge,1/27/24 01/17/2024- 06:46,Active
001934 2024-00,1/27/24,Notes Simple Assault X 2,Hall) 110 Draper Rd NW (Benny,1/27/24 1/27/24 12:20,Asst BPDwith CBA
1957,,,Marzanos),,
,,,,,
2024-00 002004,1/28/24,Underage Possession of Alcohol,320 Drillfield Dr (Campbell Hall),1/28/24 12:22,Inactive: Referred to Student Conduct
2024-00 002081,1/29/24,"Larceny, all Other",285 Ag  Quad Ln (outside Dietrick Hall),1/28/24 17:05,Active
2024-00 002114,1/29/24,Vandalism/destruction of Property,770 Washington St SW (Cochrane Hall),01/28/2024- 1/29/24 22:30,Inactive
2024-00 002115,1/29/24,Underage Possession of Alcohol/Fake ID X 2,675 Washington St SW (Cassell Coliseum),1/29/24 19:15,Inactive: Referred to Student Conduct
2024-00 002146,1/30/24,Obtaining money by False Pretenses,630 Washington St SW (Pritchard Hall),1/29/24 9:02,CBA
2024-00 002190,1/30/24,"Larceny, theft from Building",720 Washington St SW (West AJ),01/29/2024- 1/30/24 21:00,Active
2024-00 002211,1/31/24,"Larceny, theft from Building",201 Ag Quad Ln (Slusher Hall),01/30/2024- 1/31/24 10:00,Active
2024-00 002209,1/31/24,Underage Possession of Alcohol/Public Intoxication/Underage Possession of Tobacco,201 Ag Quad Ln (Slusher Tower),1/31/24 1:58,Inactive: Referred to Student Conduct
2024-00 002209,1/31/24,Underage Possession of Alcohol/Public Intoxication,201 Ag Quad Ln (Slusher Tower),1/31/24 1:58,Inactive: Referred to Student Conduct
,,,MONTHLY CRIME LOG: FEBRUARY 2024,Occurrence,
2024-00,1/31/24,"Larceny, all Other",800 Washington St SW,(s) 01/26/2024- 15:30,Inactive
002217 2022-00,1/31/24,Vandalism/destruction of Property,220 Ag Quad Ln (Latham,1/30/24 01/29/2024- 17:00,Inactive
002278 2024-00,2/1/24,Underage Possession of Alcohol,Hall) 720 Washington St SW (West,1/30/24 2/1/24 02:51,Inactive: Referred to
002317 2024-00,2/1/24,Public Intoxication/ Underage Possession of,AJ) 201 Ag Quad Ln (Slusher,2/1/24 21:30,Student Conduct Inactive: Referred to
002375 2024759,12/9/23,Alcohol/Fake ID Underage Possession of Alcohol,Wing) Campbell Main,12/9/23,Student Conduct Inactive: Referred by
3 2024773,12/14/23,Underage Possession of Alcohol,630 Washington St SW,12/14/23,Student Conduct Inactive: Referred by
8 2024786,12/16/23,Underage Possession of Tobacco,(Pritchard Hall) 185 Kent St (CID Bldg),12/14/23,Student Conduct Inactive: Referred by
6 2024773,12/14/23,Underage Possession of Alcohol,630 Washington St SW,12/14/23,Student Conduct Inactive: Referred by
8 2024844,1/19/24,Underage Possession of Alcohol,(Pritchard Hall) 185 Kent St (CID Bldg),1/19/24,Student Conduct Inactive: Referred by
6 2024-00,2/2/24,Underage Possession of Alcohol X 8,200 Kent St (Newman Hall),2/2/24 22:39,Student Conduct Inactive: Referred to
002464 2024-00,2/2/24,Underage Possession of Alcohol/Littering,201 Draper Rd NW(Armory),2/2/24 23:51,Student Conduct Inactive: Referred to
002470 2024-00,2/3/24,Underage Possession of Alcohol X 2,700 Washington St SW (East,2/3/2024 24,Student Conduct Inactive: Referred to
2473,,,AJ),,Student Conduct
,,,,,
2024-00 002477,2/3/24,Underage Possession of Alcohol/Fake ID,700 Washington St SW (East AJ),2/3/24 1:33,Inactive: Referred to Student Conduct
2024-00 002478,2/3/24,Public Intoxication/ Underage Possession of Alcohol,240 Kent St (Whitehurst Hall),2/3/24 1:42,Inactive: Referred to Student Conduct
2024-00 002482,2/3/24,Public Intoxication/ Underage Possession of Alcohol/Fake ID,630 Washington St SW (Pritchard Hall),2/3/24 2:09,CBA
2024-00 002484,2/3/24,Public Intoxication/ Underage Possession of Alcohol/Fake ID/Underage Possession of,630 Washington St SW (Pritchard Hall),2/3/24 2:32,CBA
2024-00,2/3/24,Tobacco Unauthorized Entry/Furnishing False,675 Washington St SW,2/3/24 3:53,Inactive: Referred to
002487 2024-00,2/3/24,"Information X 2 Larceny,Theft from Building",(Cassell Coliseum) 630 Washington St SW,2/3/24 2:30,Student Conduct Inactive
002511 2024-00,2/3/24,Public Intoxication/ Underage Possession of,(Pritchard Hall) 630 Washington St SW,2/3/24 21:48,Inactive: Referred to
002517 2024-00,2/3/24,Alcohol Fake ID,(Pritchard Hall) 140 Otey St NW (Architecture,2/3/24 23:33,Student Conduct Inactive: Referred to
002526 2024-00,2/3/24,Public Intoxication/ Underage Possession of,Annex) 204 Draper Rd  NW (The,2/3/24 23:33,Student Conduct Asst BPD w/CBA
002527 2024-00,2/3/24,Alcohol Underage Possession of Alcohol,Burg) 530 Washington St SW,2/3/24 23:36,Inactive: Referred to
002528 2024-00,2/4/24,Public Intoxication/ Underage Possession of,(O'Shaughnessy Hall) 720 Washington St SW (West,2/4/24 1:20,Student Conduct CBA
002542 2024-00,2/4/24,Alcohol/Simple Assault Public Intoxication/ Underage Possession of,AJ) 300 Drillfield Dr (Campbell,2/4/24 1:51,Inactive: Referred to
002543 2024-00,2/4/24,Alcohol Sex Offense/Rape,Main) 720 Washington St SW (West,1/27/2024 30,Student Conduct Inactive: Referred to
002546 2024-00,2/4/24,"Larceny,Theft from Building",AJ) 150 Kent St (Owens Hall),2/2/24 16:00,Title IX Inactive
002561 2024-00,2/4/24,Fraud/Obtaining Money by False Pretenses,290 College Ave (Squires,2/2/24 14:00,Inactive
2564,,Via Internet,Student Center),,
,,,,,
2024-00 002574,2/2/24,Underage Possession of Alcohol X 3,200 Kent St (Newman Hall),2/2/24 22:39,Inactive: Referred to Student Conduct
2024730 4,12/3/23,Underage Possession of Alcohol X 9,240 Kent St (Whitehurst Hall),12/3/23,Inactive: Referred by Student Conduct
2024843 0,1/22/24,Underage Possession of Alcohol X 4,720 Washington St SW (West AJ Upper),1/20/24,Inactive: Referred by Student Conduct
2024751 2,12/8/24,Underage Possession of Alcohol X 2,720 Washington St SW (West AJ Upper),12/8/24,Inactive: Referred by Student Conduct
2024-00 002643,2/5/24,Fake ID,330 Sterrett Dr,2/3/2024 1,Inactive: Referred to Student Conduct
2024677 3,11/18/23,Underage Possession of Alcohol,770 Washington St SW (Cochrane Hall),11/18/23,Inactive: Referred by Student Conduct
2024-00 002673,2/6/24,Fraud/Obtaining Money by False Pretenses Via Internet,175 West Campus Dr (Department of Dairy,2/17/23 0:00,Active
2024-00,2/7/24,Trespassing,Sciences) 560 Drillfield Dr (Newman,2/7/2024 36,CBA
002710 2022527,3/5/22,Underage Possession of Alcohol,Hall) 185 Kent St (CID Bldg),3/5/23,Inactive: Referred by
6 2024872,1/24/24,Underage Possession of Alcohol,500 Washington St SW,1/24/24,Student Conduct Inactive: Referred by
0 2024889,1/27/24,Underage Possession of Alcohol,(Johnson Hall) 770 Washington St SW,1/27/24,Student Conduct Inactive: Referred by
5 2024-00,2/8/24,Fraud/Obtaining Money by False Pretenses,(Cochrane Hall) 190 Alumni Mall (Moss Arts,1/12/24 9:51,Student Conduct Active
002851 2024-00,2/8/24,"Via Internet Larceny, Theft from Building",Center) 150 Kent St (Owens Hall),2/8/24 10:50,Inactive
002852 2024-00,2/8/24,Fake ID,295 West Campus Dr,2/8/24 23:38,Inactive: Referred to
002877 2024-00,2/8/24,Fake ID,240 Kent St (Whitehurst Hall),2/8/24 23:59,Student Conduct Inactive: Referred to
2881,,,,,Student Conduct
,,,,,
2024684 2,11/17/24,Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),11/17/24,Inactive: Referred by Student Conduct
2024724 3,12/2/23,Underage Possession of Alcohol,180 Kent St (Vawter Hall),12/1/23,Inactive: Referred by Student Conduct
2024730 6,12/3/23,Underage Possession of Alcohol,155 Otey St (Donaldson Brown Center),12/3/23,Inactive: Referred by Student Conduct
2024-00 002972,2/9/24,Vandalism/destruction of Property,1278 Washington St SW (Cage Lot),02/04/2024- 2/9/24 19:34,Inactive
2024-00 002976,2/9/24,Brandishing Firearm,560 Drillfield Dr (Newman Hall),2/9/24 15:10,Inactive
2024-00 002986,2/9/24,Underage Possession of Alcohol X 2,185 Kent St (CID Bldg),2/9/24 18:56,CBA
2024-00 002991,2/9/24,"Larceny, Theft from Building",630 Washington St SW (Pritchard Hall),2/9/24 20:00,Inactive
2024-00 002998,2/9/24,Underage Possession of Alcohol,570 Washington St SW (Hoge Hall),2/9/24 22:43,Inactive: Referred to Student Conduct
2024-00 003000,2/12/24,Public Intoxication/ Underage Possession of Alcohol,155 Otey St (Graduate Life Center),2/9/24 23:10,Inactive: Referred to Student Conduct
2024-00 003008,2/10/24,Public Intoxication/ Underage Possession of Alcohol/Fake ID,190 Alumni Mall (Moss Arts Center),2/10/2024 2,CBA
2024-00 003012,2/12/24,Underage Possession of Alcohol,570 Washington St SW (Hoge Hall),2/12/24 22:43,Inactive: Referred to Student Conduct
2024-00 003013,2/10/24,Fake ID,College Avenue,2/10/24 1:39,Inactive
2024-00 003014,2/10/24,Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),2/10/24 2:22,Inactive: Referred to Student Conduct
2024-00 003019,2/10/24,Underage Possession of Alcohol,720 Washington St SW (West AJ),2/10/24 3:53,Inactive: Referred to Student Conduct
2024-00 003020,2/10/24,Public Intoxication,115 Kent St,2/10/24 6:13,CBA
,,,,,
2024-00,2/10/24,Entering or Setting a Vehicle in Motion/,821 Southgate Dr Chicken Hill,2/10/24 14:45,Active
3042,,"Larceny, theft from Auto/Tampering with Vehicle",Lot ),,
2024-00 003050,2/10/24,"Larceny, Theft from Building",201 Ag Quad Ln (Slusher Wing),02/09/2024- 2/10/24 23:30,Inactive
2024-00 003055,2/10/24,Underage Possession of Alcohol,155 Otey St (Graduate Life Center),2/10/24 16:20,Inactive: Referred to Student Conduct
2024-00 003056,2/10/24,"Larceny, theft from Auto/Tampering with Vehicle/Vandalism/destruction of Property",290 College Ave (Squires Student Center),02/09/2024- 2/10/24 22:00,Inactive
