Case Number,Date/Time Occurred,Date/Time Occurred to,OffenseCode,Incident Type,Disposition,CaseDisposition,LocationCode,PatrolZone,Location,Street Address,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude
25030600,3/17/25 1:03,3/17/25 3:34,9999,,Closed by Arrest,Not Applicable,PUB,Z2,,,,NORTH AV NW & Williams St,,
25030602,3/17/25 10:00,nan nan,9999V,,Active,,ONCAM,,Boho Taco,22,,Fifth Street NW,33.776828,-84.38797
25030604,3/17/25 23:30,3/17/25 23:51,35A,Drug/Narcotic Violations,Closed by Arrest,Not Applicable,PUB,Z1,,,,FERST DR NW  & FOWLER ST,,
25030604,3/17/25 23:30,3/17/25 23:51,9999T,,Closed by Arrest,Not Applicable,PUB,Z1,,,,FERST DR NW  & FOWLER ST,,
25030598,3/16/25 2:50,3/16/25 4:45,9999T,,Closed by Arrest,Not Applicable,NONCLERY,OFFCAM,North Ave/ Spring St,,,,,
25030598,3/16/25 2:50,3/16/25 4:45,9999T,,Closed by Arrest,Not Applicable,NONCLERY,OFFCAM,North Ave/ Spring St,,,,,
25030598,3/16/25 2:50,3/16/25 4:45,9999T,,Closed by Arrest,Not Applicable,NONCLERY,OFFCAM,North Ave/ Spring St,,,,,
25030598,3/16/25 2:50,3/16/25 4:45,90D,Driving Under the Influence,Closed by Arrest,Not Applicable,NONCLERY,OFFCAM,North Ave/ Spring St,,,,,
25030597,3/15/25 22:17,3/15/25 22:47,9999,,Closed by Other Means,Not Applicable,NONCLERY,Z1,,1100,,Northside Dr NW,33.781162,-84.403603
25030593,3/15/25 5:05,3/15/25 5:40,9999W,,Closed by Arrest,Not Applicable,ONCAMRES,Z2,Perry Matheson Residence Hall   92   Z2,715,,Techwood Drive NW,33.77450626,-84.39133
25030592,3/15/25 1:20,3/15/25 2:25,9999T,,Closed by Arrest,Not Applicable,NONCLERY,Z2,Spring Street & Eighth Street NW,,,Spring Street NW & Eighth Street NW,33.779553,-84.388826
25030592,3/15/25 1:20,3/15/25 2:25,90D,Driving Under the Influence,Closed by Arrest,Not Applicable,NONCLERY,Z2,Spring Street & Eighth Street NW,,,Spring Street NW & Eighth Street NW,33.779553,-84.388826
25030589,3/14/25 13:46,3/14/25 17:00,9999CTW,,Closed by Arrest,Not Applicable,ONCAM,Z2,Tin Drum Asia Cafe,88,,Fifth Street NW,,
25030589,3/14/25 13:46,3/14/25 17:00,23C,Shoplifting,Closed by Arrest,Not Applicable,ONCAM,Z2,Tin Drum Asia Cafe,88,,Fifth Street NW,,
25030629,3/14/25 20:13,3/16/25 12:00,23H,All Other Larceny,Closed by Other Means,Not Applicable,ONCAM,Z3,Student Center,351,,Ferst Drive NW,,
25030591,3/14/25 22:57,3/15/25 0:35,9999W,,Closed by Arrest,In Custody of Other Jurisdiction,ONCAM,Z2,Hinman Research Building   51   Z2,723,,Cherry Street NW,33.77467083,-84.39511476
25030591,3/14/25 22:57,3/15/25 0:35,9999CTW,,Closed by Arrest,In Custody of Other Jurisdiction,ONCAM,Z2,Hinman Research Building   51   Z2,723,,Cherry Street NW,33.77467083,-84.39511476
25030574,3/13/25 12:07,nan nan,9999V,,Active,,,,Tenth Street @ Center Street  Z1,,,Tenth Street @ Center Street NW,33.78154,-84.402699
25030571,3/13/25 9:14,nan nan,9999V,,Active,,,Z1,Tenth Street @ State Street,,,Tenth Street NW & State Street NW,33.78151569,-84.39915474
25030569,3/13/25 1:41,3/13/25 2:29,90B,Curfew/Loitering/Vagrancy Violations,Closed by Arrest,Not Applicable,ONCAM,Z1,Research Administration   155   Z1,505,,Tenth Street NW,33.78167605,-84.40393633
25030569,3/13/25 1:41,3/13/25 2:29,90Z,All Other Offenses,Closed by Arrest,Not Applicable,ONCAM,Z1,Research Administration   155   Z1,505,,Tenth Street NW,33.78167605,-84.40393633
25030569,3/13/25 1:41,3/13/25 2:29,23F,Theft From Motor Vehicle,Closed by Arrest,Not Applicable,ONCAM,Z1,Research Administration   155   Z1,505,,Tenth Street NW,33.78167605,-84.40393633
25030570,3/13/25 3:31,3/13/25 3:50,35A,Drug/Narcotic Violations,Closed by Arrest,Not Applicable,PUB,Z2,North Avenue @ Spring Street  Z2,,,North Avenue NW & Spring Street NW,33.771335,-84.388862
25030576,3/13/25 13:19,3/13/25 13:30,9999,,Closed by Other Means,,ONCAM,Z1,Georgia Tech Police Department   211   Z1,965,,Hemphill Avenue NW,33.781162,-84.403603
25030577,3/13/25 12:45,3/13/25 13:08,90J,Trespass of Real Property,Inactive,Not Applicable,NONCAM,Z2,Coda Building,756,,West Peachtree Street NW,33.77526083,-84.38763618
25030577,3/13/25 12:45,3/13/25 13:08,90C,Disorderly Conduct,Inactive,Not Applicable,NONCAM,Z2,Coda Building,756,,West Peachtree Street NW,33.77526083,-84.38763618
25030577,3/13/25 12:45,3/13/25 13:08,13C,Intimidation,Inactive,Not Applicable,NONCAM,Z2,Coda Building,756,,West Peachtree Street NW,33.77526083,-84.38763618
25030563,3/12/25 5:45,3/12/25 16:10,9999T,,Inactive,Not Applicable,PUB,Z3,ROADWAY,391,,Ferst Drive NW,33.7741731,-84.40058314
25030610,3/12/25 8:00,3/19/25 14:32,23D,Theft From Building,Active,Not Applicable,ONCAM,Z3,Exhibition Hall   217   Z3,460,,Fourth Street NW,33.774556,-84.401699
25030568,3/12/25 20:15,3/12/25 20:29,23D,Theft From Building,Closed by Exception,Prosecution Declined,ONCAM,Z4,Campus Recreation Center   160   Z4,750,,Ferst Drive NW,33.77546401,-84.40349901
25030561,3/12/25 8:09,3/12/25 10:51,9999,,Closed by Other Means,Not Applicable,ONCAMRES,Z2,NAA East  191  Z2,120,,North Avenue NW,33.76952,-84.39097
25030564,3/12/25 16:28,3/12/25 16:29,9999,,Closed by Other Means,,ONCAM,Z1,Georgia Tech Police Department,965,,Hemphill Avenue NW,33.781162,-84.403603
25030586,3/12/25 21:58,3/14/25 12:45,9999MH,,Closed by Other Means,Not Applicable,ONCAMRES,Z2,Hayes House   134  Z2,733,,Techwood Drive NW,33.774875,-84.391584
25030575,3/12/25 23:00,3/13/25 12:25,240,Motor Vehicle Theft,Active,Not Applicable,ONCAMRES,Z2,NAA North  191  Z2,120,,North Avenue NW,33.77058,-84.39095
25030559,3/12/25 1:17,3/12/25 4:00,9999T,,Closed by Arrest,Not Applicable,NONCLERY,Z2,North Avenue @ West Peachtree Street   OFFCAM,,,North Avenue @ West Peachtree Street NW,33.771284,-84.387423
25030559,3/12/25 1:17,3/12/25 4:00,9999T,,Closed by Arrest,Not Applicable,NONCLERY,Z2,North Avenue @ West Peachtree Street   OFFCAM,,,North Avenue @ West Peachtree Street NW,33.771284,-84.387423
25030559,3/12/25 1:17,3/12/25 4:00,520,Weapon Law Violations,Closed by Arrest,Not Applicable,NONCLERY,Z2,North Avenue @ West Peachtree Street   OFFCAM,,,North Avenue @ West Peachtree Street NW,33.771284,-84.387423
25030559,3/12/25 1:17,3/12/25 4:00,35A,Drug/Narcotic Violations,Closed by Arrest,Not Applicable,NONCLERY,Z2,North Avenue @ West Peachtree Street   OFFCAM,,,North Avenue @ West Peachtree Street NW,33.771284,-84.387423
25030566,3/12/25 18:33,3/12/25 19:14,9999,,Active,Not Applicable,ONCAM,Z1,Georgia Tech Police Department   211   Z1,965,,Hemphill Avenue NW,33.781162,-84.403603
25030554,3/11/25 7:30,3/11/25 11:00,9999,,Closed by Other Means,,ONCAM,Z2,Glenn Residence Hall,118,,Bobby Dodd way,33.781162,-84.403603
25030553,3/11/25 10:35,3/11/25 11:15,9999,,Closed by Other Means,Not Applicable,ONCAM,Z1,Ferst Drive @ Fowler Street,,,Ferst Drive NW & Fowler Street NW,33.77699,-84.393645
25030550,3/11/25 4:14,3/11/25 4:45,9999T,,Closed by Arrest,Not Applicable,PUB,Z2,North Avenue @ Williams Street  Z2,,,North Avenue NW & Williams Street NW,33.771345,-84.390686
25030550,3/11/25 4:14,3/11/25 4:45,9999T,,Closed by Arrest,Not Applicable,PUB,Z2,North Avenue @ Williams Street  Z2,,,North Avenue NW & Williams Street NW,33.771345,-84.390686
25030551,3/11/25 4:31,3/11/25 4:40,9999,,Closed by Other Means,Not Applicable,ONCAM,Z3,Ferst Center for the Arts   124   Z3,349,,Ferst Drive NW,33.77510053,-84.39921209
25030556,3/11/25 18:06,3/11/25 18:19,9999,,Active,Not Applicable,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive NW,33.77413608,-84.39881802
25030557,3/11/25 22:43,3/11/25 23:30,9999,,Closed by Other Means,Victim Refused to Cooperate,NONCLERY,OFFCAM,Spring St/3rd street,,,,,
25030552,3/11/25 9:45,3/11/25 9:46,9999T,,Closed by Exception,Victim Refused to Cooperate,PUB,Z2,,,,BRITTAIN DR at FOURTH STREET,33.775194,-84.393055
25030560,3/11/25 12:00,nan nan,9999,,Active,,NONCAM,OFFCAM,,965,,Hemphill Ave NW,,
25030542,3/10/25 9:09,3/10/25 9:36,9999,,Active,,ONCAMRES,Z1,Georgia Tech Police Department   211   Z1,965,,Hemphill Avenue NW,33.781162,-84.403603
25030547,3/10/25 13:30,3/10/25 17:39,26A,False Pretenses/Swindle/Confidence Game,Active,Not Applicable,ONCAM,Z3,Library   77   Z2,260,,Fourth Street NW,33.77431732,-84.39572383
25030549,3/10/25 23:20,nan nan,9999V,,Active,,,,Ferst Drive @ Hemphill Avenue  Z1,,,Ferst Drive @ Hemphill Avenue NW,33.778497,-84.40137
25030548,3/10/25 18:44,3/10/25 19:03,9999,,Closed by Other Means,Not Applicable,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive NW,33.77413608,-84.39881802
25030535,3/9/25 1:50,3/9/25 3:15,90Z,All Other Offenses,Closed by Arrest,Not Applicable,PUB,Z1,Kappa Sigma,182,,6TH ST NW,,
25030544,3/9/25 0:40,3/9/25 0:45,9999,,Active,Not Applicable,ONCAMRES,Z2,Hopkins Residence,711,,Techwood Drive  NW,33.781162,-84.403603
25030536,3/9/25 3:37,3/9/25 3:50,90G,Liquor Law Violations,Closed by Other Means,Prosecution Declined,NONCAM,Z1,Kappa Sigma Fraternity,182,,Sixth Street NW,33.77792039,-84.39320019
25030536,3/9/25 3:37,3/9/25 3:50,8399,,Closed by Other Means,Prosecution Declined,NONCAM,Z1,Kappa Sigma Fraternity,182,,Sixth Street NW,33.77792039,-84.39320019
25030534,3/9/25 1:28,3/9/25 1:34,90G,Liquor Law Violations,Closed by Exception,Prosecution Declined,PUB,Z4,Kappa Sigma,182,,6TH ST NW,,
25030534,3/9/25 1:28,3/9/25 1:34,8399,,Closed by Exception,Prosecution Declined,PUB,Z4,Kappa Sigma,182,,6TH ST NW,,
25030541,3/9/25 23:50,3/10/25 1:40,9999T,,Closed by Arrest,Not Applicable,PUB,Z2,Spring Street @ Armstead Place   Z2,,,Spring Street NW & Armstead Place NW,33.775887,-84.388809
25030541,3/9/25 23:50,3/10/25 1:40,35A,Drug/Narcotic Violations,Closed by Arrest,Not Applicable,PUB,Z2,Spring Street @ Armstead Place   Z2,,,Spring Street NW & Armstead Place NW,33.775887,-84.388809
25030533,3/9/25 0:45,3/9/25 1:17,9999T,,Closed by Arrest,Not Applicable,PUB,Z4,Hemphill Avenue @ Eighth Street  Z4,,,Hemphill Avenue NW & Eighth Street NW,33.779769,-84.402545
25030538,3/9/25 10:41,3/9/25 11:00,9999MH,,Closed by Other Means,,NONCLERY,Z2,The Whistler,859,,SPRING ST NW,,
25030545,3/9/25 21:00,3/10/25 15:25,23F,Theft From Motor Vehicle,Active,Not Applicable,NONCAM,Z1,Alpha Sigma Phi fraternity   313   Z1,171,,Fifth Street NW,33.77709,-84.39285
25030545,3/9/25 21:00,3/10/25 15:25,26B,Credit Card/Automated Teller Machine Fraud,Active,Not Applicable,NONCAM,Z1,Alpha Sigma Phi fraternity   313   Z1,171,,Fifth Street NW,33.77709,-84.39285
25030545,3/9/25 21:00,3/10/25 15:25,23F,Theft From Motor Vehicle,Active,Not Applicable,NONCAM,Z1,Alpha Sigma Phi fraternity   313   Z1,171,,Fifth Street NW,33.77709,-84.39285
25030537,3/9/25 3:38,3/9/25 3:42,90G,Liquor Law Violations,Closed by Exception,Prosecution Declined,PUB,Z2,Techwood Drive @ Bobby Dodd Way  Z2,,,Techwood Drive NW & Bobby Dodd Way NW,33.773942,-84.392003
25030537,3/9/25 3:38,3/9/25 3:42,8399,,Closed by Exception,Prosecution Declined,PUB,Z2,Techwood Drive @ Bobby Dodd Way  Z2,,,Techwood Drive NW & Bobby Dodd Way NW,33.773942,-84.392003
25030524,3/8/25 0:20,3/8/25 1:50,90B,Curfew/Loitering/Vagrancy Violations,Closed by Arrest,Not Applicable,ONCAMRES,Z2,Field Residence Hall   90   Z2,711,,Techwood Drive NW,33.77420925,-84.39165079
25030524,3/8/25 0:20,3/8/25 1:50,90Z,All Other Offenses,Closed by Arrest,Not Applicable,ONCAMRES,Z2,Field Residence Hall   90   Z2,711,,Techwood Drive NW,33.77420925,-84.39165079
25030524,3/8/25 0:20,3/8/25 1:50,T-Bike,,Closed by Arrest,Not Applicable,ONCAMRES,Z2,Field Residence Hall   90   Z2,711,,Techwood Drive NW,33.77420925,-84.39165079
25030532,3/8/25 22:24,3/8/25 22:40,9999MH,,Closed by Other Means,Not Applicable,NONCLERY,OFFCAM,The Standard,708,,Spring Street NW,33.77402,-84.3892
25030529,3/8/25 16:37,3/8/25 16:38,9999EMS,,Closed by Other Means,Not Applicable,ONCAM,Z3,Student Center Loading Dock,351,,Ferst Drive NW,33.773715,-84.398817
25030528,3/8/25 11:55,3/8/25 12:10,9999,,Active,,ONCAM,Z2,Barnes and Noble Bookstore 172  Z2,48,,Fifth Street NW,33.77668,-84.38863
25030526,3/8/25 2:19,3/8/25 3:41,90G,Liquor Law Violations,Closed by Arrest,Not Applicable,PUB,Z2,Techwood Drive @ Bobby Dodd Way  Z2,,,Techwood Drive NW & Bobby Dodd Way NW,33.773942,-84.392003
25030526,3/8/25 2:19,3/8/25 3:41,90D,Driving Under the Influence,Closed by Arrest,Not Applicable,PUB,Z2,Techwood Drive @ Bobby Dodd Way  Z2,,,Techwood Drive NW & Bobby Dodd Way NW,33.773942,-84.392003
25030562,3/8/25 12:00,3/12/25 13:00,26B,Credit Card/Automated Teller Machine Fraud,Active,Not Applicable,ONCAM,,NARA Tech Way Building  136  Z4,505,,Tech Way NW,33.77098571,-84.4026612
25030523,3/8/25 0:10,3/8/25 0:20,90G,Liquor Law Violations,Closed by Exception,Prosecution Declined,PUB,Z2,Matheson Residence Hall   92   Z2,711,,Techwood Drive NW,33.77450626,-84.39133
25030523,3/8/25 0:10,3/8/25 0:20,8399,,Closed by Exception,Prosecution Declined,PUB,Z2,Matheson Residence Hall   92   Z2,711,,Techwood Drive NW,33.77450626,-84.39133
25030525,3/8/25 0:47,3/8/25 0:47,8399,,Closed by Exception,Prosecution Declined,PUB,Z2,Ferst Drive @ Hemphill Avenue  Z1,,,Ferst Drive @ Hemphill Avenue NW,33.778497,-84.40137
25030525,3/8/25 0:47,3/8/25 0:47,90G,Liquor Law Violations,Closed by Exception,Prosecution Declined,PUB,Z2,Ferst Drive @ Hemphill Avenue  Z1,,,Ferst Drive @ Hemphill Avenue NW,33.778497,-84.40137
25030513,3/7/25 13:15,nan nan,9999V,,Active,,ONCAM,,Georgia Tech Police Department   211   Z1,965,,Hemphill Avenue NW,33.781162,-84.403603
25030539,3/7/25 3:00,3/9/25 13:45,9999,,Closed by Other Means,Not Applicable,ONCAM,Z1,Shirley Clements Mewborn Field  196  Z1,935,,Fowler Street NW,33.7792331,-84.39319734
25030517,3/7/25 11:00,3/7/25 17:00,9999T,,Inactive,Not Applicable,ONCAMRES,Z1,Family Apartments Parking Deck,251,,Tenth Street NW,33.782219,-84.394974
25030521,3/7/25 23:14,3/8/25 0:49,90J,Trespass of Real Property,Closed by Arrest,Not Applicable,ONCAM,Z4,Woodruff Residence Hall,890,,Curran Street,,
25030522,3/7/25 23:35,3/8/25 0:00,9999CTW,,Closed by Exception,Prosecution Declined,NONCAM,Z1,ALPHA SIGMA PHI,171,,5TH ST NW,,
25030522,3/7/25 23:35,3/8/25 0:00,90G,Liquor Law Violations,Closed by Exception,Prosecution Declined,NONCAM,Z1,ALPHA SIGMA PHI,171,,5TH ST NW,,
25030522,3/7/25 23:35,3/8/25 0:00,35A,Drug/Narcotic Violations,Closed by Exception,Prosecution Declined,NONCAM,Z1,ALPHA SIGMA PHI,171,,5TH ST NW,,
25030522,3/7/25 23:35,3/8/25 0:00,8399,,Closed by Exception,Prosecution Declined,NONCAM,Z1,ALPHA SIGMA PHI,171,,5TH ST NW,,
25030527,3/7/25 21:00,3/8/25 10:00,T-Bike,,Closed by Other Means,Not Applicable,ONCAMRES,Z2,Hopkins Residence Hall   94   Z2,115,,BOBBY DODD WAY NW,33.77406277,-84.39129634
25030512,3/7/25 8:32,3/7/25 8:45,26C,Impersonation,Closed by Arrest,Not Applicable,NONCLERY,Z2,Spring St. NW  and Fourth St. NW,,,,33.776895,-84.390873
25030512,3/7/25 8:32,3/7/25 8:45,90C,Disorderly Conduct,Closed by Arrest,Not Applicable,NONCLERY,Z2,Spring St. NW  and Fourth St. NW,,,,33.776895,-84.390873
25030511,3/7/25 4:05,3/7/25 4:38,9999EMS,,Closed by Other Means,Not Applicable,ONCAMRES,Z4,Maulding Residence Hall (Sixth St. West Apts.)  65  Z4,501,,Sixth Street NW,33.777007,-84.405706
25030510,3/7/25 3:18,3/7/25 5:00,9999T,,Closed by Arrest,Not Applicable,NONCLERY,Z1,,,,Fourteenth Street @ State Street,,
25030510,3/7/25 3:18,3/7/25 5:00,90D,Driving Under the Influence,Closed by Arrest,Not Applicable,NONCLERY,Z1,,,,Fourteenth Street @ State Street,,
25030515,3/7/25 16:23,3/7/25 17:00,9999,,Closed by Other Means,Not Applicable,ONCAM,Z2,Coon Building   45   Z2,654,,Cherry Street NW,33.7728076,-84.39585341
25030520,3/7/25 20:12,3/7/25 20:46,35B,Drug Equipment Violations,Closed by Other Means,Not Applicable,ONCAM,Z2,McAfee Lot,500,,McAfee Street NW,33.77173258,-84.3949027
25030520,3/7/25 20:12,3/7/25 20:46,9999T,,Closed by Other Means,Not Applicable,ONCAM,Z2,McAfee Lot,500,,McAfee Street NW,33.77173258,-84.3949027
25030520,3/7/25 20:12,3/7/25 20:46,9999,,Closed by Other Means,Not Applicable,ONCAM,Z2,McAfee Lot,500,,McAfee Street NW,33.77173258,-84.3949027
25030514,3/6/25 11:15,3/7/25 14:55,9999,,Closed by Other Means,Not Applicable,ONCAM,Z2,Clough Undergraduate Learning Commons  166  Z2,266,,Fourth Street NW,33.7746818,-84.39637939
25030503,3/6/25 10:30,nan nan,9999,,Active,,ONCAM,OFFCAM,,965,,Hemphill Ave NW,,
25030508,3/6/25 18:21,3/6/25 18:00,9999,,Active,,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive NW,33.77413608,-84.39881802
25030546,3/5/25 21:00,3/10/25 17:09,9999,,Closed by Other Means,Not Applicable,ONCAM,Z4,Campus Recreation Center   160   Z4,750,,Ferst Drive NW,33.77546401,-84.40349901
25030502,3/5/25 16:00,3/5/25 16:52,9999EMS,,Closed by Other Means,,ONCAM,Z3,Exhibition Hall   217   Z3,460,,Fourth Street NW,33.774556,-84.401699
25030501,3/5/25 14:53,nan nan,9999V,,Active,,,,Fifth Street @ West Peachtree Street  Z2,,,Fifth Street NW & West Peachtree Street NW,33.776829,-84.387311
25030495,3/4/25 0:19,3/4/25 0:45,9999T,,Closed by Arrest,Not Applicable,PUB,Z2,Fourth Street @ Fowler Street (Wesley)  Z3,,,Fourth Street NW & Fowler Street NW,33.775955,-84.393657
25030495,3/4/25 0:19,3/4/25 0:45,35A,Drug/Narcotic Violations,Closed by Arrest,Not Applicable,PUB,Z2,Fourth Street @ Fowler Street (Wesley)  Z3,,,Fourth Street NW & Fowler Street NW,33.775955,-84.393657
25030500,3/4/25 23:53,3/4/25 23:57,9999EMS,,Closed by Other Means,Not Applicable,NONCLERY,Z2,The Standard,708,,Spring Street NW,33.77402,-84.3892
25030498,3/4/25 8:42,3/4/25 8:48,13C,Intimidation,Closed by Other Means,Not Applicable,ONCAM,Z1,Motor Pool,306,,10th Street NW,33.781162,-84.403603
25030498,3/4/25 8:42,3/4/25 8:48,9999W,,Closed by Other Means,Not Applicable,ONCAM,Z1,Motor Pool,306,,10th Street NW,33.781162,-84.403603
