Incident Type,Case Number,Date/Time Reported,Date/Time Occurred,Location,Street Name,Disposition
"Accident Non Injury, Hit & Run",DR2025-01018,3/19/25 20:48,3/19/25 20:48,TLot 59,S PACKARD DR,No Solvability Factors (Inactive)
Criminal Damage,DR2025-01017,3/19/25 20:31,3/19/25 4:30,CLCC (Classroom - Lab/Computer Classroom),N 47TH AVE,No Solvability Factors (Inactive)
Subject Stop,DR2025-01016,3/19/25 18:05,3/19/25 18:05,,E VOLANTE CIR,No Solvability Factors (Inactive)
Assault,DR2025-01011,3/19/25 12:24,3/19/25 12:24,Art Building,S FOREST MALL,Pending Review- At least one solvability factor
Suspicious Person,DR2025-01009,3/19/25 1:55,3/19/25 1:55,Tooker House,E UNIVERSITY DR,Long Formed and Booked
Narcotics,DR2025-01008,3/18/25 22:53,3/18/25 22:53,,N 7TH ST,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-01007,3/18/25 22:35,3/18/25 21:30,Hayden Library,E ORANGE MALL,No Solvability Factors (Inactive)
Criminal Damage,DR2025-01006,3/18/25 20:57,3/18/25 20:24,CLCC Lecture Hall,N 46TH DR,No Solvability Factors (Inactive)
Traffic Stop,DR2025-01005,3/18/25 20:46,3/18/25 20:46,,W THUNDERBIRD RD,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-01003,3/18/25 19:44,3/18/25 18:00,Schwada Classroom Office Building,E ORANGE ST,No Solvability Factors (Inactive)
Subject Threatening,DR2025-01004,3/18/25 18:51,3/18/25 18:15,HAV D-Wing - Chuparosa,S MCALLISTER AVE,Pending Review- At least one solvability factor
Fire,DR2025-01002,3/18/25 18:43,3/18/25 18:43,PS 4 - Rural,S RURAL RD,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00998,3/18/25 8:44,3/17/25 14:00,Social Sciences Building (SS),S CADY MALL,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00996,3/18/25 8:02,3/18/25 8:02,,S MILL AVE,Cited and Released
Traffic Stop,DR2025-00995,3/18/25 2:36,3/18/25 2:36,,E BROADWAY RD,Cited and Released
Traffic Stop,DR2025-00994,3/18/25 1:32,3/18/25 1:32,,S SUNSET DR,Cited and Released
Traffic Stop,DR2025-00993,3/18/25 0:36,3/18/25 0:36,,N 3RD ST,Cited and Released
Criminal Damage,DR2025-00992,3/18/25 0:19,3/17/25 0:19,Sands Classroom & Lecture Hall,N 47TH AVE,No Solvability Factors (Inactive)
Driving Under the Influence,DR2025-00991,3/17/25 22:52,3/17/25 22:52,,E RIO SALADO PKWY,Cited and Released
Suspicious Vehicle,DR2025-00989,3/17/25 21:53,3/17/25 21:53,PS VDS,E APACHE BLVD,Brief Alcohol Screening and Intervention
Traffic Stop,DR2025-00988,3/17/25 21:51,3/17/25 21:51,,E RIO SALADO PKWY,Cited and Released
Suspicious Person,DR2025-00987,3/17/25 20:11,3/17/25 20:11,Fusion on First (FoF),N 1ST AVE,Long Formed for Prosecution
"Bike, Scooter or Skateboard Theft",DR2025-00985,3/17/25 20:08,3/1/25 17:00,Design South,S FOREST MALL,No Solvability Factors (Inactive)
"Bike, Scooter or Skateboard Theft",DR2025-00984,3/17/25 19:24,3/17/25 16:30,Design South,S FOREST MALL,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00982,3/17/25 15:20,3/17/25 10:30,Hayden Library,E ORANGE MALL,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00981,3/17/25 14:12,3/7/25 17:00,PS 4 - Rural,S RURAL RD,No Solvability Factors (Inactive)
Subject Harassing,DR2025-00980,3/17/25 13:46,3/17/25 9:00,UCB (University Center Building),N 47TH AVE,Pending Review- At least one solvability factor
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00979,3/17/25 7:02,3/16/25 18:00,Barrett - Cottonwood Hall,E APACHE BLVD,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00978,3/17/25 1:08,3/17/25 1:08,,E BROADWAY RD,Cited and Released
Traffic Stop,DR2025-00977,3/16/25 22:41,3/16/25 22:41,,N 3RD ST,Cited and Released
Criminal Damage,DR2025-00976,3/16/25 21:59,3/15/25 22:00,HAV G-Wing - Verbena,E LEMON ST,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00975,3/16/25 18:03,3/16/25 18:03,Sands Classroom & Lecture Hall,N 47TH AVE,No Solvability Factors (Inactive)
Burglary from Vehicle,DR2025-00974,3/16/25 17:45,3/15/25 17:00,PS Taylor Street,N 2ND ST,No Solvability Factors (Inactive)
"Accident Non Injury, Hit & Run",DR2025-00973,3/16/25 16:14,3/16/25 16:14,Gammage Auditorium,S FOREST AVE,Assigned to Patrol Officer
Assault,DR2025-00972,3/16/25 9:51,3/16/25 9:51,Mullett Arena,S PACKARD DR,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00971,3/16/25 9:19,3/16/25 0:30,Bike Racks NW - Tooker,E UNIVERSITY DR,Pending Review- At least one solvability factor
Subject Disturbing,DR2025-00970,3/16/25 7:01,3/16/25 6:50,ISTB 7,E UNIVERSITY DR,Cited and Released
Person Down,DR2025-00969,3/16/25 3:54,3/16/25 3:54,BAC (Business Administration C-Wing),E LEMON ST,Cited and Released
Traffic Stop,DR2025-00968,3/16/25 2:38,3/16/25 2:38,,E BROADWAY RD,Cited and Released
Traffic Stop,DR2025-00967,3/16/25 1:54,3/16/25 1:54,,N 49TH AVE,Cited and Released
Criminal Damage,DR2025-00965,3/16/25 1:09,3/15/25 22:00,Best B,S FOREST AVE,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00964,3/16/25 1:03,3/16/25 1:03,,E BROADWAY RD,Cited and Released
Racing/Reckless Driving,DR2025-00961,3/15/25 19:29,3/15/25 19:29,PS 7 - Packard,S PACKARD DR,Pending Review- At least one solvability factor
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00960,3/15/25 16:08,3/15/25 5:30,University Towers,S FOREST AVE,Pending Review- At least one solvability factor
Driving Under the Influence,DR2025-00959,3/15/25 3:15,3/15/25 3:15,,S FOREST AVE,Assigned to Patrol Officer
Suspicious Vehicle,DR2025-00957,3/14/25 23:51,3/14/25 23:51,Combined Heating and Power Station,E LEMON ST,MCAO - Transmitted
Theft,DR2025-00956,3/14/25 20:21,3/14/25 19:15,Engineering Research Center,E TYLER MALL,No Solvability Factors (Inactive)
Theft,DR2025-00955,3/14/25 11:25,3/10/25 10:30,Coor Hall,S FOREST MALL,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00953,3/14/25 11:00,3/13/25 1:30,Cronkite,N CENTRAL AVE,No Solvability Factors (Inactive)
Domestic Fight,DR2025-00951,3/14/25 0:29,3/14/25 0:29,DLot McKinley,N 1ST ST,MCAO - Transmitted
Theft,DR2025-00948,3/13/25 15:17,3/12/25 14:30,SDFC (Sun Devil Fitness Center Tempe),E APACHE BLVD,No Solvability Factors (Inactive)
Suspicious Person,DR2025-00946,3/13/25 4:27,3/13/25 4:27,Tooker House,E UNIVERSITY DR,Long Formed for Prosecution
Traffic Stop,DR2025-00945,3/13/25 0:48,3/13/25 0:48,,E VAN BUREN ST,Cited and Released
Suspicious Person,DR2025-00944,3/12/25 20:37,3/12/25 20:37,Tooker House,E UNIVERSITY DR,Long Formed and Booked
Theft,DR2025-00943,3/12/25 18:05,3/12/25 18:05,Health Services Building E UNIVERSITY DR,,Pending Review- At least one solvability factor
Indecent Exposure,DR2025-00941,3/12/25 8:01,3/12/25 8:01,TLot 3,S FOREST AVE,Brief Alcohol Screening and Intervention
Driving Under the Influence,DR2025-00939,3/12/25 3:01,3/12/25 3:01,,E BROADWAY RD,Cited and Released
Welfare Check,DR2025-00938,3/12/25 2:22,3/12/25 2:22,Helmick Center (CAC / College Ave Commons),S COLLEGE AVE,No Solvability Factors (Inactive)
Subject Stop,DR2025-00937,3/12/25 0:28,3/12/25 0:28,PS 4 - Rural,S RURAL RD,No Solvability Factors (Inactive)
Subject Harassing,DR2025-00934,3/11/25 16:03,3/11/25 16:03,BCLS (Beus Center for Law and Society),E TAYLOR ST,Pending Review- At least one solvability factor
Theft,DR2025-00933,3/11/25 10:57,3/7/25 17:00,Recreation and Sports Fields,S DORSEY LN,No Solvability Factors (Inactive)
Subject Stop,DR2025-00926,3/10/25 13:01,3/10/25 13:01,,N 1ST ST,Long Formed and Booked
Traffic Stop,DR2025-00922,3/9/25 23:27,3/9/25 23:27,,E BROADWAY RD,Cited and Released
Traffic Stop,DR2025-00921,3/9/25 22:38,3/9/25 22:38,,E BROADWAY RD,Cited and Released
Activity Check,DR2025-00916,3/9/25 11:31,3/9/25 11:31,Driving Range,E WILLIAMS FIELD RD,No Solvability Factors (Inactive)
Suspicious Person,DR2025-00915,3/9/25 11:04,3/9/25 11:04,Manzanita Hall,E UNIVERSITY DR,MCAO - Transmitted
Traffic Stop,DR2025-00914,3/9/25 3:16,3/9/25 3:16,Jerry's Liquors,S RURAL RD,Cited and Released
Driving Under the Influence,DR2025-00913,3/9/25 2:47,3/9/25 2:47,BCLS (Beus Center for Law and Society),E TAYLOR ST,Long Formed for Prosecution
Subject Stop,DR2025-00912,3/9/25 0:45,3/9/25 0:45,GLV (Greek Leadership Village),S RURAL RD,Cited and Released
Traffic Stop,DR2025-00911,3/8/25 23:15,3/8/25 23:15,,E RIO SALADO PKWY,Cited and Released
Traffic Stop,DR2025-00909,3/8/25 22:38,3/8/25 22:38,,S PACKARD DR,Cited and Released
Assault,DR2025-00910,3/8/25 22:25,3/8/25 22:25,PS 7 - Packard,S PACKARD DR,Cited and Released
Found Property,DR2025-00908,3/8/25 12:20,3/7/25 18:30,,S VENTURA DR,No Solvability Factors (Inactive)
Assault,DR2025-00907,3/8/25 10:46,3/8/25 10:46,Paseo Del Saber Crosswalk,E APACHE BLVD,Cited and Released
Trespassing,DR2025-00906,3/8/25 4:43,3/7/25 23:00,Manzanita Hall,E UNIVERSITY DR,No Solvability Factors (Inactive)
Subject Stop,DR2025-00903,3/8/25 1:53,3/8/25 1:53,TLot 63,S TERRACE RD,Cited and Released
Welfare Check,DR2025-00905,3/8/25 1:51,3/8/25 1:51,Palo Verde West (PVW) E UNIVERSITY DR,,Cited and Released
Sex Offense,DR2025-00902,3/8/25 0:02,3/8/25 0:02,Barrett Honors College,E LEMON MALL,Pending Review- At least one solvability factor
Burglary from Vehicle,DR2025-00901,3/7/25 20:46,3/7/25 20:46,PS 7 - Packard,S PACKARD DR,Pending Review- At least one solvability factor
"Accident Non Injury, Hit & Run",DR2025-00899,3/7/25 18:52,3/7/25 13:00,TLot 3,S FOREST AVE,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00896,3/7/25 15:16,2/28/25 13:00,Physical Sciences H-Wing (PSH),E UNIVERSITY DR,No Solvability Factors (Inactive)
Subject Stop,DR2025-00894,3/7/25 10:41,3/7/25 10:41,,S MILL AVE,MCAO - Transmitted
Subject Stop,DR2025-00891,3/7/25 4:01,3/7/25 4:01,,E RIO SALADO PKWY,MCAO - Transmitted
Driving Under the Influence,DR2025-00889,3/7/25 3:08,3/7/25 3:08,TLot 63,S TERRACE RD,Long Formed for Prosecution
Information Report,DR2025-00888,3/7/25 2:35,3/7/25 2:35,ISTB 7,E UNIVERSITY DR,SRR Referral
Theft,DR2025-00887,3/7/25 2:19,3/6/25 21:00,HAV H-Wing - Acourtia,E LEMON ST,No Solvability Factors (Inactive)
Trespassing,DR2025-00886,3/7/25 0:41,3/7/25 0:41,MU (Memorial Union),E ORANGE MALL,Long Formed and Booked
Driving Under the Influence,DR2025-00883,3/6/25 21:29,3/6/25 21:29,DLot McKinley,N 1ST ST,Long Formed for Prosecution
Alcohol Violation,DR2025-00882,3/6/25 19:57,3/6/25 19:57,Hassayampa Phase 2 (East),E LEMON ST,Brief Alcohol Screening and Intervention
Disturbance,DR2025-00880,3/6/25 10:07,3/6/25 10:07,ISTB 7,E UNIVERSITY DR,SRR Referral
Traffic Stop,DR2025-00877,3/6/25 2:17,3/6/25 2:17,,S NORMAL AVE,Long Formed and Booked
"Accident Non Injury, Hit & Run",DR2025-00875,3/5/25 22:23,3/5/25 22:23,WLot 2,W UNIVERSITY WAY S,No Solvability Factors (Inactive)
Subject Stop,DR2025-00873,3/5/25 18:14,3/5/25 18:14,BCLS (Beus Center for Law and Society),E TAYLOR ST,Closed
Subject Stop,DR2025-00871,3/5/25 18:14,3/5/25 18:14,BCLS (Beus Center for Law and Society),E TAYLOR ST,Pending Review- At least one solvability factor
Skateboarders,DR2025-00872,3/5/25 18:12,3/5/25 18:12,Life Sciences E-Wing (LSE),E TYLER MALL,No Solvability Factors (Inactive)
Disturbance,DR2025-00868,3/5/25 15:33,3/5/25 15:30,Tooker House,E UNIVERSITY DR,MCAO - Transmitted
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00865,3/5/25 12:17,3/4/25 11:50,Physical Sciences H-Wing (PSH),E UNIVERSITY DR,Long Formed and Booked
Criminal Damage,DR2025-00866,3/5/25 11:58,3/5/25 5:00,PS 4 - Rural,S RURAL RD,No Solvability Factors (Inactive)
Theft,DR2025-00864,3/5/25 10:41,3/4/25 18:30,McClintock Hall,S FOREST MALL,Offense Did Not Occur (Unfounded)
Driving Under the Influence,DR2025-00863,3/5/25 2:31,3/5/25 2:31,,N 1ST AVE,Long Formed for Prosecution
Subject Stop,DR2025-00862,3/5/25 1:51,3/5/25 1:51,GLV (Greek Leadership Village),S RURAL RD,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00860,3/4/25 23:28,3/4/25 19:30,Life Sciences C-Wing (LSC),E TYLER MALL,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00858,3/4/25 21:20,3/3/25 22:00,HAV A-Wing - Mohave,S MCALLISTER AVE,No Solvability Factors (Inactive)
"Accident Non Injury, Hit & Run",DR2025-00856,3/4/25 17:40,3/4/25 17:35,TLot 63,S TERRACE RD,Cited and Released
Theft,DR2025-00855,3/4/25 16:31,2/25/25 18:00,Interdisciplinary A,S CADY MALL,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00854,3/4/25 15:56,3/1/25 20:00,Tooker Bike Racks West,E UNIVERSITY DR,No Solvability Factors (Inactive)
"Bike, Scooter or Skateboard Theft",DR2025-00853,3/4/25 12:18,2/25/25 14:45,Lantana Hall,S TWINING,Pending Review- At least one solvability factor
"Accident Non Injury, Hit & Run",DR2025-00852,3/4/25 11:02,3/4/25 10:55,EVIT,S POWER RD,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00851,3/4/25 10:50,2/28/25 7:00,Northeast Fields,W THUNDERBIRD RD,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00844,3/3/25 20:13,3/3/25 20:13,,N 51ST AVE,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00843,3/3/25 19:10,3/3/25 19:10,Engineering Center G-Wing,E TYLER MALL,Offense Did Not Occur (Unfounded)
"Bike, Scooter or Skateboard Theft",DR2025-00840,3/3/25 16:43,3/2/25 22:10,ISTB 7,E UNIVERSITY DR,Pending Review- At least one solvability factor
"Accident Non Injury, Hit & Run",DR2025-00839,3/3/25 16:14,3/3/25 16:14,TLot 59,S PACKARD DR,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00841,3/3/25 16:01,3/3/25 15:00,Villas at Vista Del Sol (VVDS),E APACHE BLVD,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00838,3/3/25 9:17,3/3/25 5:45,Mona Plummer Aquatic Complex,S COLLEGE AVE,No Solvability Factors (Inactive)
Racing/Reckless Driving,DR2025-00837,3/3/25 8:10,3/3/25 7:15,,E GAMMAGE PKWY,Cited and Released
Traffic Stop,DR2025-00834,3/3/25 4:00,3/3/25 4:00,,E RIO SALADO PKWY,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00831,3/2/25 21:33,3/2/25 21:33,Tooker House,E UNIVERSITY DR,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00829,3/2/25 20:59,3/2/25 20:59,,S RURAL RD,Cited and Released
Criminal Damage,DR2025-00827,3/2/25 20:36,3/2/25 1:00,Barrett - Sage South,E LEMON MALL,No Solvability Factors (Inactive)
Information Report,DR2025-00828,3/2/25 20:25,3/2/25 20:25,South Desert Village (SDV),S CLEARVIEW,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00822,3/2/25 1:52,3/2/25 1:52,Centerpoint Tempe,S MILL AVE,Long Formed for Prosecution
Traffic Stop,DR2025-00821,3/2/25 1:38,3/2/25 1:38,,E BROADWAY RD,Cited and Released
Subject Stop,DR2025-00820,3/2/25 1:36,3/2/25 1:36,,E LEMON ST,Cited and Released
Criminal Damage,DR2025-00819,3/2/25 1:15,3/2/25 0:40,Barrett - Rosewood Hall S RURAL RD,,No Solvability Factors (Inactive)
Alcohol Violation,DR2025-00818,3/2/25 0:53,3/2/25 0:53,GLV (Greek Leadership Village),S RURAL RD,Cited and Released
Traffic Stop,DR2025-00817,3/1/25 22:36,3/1/25 22:36,,S RURAL RD,Cited and Released
Traffic Stop,DR2025-00816,3/1/25 21:54,3/1/25 21:54,,S RURAL RD,Cited and Released
Theft,DR2025-00815,3/1/25 19:11,3/1/25 15:00,Desert Financial Arena (DFA),E VETERANS WAY,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00812,3/1/25 8:17,3/1/25 8:17,Post Office,N CENTRAL AVE,Pending Review- At least one solvability factor
Subject Stop,DR2025-00810,3/1/25 2:31,3/1/25 2:31,GLV (Greek Leadership Village),S RURAL RD,Cited and Released
Alcohol Violation,DR2025-00811,3/1/25 2:02,3/1/25 2:02,San Pablo E-Wing,E VETERANS WAY,Cited and Released
Driving Under the Influence,DR2025-00809,3/1/25 0:10,3/1/25 0:10,,S RURAL RD,Cited and Released
Criminal Damage,DR2025-00808,2/28/25 23:06,2/27/25 22:00,Hassayampa Phase 2 (East),E LEMON ST,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00805,2/28/25 21:26,2/28/25 21:26,TLot 59,S PACKARD DR,Cited and Released
Traffic Stop,DR2025-00802,2/28/25 20:27,2/28/25 20:27,,N 49TH AVE,Cited and Released
Theft,DR2025-00803,2/28/25 20:10,2/27/25 17:00,Fusion on First (FoF),N 1ST AVE,No Solvability Factors (Inactive)
"Bike, Scooter or Skateboard Theft",DR2025-00800,2/28/25 14:04,2/24/25 21:00,Manzanita Hall,E UNIVERSITY DR,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00799,2/28/25 12:20,2/28/25 12:20,Carson Student Athlete Center,E VETERANS WAY,Pending Review- At least one solvability factor
"Bike, Scooter or Skateboard Theft",DR2025-00797,2/28/25 11:05,1/16/25 12:00,Barrett Honors College,E LEMON MALL,No Solvability Factors (Inactive)
Subject Harassing,DR2025-00795,2/28/25 2:15,2/27/25 21:00,Adelphi Commons (Main Faciility),E APACHE BLVD,Pending Review- At least one solvability factor
Subject with Knife,DR2025-00794,2/28/25 1:54,2/28/25 1:54,Sonora Center,S RURAL RD,MCAO - Transmitted
Subject Stop,DR2025-00792,2/28/25 1:11,2/28/25 1:11,Matthews Hall,S FOREST MALL,Brief Alcohol Screening and Intervention
Subject Threatening,DR2025-00793,2/28/25 1:10,2/28/25 1:10,HAV C-Wing - Jojoba,S MCALLISTER AVE,Long Formed and Booked
Assault,DR2025-00789,2/27/25 23:42,2/27/25 23:42,Vista POD Market Warehouse,E APACHE BLVD,Long Formed and Booked
Subject Stop,DR2025-00788,2/27/25 23:32,2/27/25 23:32,PS 1 - Apache,E LEMON ST,Cited and Released
Subject Stop,DR2025-00786,2/27/25 21:22,2/27/25 21:22,Hassayampa Phase 2 (East),E LEMON ST,Brief Alcohol Screening and Intervention
Suspicious Vehicle,DR2025-00781,2/27/25 18:15,2/27/25 18:15,TLot 59 North,S PACKARD DR,SRR Referral
Traffic Stop,DR2025-00777,2/27/25 15:27,2/27/25 15:27,,S MCCLINTOCK DR,Cited and Released
"Bike, Scooter or Skateboard Theft",DR2025-00776,2/27/25 9:02,2/27/25 8:49,SDFCD (Sun Devil Fitness Center Downtown),N 1ST AVE,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00773,2/27/25 3:18,2/27/25 3:18,VDS F-Wing (Vista Del Sol F-Wing),E APACHE BLVD,Pending Review- At least one solvability factor
Traffic Stop,DR2025-00771,2/27/25 0:41,2/27/25 0:41,TLot 50,E VETERANS WAY,Long Formed for Prosecution
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00767,2/26/25 21:03,2/26/25 21:03,University Towers,S FOREST AVE,Long Formed for Prosecution
Traffic Stop,DR2025-00765,2/26/25 20:35,2/26/25 20:35,,N 1ST ST,Cited and Released
Shoplifting,DR2025-00757,2/26/25 9:27,2/26/25 9:27,Century Hall,S BACKUS MALL,Cited and Released
"Accident Non Injury, Hit & Run",DR2025-00758,2/26/25 9:06,2/26/25 8:54,,E RIO SALADO PKWY,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00756,2/26/25 7:58,2/25/25 12:50,WestWard Ho,N CENTRAL AVE,No Solvability Factors (Inactive)
Subject Stop,DR2025-00755,2/26/25 7:10,2/26/25 7:10,,TERRACE RURAL,Cited and Booked
Theft,DR2025-00754,2/26/25 6:58,2/26/25 6:45,Social Sciences Building (SS),S CADY MALL,No Solvability Factors (Inactive)
Driving Under the Influence,DR2025-00753,2/26/25 3:25,2/26/25 3:25,,N 7TH ST,Long Formed for Prosecution
Traffic Stop,DR2025-00752,2/26/25 2:53,2/26/25 2:53,,S MCCLINTOCK DR,Cited and Released
Traffic Stop,DR2025-00748,2/25/25 19:40,2/25/25 19:40,,N 51ST AVE,Cited and Released
Criminal Damage,DR2025-00749,2/25/25 19:35,2/25/25 17:00,Barrett - Agave Hall,E APACHE BLVD,No Solvability Factors (Inactive)
Theft,DR2025-00746,2/25/25 19:11,2/24/25 13:30,Hayden Library,E ORANGE MALL,No Solvability Factors (Inactive)
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00744,2/25/25 18:25,2/25/25 15:00,UCENT (University Center),N CENTRAL AVE,No Solvability Factors (Inactive)
Theft,DR2025-00745,2/25/25 17:37,2/25/25 17:37,SDFC (Sun Devil Fitness Center Tempe),E APACHE BLVD,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00742,2/25/25 16:05,2/25/25 14:00,,N 1ST AVE,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00740,2/25/25 13:29,2/25/25 13:29,,S POWER RD,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00738,2/25/25 11:57,2/21/25 14:00,HAV G-Wing - Verbena,E LEMON ST,No Solvability Factors (Inactive)
Forgery/Fraud,DR2025-00737,2/25/25 11:15,2/24/25 12:00,Goldwater Center for Science & Engineering,E TYLER MALL,Pending Review- At least one solvability factor
Theft,DR2025-00734,2/25/25 10:22,2/20/25 16:20,Tooker House,E UNIVERSITY DR,No Solvability Factors (Inactive)
Subject Harassing,DR2025-00733,2/25/25 9:14,2/21/25 9:00,MU (Memorial Union),E ORANGE MALL,Pending Review- At least one solvability factor
Criminal Damage,DR2025-00732,2/25/25 6:49,2/25/25 6:00,,N 1ST AVE,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00731,2/25/25 2:17,2/25/25 2:17,,E 8TH ST,Long Formed and Booked
Suspicious Person,DR2025-00730,2/25/25 0:20,2/25/25 0:20,Hassayampa Phase 1 (West),S MCALLISTER AVE,Brief Alcohol Screening and Intervention
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00728,2/24/25 20:28,2/24/25 17:55,BAC (Business Administration C-Wing),E LEMON ST,No Solvability Factors (Inactive)
Traffic Stop,DR2025-00726,2/24/25 18:10,2/24/25 18:10,,W SWEETWATER AVE,Cited and Released
Subject Harassing,DR2025-00724,2/24/25 17:06,2/24/25 17:06,Gordon Commons on Taylor,E TAYLOR ST,MCAO - Transmitted
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00725,2/24/25 16:54,2/24/25 14:00,Student Services Building (SSB),S FOREST AVE,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00719,2/24/25 10:28,2/24/25 10:28,,N 1ST AVE,No Solvability Factors (Inactive)
"Bike, Scooter or Skateboard Theft",DR2025-00720,2/24/25 10:12,2/22/25 21:00,Barrett - Cereus Hall,E APACHE BLVD,Pending Review- At least one solvability factor
Traffic Stop,DR2025-00717,2/23/25 22:51,2/23/25 22:51,,E BROADWAY RD,Cited and Released
"Theft of Electric Bike, Scooter, or Skateboard",DR2025-00716,2/23/25 22:10,2/22/25 19:22,Palo Verde East (PVE),E UNIVERSITY DR,Pending Review- At least one solvability factor
Traffic Stop,DR2025-00715,2/23/25 22:06,2/23/25 22:06,,N 56TH AVE,Cited and Released
Domestic Fight,DR2025-00714,2/23/25 18:06,2/23/25 18:06,TLot 67,E 6TH ST,MCAO - Transmitted
Theft,DR2025-00713,2/23/25 11:46,2/21/25 17:00,SDFC (Sun Devil Fitness Center Tempe),E APACHE BLVD,No Solvability Factors (Inactive)
Criminal Damage,DR2025-00712,2/23/25 10:08,2/23/25 10:08,Art Museum,E 10TH ST,Pending Review- At least one solvability factor
Theft,DR2025-00710,2/23/25 1:09,2/22/25 21:30,TLot 40W,S MCALLISTER AVE,Pending Review- At least one solvability factor
Subject Stop,DR2025-00708,2/23/25 0:48,2/23/25 0:48,GLV (Greek Leadership Village),S RURAL RD,Cited and Released
