Incident Type,Location,Date/Time Occurred,Date/Time Occurred to,Date/Time Reported,Dates are:,Disposition
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","West Campus Parking Garage -
Lower Level Bike Racks (201
John Kimbrough Bl, College
Station)",3/21/25 18:40,3/21/25 18:40,3/21/25,Approximate,Active
"Unlawful Electronic Transmission of Sexually
Explicit Visual Material","Park West Apartments (Not
Disclosed) (503 George Bush Dr
W, Ste A, College Station)",3/21/25 19:00,3/21/25 20:00,3/21/25,Approximate,Active
Sexual Assault,Dorms,8/15/24 0:00,12/15/24 23:59,3/21/25,Approximate,Other
"Clery- Theft of Motor Vehicle/Theft of Property
>=$100<$750 (Electric Scooter or BIcycle)","Heldenfels Hall - Bike Racks (466
Nagle St, College Station)",3/19/25 15:00,3/19/25 23:10,3/20/25,Approximate,Active
Duty on Striking Unattended Vehicle,"Gene Stallings Blvd Garage (500
Gene Stallings Bl, College
Station)",3/20/25 12:55,3/20/25 12:55,3/20/25,Exact,Active
Aggravated Assault,On Campus,3/20/25,3/20/25,3/20/25,Not Provided,Referred by IR
Criminal Trespass,"Interdisciplinary Life Sciences
Building (301 Old Main Dr,
College Station)",3/19/25 8:16,3/19/25 8:16,3/19/25,Approximate,Warrant Obtained
Duty on Striking Unattended Vehicle,"Parking Area 100 C
730 OLSEN BL
COLLEGE STATION TX",3/19/25 10:05,3/19/25 10:05,3/19/25,Approximate,Active
Duty on Striking Unattended Vehicle,"Parking Area 100 C
730 OLSEN BL
COLLEGE STATION TX",3/19/25 11:30,3/19/25 12:20,3/19/25,Approximate,Active
Theft of Property >=$100<$750 (Bicycle),"Quadbucks - Bike Racks
717 Military Mall
College Station, TX",3/8/25 6:00,3/18/25 11:30,3/19/25,Approximate,Active
Theft >=$100<$750 (From Building),"Sbisa Dining Hall - Chick Fil
A(233 Houston St, College
Station)",3/19/25 13:43,3/19/25 13:43,3/19/25,Exact,Active
"Clery-Attempted Motor Vehicle Theft/ Theft of
Property >=$100<$750 (Electric Scooter)
)","Plant Pathology and
Microbiology Building - West
Side Bike Racks (496 Olsen Bl,
College Station)",3/17/25 13:30,3/19/25 15:15,3/19/25,Approximate,Active
Criminal Trespass,"Mosher Residence Hall -
Exterior (725 Mosher Ln,
College Station)",3/15/25 2:56,3/15/25 4:18,3/19/25,Approximate,Warrant Obtained
"Clery- Motor Vehicle Theft/ Theft of
Property>=$750<$2,500 (Electric Scooter)","Commons- Bike Racks Near
Main Entrance (676 Lubbock St,
College Station)",3/5/25 17:00,3/19/25 18:30,3/19/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Memorial Student Center - Bike
Racks (275 Joe Routt Bl, College
Station)",3/18/25 14:00,3/18/25 20:30,3/19/25,Approximate,Active
Criminal Mischief,"Lechner Residence Hall (232
Houston St, College Station)",3/19/25,3/19/25,3/19/25,Not Provided,Referred by CSA
Driving While Intoxicated,"North Houston Street (South of
University Drive)
College Station, TX",3/18/25 1:14,3/18/25 1:14,3/18/25,Approximate,Cleared by Arrest
"Criminal Mischief <$100 or Substantial
Inconvenience","Park West Tower 3 Parking Area
503 GEORGE BUSH DR W",3/18/25 1:07,3/18/25 1:07,3/18/25,Approximate,Exceptionally Cleared
"Criminal Mischief <$100 or Substantial
Inconvenience","Park West Parking Garage
503 GEORGE BUSH DR W
COLLEGE STATION TX 77840",3/18/25 2:27,3/18/25 2:27,3/18/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Student Services Building - Bike
Racks (471 Houston St, College
Station)",3/7/25 9:00,3/14/25 11:00,3/18/25,Approximate,Active
Reckless Driving,"Parking Area 7 (Ross Street)
College Station, TX",3/18/25 9:34,3/18/25 9:34,3/18/25,Approximate,Exceptionally Cleared
Theft >=$100<$750 (From Building),"Fowler Residence Hall (225
Jones St, College Station)",3/17/25 8:40,3/17/25 17:30,3/18/25,Approximate,Active
Theft >=$100<$750 (From Building),"Kyle Field (Levy Warehouse)
161 Wellborn Rd
College Station, TX",3/18/25 12:16,3/18/25 12:16,3/18/25,Exact,Active
Theft Under $100 (All Other Theft),"Giesecke Engineering Research
Building - Parking Area (1617
Research Pw, College Station)",1/1/25 0:00,1/31/25 23:59,3/18/25,Approximate,Active
Theft Under $100 (From Motor Vehicle),"Parking Area 30 C
200 University Dr.
College Station, TX",3/17/25 21:00,3/18/25 15:20,3/18/25,Approximate,Active
Duty on Striking Unattended Vehicle,"Parking Area 40 C
906 George Bush Dr.
College Station, TX",3/18/25 17:00,3/18/25 17:00,3/18/25,Exact,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Krueger Residence Hall - North
Side Bike Racks (722 Lubbock St,
College Station)",3/7/25 17:00,3/17/25 11:30,3/18/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Zachry Engineering Education
Complex - Northeast Bike Racks
(125 Spence St, College Station)",3/18/25 15:00,3/18/25 17:00,3/18/25,Approximate,Active
Duty on Striking Unattended Vehicle,"Parking Area 36 A
153 Agronomy Road
College Station, TX",3/18/25 7:30,3/18/25 17:30,3/18/25,Approximate,Active
"Theft of Property $750-$2,500 (From Building)","Olsen Field at Bluebell Park (955
Olsen Bl, College Station)",3/18/25 19:00,3/18/25 19:15,3/18/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Zachry Engineering Education
Complex - West Side Bike Racks
(125 Spence St, College Station)",3/18/25 22:42,3/18/25 22:42,3/18/25,Approximate,Active
Clery Hate Crime - Simple Assault,On Campus,8/15/24 0:00,12/15/24 23:59,3/18/25,Approximate,Referred by IR
"Driving While License Invalid w/previous conv./No
Insurance/ ALR","George Bush Drive (East of
Harvey Mitchell Parkway)
College Station, TX",3/17/25 2:46,3/17/25 2:46,3/17/25,Approximate,Cleared by Arrest
Duty on Striking Unattended Vehicle,"Parking Area 40 D
College Station, TX",3/16/25 18:30,3/17/25 11:20,3/17/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Francis Hall- Southside Bike
Racks (574 Ross St, College
Station)",3/17/25 11:30,3/17/25 12:30,3/17/25,Approximate,Active
"Criminal Mischief <$100 or Substantial
Inconvenience","Hullabaloo Residence Hall - Bike
Racks Between Hullabaloo
Starbucks and Walton Hall (306
University Dr, College Station)",3/7/25 14:00,3/16/25 19:00,3/17/25,Exact,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Krueger Residence Hall - Bike
Racks (722 Lubbock St, College
Station)",3/7/25 8:00,3/17/25 11:00,3/17/25,Approximate,Active
Theft of Property =$100 <$750 (All Other),"White Creek Apartments C (225
Discovery Dr, College Station)",3/17/25 19:40,3/17/25 19:40,3/17/25,Approximate,Active
Accident Hit and Run,"Parking Area 30 C
College Station, TX",3/17/25 21:40,3/17/25 21:40,3/17/25,Approximate,Exceptionally Cleared
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Kleberg Center - North Side Bike
Racks (474 Olsen Bl, College
Station)",3/17/25 9:30,3/17/25 23:10,3/17/25,Approximate,Active
Possession of Marijuana < 2 oz,"Parking Area 30 C
210 UNIVERSITY DR
COLLEGE STATION TX 77840",3/16/25 1:30,3/16/25 1:30,3/16/25,Approximate,Warrant Being Sought
Fail to Identify - Refusal Under Arrest,"University Drive (Sidewalk) East
of North Houston Drive
COLLEGE STATION TX 77840",3/16/25 2:07,3/16/25 2:07,3/16/25,Approximate,Cleared by Arrest
"Clery Stalking / Harassment (Other Than by
Threats)","Park West Tower 4
503 George Bush Dr. W
College Station, TX",3/8/25 0:00,3/16/25 1:47,3/16/25,Approximate,Active
Possession of Drug Paraphernalia,"Park West Tower 3 (503 George
Bush Dr. W, College Station, TX)",3/16/25 14:31,3/16/25 14:31,3/16/25,Approximate,Cleared by Arrest
Driving while intoxicated,"101 Church Avenue
College Station, TX",3/15/25 0:11,3/15/25 0:11,3/15/25,Approximate,Cleared by Arrest
Duty on Striking Unattended Vehicle,"Parking Area 30 C
306 UNIVERSITY DR
COLLEGE STATION TX 77840",2/28/25 18:15,3/1/25 19:00,3/15/25,Approximate,Exceptionally Cleared
Theft,"Hullabaloo Residence Hall (306
University Dr, College Station)",3/13/25,3/13/25,3/13/25,Not Provided,Referred by SCO
Theft,"Hullabaloo Residence Hall (306
University Dr, College Station)",3/13/25,3/13/25,3/13/25,Not Provided,Referred by SCO
Theft,"Hullabaloo Residence Hall (306
University Dr, College Station)",3/13/25,3/13/25,3/13/25,Not Provided,Referred by SCO
Theft,"Hullabaloo Residence Hall (306
University Dr, College Station)",3/13/25,3/13/25,3/13/25,Not Provided,Referred by SCO
Assault (Offensive Contact) / Domestic Violence,"Parking Area 30 C
210 UNIVERSITY DR
COLLEGE STATION TX 77840",3/13/25 1:29,3/13/25 1:29,3/13/25,Exact,Cleared by Arrest
Criminal Mischief,"White Creek Apartments C (225
Discovery Dr, College Station)",3/13/25,3/13/25,3/13/25,Not Provided,Referred by CSA
Driving While Intoxicated,"George Bush Drive West (West
of Harvey Mitchell Parkway)
College Station, TX",3/12/25 1:13,3/12/25 1:13,3/12/25,Exact,"Cleared by Other Agency
(Arrest)"
"Driving While License Invalid w/previous conv./No
Insurance/ ALR","Harvey Mitchell Parkway
(Between Raymond Stotzer
Parkway and George Bush
Drive)
College Station, TX",3/12/25 4:08,3/12/25 4:08,3/12/25,Approximate,Cleared by Arrest
"Operate Motor Vehicle w/ Fictitious (Wrong)
License Plate","Century Square (175 Century
Square Dr, College Station)",3/12/25 8:41,3/12/25 9:07,3/12/25,Approximate,"Cleared by Arrest
(Citation)"
Possession of Fictitious License,Parking Area 32,3/12/25 16:28,3/12/25 16:28,3/12/25,Approximate,"Cleared by Arrest
(Citation)"
Public Intoxication,"Agronomy Road (South of
Yegua Street) College Station,
TX",3/11/25 15:51,3/11/25 16:21,3/11/25,Approximate,Cleared by Arrest
"Driving While License Invalid w/previous conv./No
Insurance/ ALR","Sunoco Convenience Store/Gas
Station Exterior
609 University Dr, College
Station, TX 77840",3/10/25 21:07,3/10/25 21:07,3/10/25,Exact,Cleared by Arrest
Theft,"Hullabaloo Residence Hall (306
University Dr, College Station)",3/10/25,3/10/25,3/10/25,Not Provided,Referred
Assault,On Campus,3/10/25,3/10/25,3/10/25,Not Provided,Referred by IR
"Possession of Controlled Substance PG 2 < 1G (All
Other)","University Drive at Boyett Street
College Station, TX",3/9/25 15:58,3/9/25 15:58,3/9/25,Approximate,Active
"Operation of Unmanned Aircraft Over Airport or
Military Installation","Easterwood FBO and Hangar
(1680 George Bush Dr W,
College Station)",3/9/25 20:37,3/9/25 20:37,3/9/25,Approximate,Active
Criminal Trespass,Hensel Park,3/8/25 21:14,3/8/25 21:16,3/8/25,Approximate,Administratively Closed
Possession of Drug Paraphernalia,"Park West - Hillside 2 Building
2000 (503 George Bush Dr W,
Ste A, College Station)",3/8/25 1:06,3/8/25 4:20,3/8/25,Approximate,Cleared by Arrest
"Criminal Mischief <$100 or Substantial
Inconvenience","H20 Water Fountain (580 Ross
St, College Station)",3/8/25 4:55,3/8/25 4:55,3/8/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of
Property>=$750<$2,500 (Electric Scooter)","Hobby Residence Hall - Exterior
Bike Racks (160 Asbury St,
College Station)",3/7/25 21:00,3/8/25 7:00,3/8/25,Approximate,Active
Theft of Property >=$750<$2500 (Shoplifting),"Century Square
King Ranch Saddle Shop
166 Century Ct G-50, College
Station, TX 77840",3/8/25 16:27,3/8/25 16:27,3/8/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Emerging Technologies Building
- Exterior West Side Bike Racks
(101 Bizzell St, College Station)",3/8/25 22:46,3/8/25 22:46,3/8/25,Approximate,Cleared by Arrest
Public Intoxication,"West Lamar Street (north of
Memorial Student Center)
College Station, TX 77843",3/7/25 3:05,3/7/25 3:05,3/7/25,Approximate,Cleared by Arrest
Theft of Property $100<$750 (Bicycles),"Mitchell Physics Building -
Exterior North Side Bike Racks
(578 University Dr, College
Station)",1/27/25 0:00,3/3/25 23:59,3/7/25,Approximate,Active
Theft of Property >$2500 <$30K,"Milner Hall (425 Ross St, College
Station)",1/27/25 0:00,3/3/25 23:59,3/7/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Evans Library Annex - Exterior
Bike Racks (400 Spence St,
College Station)",3/6/25 22:15,3/7/25 1:15,3/7/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Zachry Engineering Education
Complex - East Side Exterior
Bike Racks (125 Spence St,
College Station)",3/7/25 15:00,3/7/25 16:00,3/7/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Heldenfels Hall- Exterior Bike
Racks (466 Nagle St, College
Station)",3/7/25 15:00,3/7/25 16:05,3/7/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Francis Hall - Exterior Bike Racks
(574 Ross St, College Station)",3/7/25 16:00,3/7/25 17:30,3/7/25,Approximate,Active
Possession of Marijuana < 2 oz,"Parking Area 74
201 JOHN KIMBROUGH BL
COLLEGE STATION TX 77840",3/7/25 22:16,3/7/25 22:16,3/7/25,Approximate,Cleared by Arrest
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Bicycle)","Zachry Engineering Education
Complex - Exterior Southwest
Bike Racks (125 Spence St,
College Station)",3/7/25 20:30,3/7/25 23:50,3/7/25,Approximate,Active
Assault Unwanted Contact,"Butler Hall (525 Lubbock St,
College Station)",3/7/25,3/7/25,3/7/25,Not Provided,Administratively Closed
Criminal Mischief,"Biological Sciences Bldg West
(424 Nagle St, College Station)",3/7/25,3/7/25,3/7/25,Not Provided,Administratively Closed
Sexual Assault,Not Provided,3/7/25,3/7/25,3/7/25,Not Provided,Referred by IR
Theft by a Public Servant,"Evans Library (400 Spence St,
College Station)",10/10/24 0:00,10/10/24 23:59,3/6/25,Approximate,Referred by SCO
Criminal Mischief,"Central Receiving Surplus
Property (Mail Services Building,
957 Agronomy Rd, College
Station, TX 77843)",8/26/24 0:00,8/26/24 23:59,3/6/25,Approximate,Referred by SCO
Criminal Mischief,"University Center Parking
Garage (660 Throckmorton St,
College Station)",3/6/25 13:41,3/6/25 13:41,3/6/25,Approximate,Administratively Closed
Duty on Striking Unattended Vehicle,"West Campus Parking Garage
201 JOHN KIMBROUGH BL
COLLEGE STATION TX 77840",3/1/25 19:00,3/6/25 0:20,3/6/25,Approximate,Active
Duty on Striking Unattended Vehicle,"Parking Area 100 G
730 OLSEN BL
COLLEGE STATION TX 77843",3/6/25 9:43,3/6/25 9:43,3/6/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Emerging Technologies Building
-Northeast Bike Racks (101
Bizzell St, College Station)",3/6/25 12:00,3/6/25 17:00,3/6/25,Approximate,Active
Harassment (Other Than By Threat),"Memorial Student Center (275
Joe Routt Bl, College Station)",3/4/25 0:00,3/4/25 23:59,3/6/25,Approximate,Active
Theft Under $100 (All Other Theft),"Zachry Engineering Education
Complex 1st Floor (125 Spence
St, College Station)",3/6/25 13:30,3/6/25 16:15,3/6/25,Approximate,Active
Driving While Intoxicated (With Open Container),"Wellborn Road Southbound
(North of George Bush Drive)
College Station, TX",3/6/25 22:45,3/6/25 22:45,3/6/25,Exact,Cleared by Arrest
Duty on Striking Unattended Vehicle,"Parking Area 97
502 OLSEN BL
COLLEGE STATION TX 77843",3/4/25 19:30,3/4/25 19:30,3/5/25,Approximate,Active
Theft of Trade Secrets,"Biochemistry/Biophysics
Building (300 Olsen Bl, College
Station)",3/5/25 13:07,3/5/25 13:07,3/5/25,Approximate,Active
Duty to Give Information and Render Aid,Nagle Street at Church Avenue,3/5/25 14:31,3/5/25 14:31,3/5/25,Exact,Active
"Theft of Property $750-$2,500 (All Other Theft)","Zachry Engineering Education
Complex (125 Spence St,
College Station)",3/5/25 14:30,3/5/25 17:00,3/5/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Neeley Residence
Hall-Southwest Bike Racks (140
Asbury St, College Station)",3/5/25 13:45,3/5/25 14:20,3/5/25,Approximate,Active
"Assault Causes Bodily Injury Family Violence / Clery
Domestic Violence","Eppright Residence Hall (695
Spence St, College Station)",3/5/25 16:10,3/5/25 16:10,3/5/25,Approximate,"Cleared by Arrest
(Citation)"
"Clery- Motor Vehicle Theft/ Theft of
Property>=$750<$2,500 (Electric Scooter)","Student Recreation Center -
Bike Racks (187 Corrington Dr,
College Station)2024240701",3/5/25 14:00,3/5/25 15:20,3/5/25,Approximate,Active
Theft >=$100<$750 (Bicycle),"Harrington Education Center
Classroom Building - Bike Racks
(544 Ross St, College Station)",3/5/25 11:30,3/5/25 20:50,3/5/25,Exact,Unfounded
Indecent Assault (Clery Fondling),"Human Clinical Research
Building (675 John Kimbrough
Bl, College Station)",3/4/25 9:15,3/4/25 9:15,3/5/25,Approximate,Administratively Closed
Duty on Striking Fixture / Highway Landscaping,Ross/Spence Exit gate,3/4/25 8:30,3/4/25 8:30,3/4/25,Approximate,Administratively Closed
Duty on Striking Fixture / Highway Landscaping,Sbisa/Asbury Exit gate,3/3/25 11:14,3/3/25 11:14,3/4/25,Approximate,Administratively Closed
Duty on Striking Fixture / Highway Landscaping,"University Center Parking
Garage (660 Throckmorton St,
College Station)",3/4/25 19:16,3/4/25 19:16,3/4/25,Approximate,Administratively Closed
"Possession of Controlled Substance PG 2 >=1G<4G
(All Others)","Raymond Stotzer Pkwy (East of
Harvey Mitchell Pkwy)",3/4/25 9:52,3/4/25 9:52,3/4/25,Approximate,Cleared by Arrest
Theft Under $100 (All Other Theft),"Commons (676 Lubbock St,
College Station)",3/3/25 17:00,3/3/25 22:40,3/4/25,Approximate,Active
Reckless Damage or Destruction,"Fish Pond Gate Arms
JONES ST/HOUSTON ST
COLLEGE STATION TX",3/4/25 12:59,3/4/25 12:59,3/4/25,Exact,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Bicycle)","The Gardens L - Bike Racks (302
Ball St, College Station)",3/3/25 13:00,3/4/25 13:00,3/4/25,Approximate,Active
Theft >=$100<$750 (Bicycle),"Instructional Laboratory &
Innovative Learning Center -
Bike Racks (459 Olsen Bl,
College Station)",3/4/25 14:00,3/4/25 17:00,3/4/25,Approximate,Unfounded
"Clery- Motor Vehicle Theft/ Theft of
Property>=$750<$2,500 (Electric Bicycle)","Wayne Roberts 85 Building -
Bike Rack (256 Olsen Blvd.,
College Station, TX 77843)",3/4/25 13:00,3/4/25 17:20,3/4/25,Approximate,Unfounded
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Langford Architecture Center
Building A (798 Ross St, College
Station)",3/4/25 17:30,3/4/25 21:20,3/4/25,Approximate,Active
"Clery-Motor Vehicle Theft/ Theft of Property
$750>$2500 (Electric Scooter)
)","West Campus Parking Garage -
Basement Bike Racks (201 John
Kimbrough Bl, College Station)",2/28/25 19:30,3/2/25 22:00,3/3/25,Approximate,Active
Duty on Striking Unattended Vehicle,"Parking Area 95A
632 PENBERTHY BL
COLLEGE STATION TX 77843",3/3/25 8:00,3/3/25 12:00,3/3/25,Approximate,Active
"Clery Stalking / Harassment (Other Than by
Threats)",On Campus,2/18/24 0:00,3/4/25 23:59,3/3/25,Approximate,Administratively Closed
Public Intoxication,"Park West Apartments
503 George Bush Dr.
College Station, TX",3/2/25 0:49,3/2/25 0:49,3/2/25,Approximate,Exceptionally Cleared
Possession of Fictious License or Certificate,"Parking Area 30 C
210 UNIVERSITY DR
COLLEGE STATION TX 77840",3/2/25 2:45,3/2/25 2:45,3/2/25,Approximate,"Cleared by Arrest
(Citation)"
Minor in Possession of Tobacco Product,"Aston Residence Hall (655
Mosher Ln, College Station)",3/2/25 23:14,3/2/25 23:14,3/2/25,Approximate,Exceptionally Cleared
Public Intoxication,"Parking Area 30 C
College Station, TX",3/1/25 1:08,3/1/25 1:08,3/1/25,Approximate,Exceptionally Cleared
Theft Under $100 (From Building),"Southside Recreation Center
(633 Bizzell St, College Station)",3/1/25 13:17,3/1/25 13:17,3/1/25,Exact,Active
"Theft of Property $750-$2,500 (From Building)","Commons (676 Lubbock St,
College Station)",3/1/25 13:48,3/1/25 14:55,3/1/25,Approximate,Unfounded
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Lechner Residence Hall -
Northwest Bike Racks (232
Houston St, College Station)",2/2/25 8:00,3/1/25 10:00,3/1/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Joe C. Richardson Petroleum
Engineering Building - Exterior
Bike Racks (245 Spence St,
College Station)",3/1/25 13:10,3/1/25 15:20,3/1/25,Approximate,Active
Possession of Fictitious License or Certificate,"Wayne Roberts Building
256 OLSEN BL
COLLEGE STATION TX 77843",3/1/25 18:00,3/1/25 18:00,3/1/25,Approximate,"Cleared by Arrest
(Citation)"
Criminal Mischief (x2),Dorm,10/22/24 0:00,10/22/24 23:59,2/28/25,Approximate,Referred by SCO
Criminal Mischief (x2),Dorm,10/22/24 0:00,10/22/24 23:59,2/28/25,Approximate,Referred by SCO
Criminal Mischief (x2),Dorm,10/22/24 0:00,10/22/24 23:59,2/28/25,Approximate,Referred by SCO
Criminal Mischief (x2),Dorm,10/22/24 0:00,10/22/24 23:59,2/28/25,Approximate,Referred by SCO
Criminal Mischief (x2),Dorm,10/22/24 0:00,10/22/24 23:59,2/28/25,Approximate,Referred by SCO
Criminal Mischief (x2),Dorm,10/22/24 0:00,10/22/24 23:59,2/28/25,Approximate,Referred by SCO
Criminal Mischief (x2),Dorm,10/22/24 0:00,10/22/24 23:59,2/28/25,Approximate,Referred by SCO
Criminal Mischief (x2),Dorm,10/22/24 0:00,10/22/24 23:59,2/28/25,Approximate,Referred by SCO
Public Intoxication,"Plank Leadership Learning
Center (622 Military Mall,
College Station)",2/28/25 1:27,2/28/25 1:27,2/28/25,Approximate,Exceptionally Cleared
Driving While Intoxicated (With Open Container),"Park West Parking Area near
Tower 3 (503 George Bush Dr
W, Ste A, College Station)",2/28/25 2:00,2/28/25 4:19,2/28/25,Approximate,Cleared by Arrest
Theft Under $100 (From Building),"General Services Complex (750
Agronomy Rd, College Station)",2/28/25 7:30,2/28/25 12:10,2/28/25,Approximate,Active
Theft Under $100 (From Building),"General Services Complex (750
Agronomy Rd, College Station)",2/28/25 12:36,2/28/25 13:00,2/28/25,Approximate,Active
Burglary of a Building,"General Services Complex (750
Agronomy Rd, College Station)",2/27/25 8:00,2/27/25 14:00,2/28/25,Approximate,Active
Criminal Mischief =$100 <$750,"Bolton Hall - North Side Bike
Racks (456 Ross St, College
Station)",2/24/25 14:00,2/28/25 10:22,2/28/25,Approximate,Active
Hit and Run,"Parking Area 74
488 OLSEN BL
COLLEGE STATION TX 77843",2/28/25 8:15,2/28/25 11:50,2/28/25,Approximate,Unfounded
Theft Under $100 (From Building),"Star Cinema Grill
1037 University Dr, College
Station, TX 77840",1/29/25 0:00,1/29/25 23:59,2/28/25,Approximate,Warrant Being Sought
Criminal Mischief >=$750<$2500,"Sbisa Dining Hall (233 Houston
St, College Station)",2/26/25 14:00,2/26/25 14:00,2/28/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Heldenfels Hall-Northside Bike
Racks (466 Nagle St, College
Station)",2/28/25 9:00,2/28/25 10:00,2/28/25,Approximate,Active
Accident Hit and Run,"West Campus Parking Garage
(201 John Kimbrough Bl, College
Station)",2/24/25 13:45,2/28/25 14:51,2/28/25,Approximate,Active
Minor in Possession of Alcohol,"Walton Residence Hall (166
Houston St, College Station)",2/28/25 17:59,2/28/25 17:59,2/28/25,Approximate,"Referred by Tell
Somebody"
"Criminal Mischief <$100 or Substantial
Inconvenience","Lubbock at Spence Street -
Transportation Services Gate
Arm
College Station, TX",2/27/25 11:19,2/27/25 11:19,2/27/25,Approximate,Exceptionally Cleared
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Bike Racks between Student
Computing Center and Central
Campus Parking Garage
(400 SPENCE ST
COLLEGE STATION TX 77840)",2/26/25 22:15,2/27/25 0:45,2/27/25,Approximate,Active
