Case Number,Date/Time Reported,Incident Type,Date/Time Occurred,Date/Time Occurred to,Location,Disposition
2500070,1/12/25,"Theft by Taking (Motor Vehicle, Automobile)",1/12/25 9:00,1/12/25 12:22,"Lowergate West Parking Deck, 1785 Gambrell Dr",Active
2500066,1/11/25,Theft of Lost or Mislaid Property ($1500 or Less),1/11/25 17:05,1/11/25 17:19,"Woodruff Physical Education Center, 26 Eagle Row",Active
2500055,1/8/25,Theft of Lost or Mislaid Property ($1500 or Less),1/8/25 15:50,1/8/25 17:00,"Emory Clinic A, 1365-A Clifton Rd NE",Active
2500053,1/8/25,"Criminal Damage to Property, Second Degree",1/7/25 12:00,1/8/25 15:00,"Oxford Road Building, 1390 Oxford Road",Active
2500049,1/8/25,Public Indecency,1/8/25 13:09,1/8/25 14:03,"Starbucks, Oxford Road Bldg, 1390 Oxford Rd NE",Active
2500043,1/7/25,"Criminal Trespass, Property Damage",1/7/25 21:21,1/7/25 21:42,"Candler Mansion, 1260 Briarcliff Road",Active
2500041,1/7/25,Neglect of Disabled or Elder Person or Nursing Home Resident,12/24/24 18:05,1/7/25 18:22,"Budd Terrace, 1833 Clifton Rd NE",Active
2500039,1/7/25,Entering an Auto,1/7/25 10:00,1/7/25 17:22,"Gambrell Parking Deck, 1705 Gambrell Drive",Active
2500038,1/7/25,Entering an Auto,1/7/25 13:00,1/7/25 14:00,"Lowergate East Parking Deck, 1717 Lowergate Drive",Closed
2500026,1/5/25,"Criminal Trespass, Entry After Notice Prohibiting",1/5/25 1:53,1/5/25 2:31,"Emory West, Bldg A, 1256-A Briarcliff Rd NE",Closed
2500017,1/3/25,"Criminal Damage to Property, Second Degree",1/3/25 17:19,1/3/25 17:36,"Emory Univ Hospital, 1364 Clifton Rd NE",Active
2500011,1/3/25,Theft of Lost or Mislaid Property ($1500 or Less),1/3/25 6:39,1/3/25 7:08,"Emory Conference Center Hotel, 1615 Clifton Road",Active
2500009,1/2/25,Simple Battery,1/2/25 17:00,1/2/25 17:20,"Emory University Hospital, 1364 Clifton Rd",Active
2500006,1/2/25,"Simple Battery, False Imprisonment",12/7/24 19:01,12/7/24 19:36,"Emory University Hospital, 1364 Clifton Rd",Active
2404186,12/31/24,"Theft by Taking (From Bldg, Value $1500 or Less)",12/30/24 8:00,12/30/24 14:00,"A G Rhodes at Wesley Woods, 1819 Clifton Road",Closed
2404180,12/30/24,Entering an Auto,12/30/24 9:00,12/30/24 12:00,"Lowergate East Parking Deck, 1717 Lowergate Drive",Active
2404178,12/30/24,Entering an Auto,12/30/24 13:53,12/30/24 14:21,"Emory University Hospital Tower, 1364 Clifton Road",Active
2404177,12/30/24,Entering Auto,12/30/24 7:06,12/30/24 11:45,"Lowergate East Parking Deck, 1717 Lowergate Drive",Active
2404176,12/30/24,"Criminal Damage to Property, First Degree",12/30/24 9:20,12/30/24 9:49,"Emory National Primate Ctr Parking Deck, 954 N Gatewood Road",Active
2404175,12/30/24,Criminal Damage to Property 2d Deg-Over $500,12/30/24 8:45,12/30/24 9:12,"Michael Street Parking Deck, 550 Michael Street",Active
2404170,12/29/24,Entering an Auto,12/28/24 18:00,12/29/24 8:04,"Emory University Hospital Valet, 1364 Clifton Road",Active
2404163,12/27/24,"Theft by Taking (Motor Vehicle, Automobile), Motor Vehicle Theft-Clery Act",12/27/24 21:34,12/27/24 23:20,"Lowergate East Parking Deck, 1717 Lowergate Drive",Unfounded
2404159,12/27/24,"Robbery by Sudden Snatch (No Force), Family Violence Simple Battery",12/27/24 9:18,12/27/24 9:23,"Emory University Hospital Tower, 1364 Clifton Road",Active
2404143,12/23/24,Theft by Deception (Over $1500),10/4/24 10:26,12/23/24 8:00,"Health Sciences Research Bldg II, 1760 Haygood Drive",Active
2404141,12/23/24,"Theft by Taking (From Bldg, Value $1500 or Less)",12/17/24 23:15,12/23/24 10:45,"Emory University Hospital Midtown, 550 Peachtree Street NE",Active
2404133,12/21/24,"Criminal Trespass, Individual",12/21/24 22:02,12/21/24 22:23,"Emory West, Building A, 1256-A Briarcliff Road",Active
2404128,12/21/24,Disorderly Conduct,12/21/24 14:05,12/21/24 15:08,"Emory University Hospital, 1364 Clifton Rd",Citation
2404125,12/20/24,Simple Battery,12/20/24 22:25,12/20/24 22:30,"Clairmont Tower, 2425 Dooley Drive",Active
2404102,12/19/24,Sexual Battery,1/25/24 13:00,1/25/24 18:00,"Eagle Hall, 646 Means Drive",Active
2404087,12/18/24,"Theft by Taking (From Bldg, Value $1500 or Less)",12/16/24 5:45,12/18/24 5:45,"FM Auxiliary Services, 350 FM Drive",Active
2404084,12/17/24,Entering an Auto,12/17/24 14:30,12/17/24 22:45,"Emory University Hospital, 1364 Clifton Rd",Active
2404067,12/16/24,Harassing Communications,12/14/24 23:00,12/16/24 14:18,"Woodruff Library, 540 Asbury Cir",Active
2404054,12/15/24,Terroristic Threats,12/15/24 13:30,12/15/24 18:13,"Lowergate East Parking Deck, 1717 Lowergate Drive",Active
2404052,12/15/24,Stalking (Misdemeanor),10/1/24 9:25,12/14/24 9:58,"Woodruff Library, 540 Asbury Circle",Closed
2404040,12/14/24,Liquor Law Disciplinary Referrals (Clery Act),12/14/24 2:00,12/14/24 3:00,Woodruff Circle,Information
2404029,12/13/24,"Criminal Trespass, Entry with Unlawful Purpose; Stalking",9/1/24 0:00,12/13/24 15:10,Asbury Circle,Closed
