Ca Number,Incident Type,Date/Time Occurred,Date/Time Reported,Location,Disposition
TC25-031,Harassment,2/25/25 21:20,3/6/25,Comstock Hall,Reported
UM 25-055149,Miscellaneous,03/06/2025 0130,3/6/25,1458 Cleveland Ave N,Closed
UM 25-054435,Damage to Property Report,03/05/2025 0200,3/5/25,421 Washington Ave ,Inactive
UM 25-054457,Recover Property,03/05/2025 0830,3/5/25,526 Delaware St ,Closed
UM 25-054504,Trespass,03/05/2025 0930,3/5/25,615 Washington Ave ,Closed
UM 25-054753,Harassment,03/05/2025 1640,3/5/25,315 14th Ave ,Inactive
UM 25-054830,Traffic Law Enforcement / Impound Abandoned,03/05/2025 1802,3/5/25,4th St  / SB I35W,Closed
UM 25-054928,Health Welfare Hold,03/05/2025 2011,3/5/25,614 Delaware St ,Closed
UM 25-055030,Damage to Property Report,03/05/2025 2230,3/5/25,421 Washington Ave ,Inactive
UM 25-054298,Auto Theft,03/05/2025 0021,3/5/25,909 Fulton St ,
UM 25-054154,Driving After Suspension / No Proof of,03/04/2025 2042,3/4/25,Broadway St NE / Industiral,Closed
UM 25-054201,Hit/Run Property Damage,03/04/2025 2148,3/4/25,Walnut St  / Beacon St ,
MP 25-702754,Hit and Run-Property Damage,2/27/25 0:54,3/4/25,Oak St  & Washington Ave,Reported
MP 25-702676,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,2/20/25 20:05,3/4/25,600 15th Ave ,Reported
UM 25-053199,Driving While Intoxicated / Speeding,03/03/2025 2135,3/4/25,Larpenteur Ave W / Fulham St,Arrest
MP 25-702845,Bike Theft,03/03/2025 1000,3/3/25,6th St  / 11th Ave ,Reported
MP 25-702860,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,03/03/2025 1135,3/3/25,1901 4th St ,Reported
UM 25-052408,Damage to Property Report,03/03/2025 0254,3/3/25,2001 Bloomington Ave,
UM 25-052580,Theft from Building,02/27/2025 0830,3/3/25,614 Delaware St ,Closed
UM 25-052774,Warrant,03/03/2025 1403,3/3/25,Fulton St  / Oak St ,Arrest
UM 25-052864,Recover Property,02/28/2025 1100,3/3/25,326 17th Ave ,Closed
UM 25-053081,Auto Theft,03/03/2025 0900,3/3/25,2500 University Ave ,Closed
UM 25-053133,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,03/03/2025 2018,3/3/25,Huron Blvd  / Fulton St ,Closed
UM 25-053165,Recover Property,03/03/2025 2054,3/3/25,405 14th Ave ,Closed
UM 25-053222,Damage to Property Report,03/03/2025 2147,3/3/25,505 Esx St ,
TC25-025,Liquor Law Violation x3,3/1/25 22:30,3/3/25,Comstock Hall,Disciplinary Referral
TC25-026,Simple Assault,2/5/25,3/3/25,928 5th St ,Reported
TC25-026,Fondling,2/5/25,3/3/25,928 5th St ,Reported
UM 25-051997,Speeding,03/02/2025 1729,3/3/25,Larpenteur Ave W / Cleveland Ave,Closed
UM 25-051883,Trespass,03/02/2025 1458,3/2/25,123 Harvard St ,Closed
UM 25-051333,Driving While Intoxicated / Speeding / Fail to Stop (Sign),03/01/2025 2136,3/2/25,Highway 280 / Ryan Ave W,Arrest
UM 25-051481,Driving While Intoxicated / Fail to Signal Turn,03/02/2025 0031,3/2/25,5th St  / 13th Ave ,
UM 25-051485,Driving After Suspension,03/02/2025 0033,3/2/25,University Ave  / 27th Ave,Closed
UM 25-051690,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Recovered Vehicle,03/02/2025 1003,3/2/25,Oak St  / University Ave ,
UM 25-052094,No Valid Driver's Licen,03/02/2025 1931,3/2/25,2001 University Ave ,Closed
UM 25-052154,Driving After Revocation,03/02/2025 2039,3/2/25,4th St  / 8th Ave ,Closed
UM 25-052180,Driving While Intoxicated / Speeding,03/02/2025 2111,3/2/25,Larpenteur Ave W / Cleveland Ave,Arrest
UM 25-052238,Carry a Weapon without a Permit,03/02/2025 2257,3/2/25,University Ave  / 25th Ave,
UM 25-050380,Driving While Intoxicated / Fail to Stop (Sign),02/28/2025 2209,3/1/25,Highway 280 / Broadway St NE,Arrest
UM 25-050403,Driving After Revocation / No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,02/28/2025 2242,3/1/25,University Ave  / Interstate 35W S,Closed
UM 25-050499,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,03/01/2025 0025,3/1/25,4th St  / 10th Ave ,Closed
UM 25-050559,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,03/01/2025 0141,3/1/25,University Ave  / 15th Ave,
UM 25-050691,Trespass,03/01/2025 0757,3/1/25,390 29th Ave ,Closed
UM 25-050746,Trespass,03/01/2025 1013,3/1/25,1001 29th Ave ,Closed
UM 25-050896,Driving After Revocation,03/01/2025 1320,3/1/25,Franklin Ave E / 27th Ave S,Closed
UM 25-050908,Unlawful Posssion of Firearm / Trespass,03/01/2025 1340,3/1/25,390 29th Ave ,
UM 25-050944,Crisis Intervention / Health Welfare Hold,03/01/2025 1431,3/1/25,15th Ave  / 5th St ,Closed
UM 25-051026,Hit/Run Property Damage Report,03/01/2025 1400,3/1/25,400 21st Ave S,
UM 25-051186,Warrant,03/01/2025 1847,3/1/25,511 Washington Ave ,Arrest
UM 25-051253,Theft,03/01/2025 1950,3/1/25,615 Washington Ave ,
UM 25-051306,Health Welfare Hold / U of Force,03/01/2025 2058,3/1/25,1212 4th St ,Closed
UM 25-049506,Uncure Business,02/28/2025 0154,2/28/25,615 Washington Ave ,Closed
UM 25-049730,Warrant / Driving After Revocation,02/28/2025 1048,2/28/25,19th Ave S / 2nd St S,Closed
UM 25-049745,Posssion of Stolen Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,02/28/2025 1104,2/28/25,1440 5th St ,
UM 25-050276,No Valid Driver's Licen,02/28/2025 2022,2/28/25,4th St  / 10th Ave ,Closed
UM 25-050306,Crisis Intervention / Health Welfare Hold,02/28/2025 2050,2/28/25,614 Delaware St ,Closed
UM 25-048897,Driving After Cancelation,02/27/2025 1319,2/27/25,Huron Blvd  / Delaware St,Closed
UM 25-049296,Recover Property,02/27/2025 2015,2/27/25,515 Delaware St ,Closed
UM 25-049366,Crisis Intervention / Health Welfare Hold,02/27/2025 2241,2/27/25,1 20th Ave S,Closed
UM 25-047529,Trespass,02/26/2025 0756,2/26/25,326 16th Ave ,Closed
UM 25-047715,Theft from Building,02/23/2025 1230,2/26/25,1910 University Ave ,Inactive
UM 25-047718,Damage to Property Report,02/26/2025 0000,2/26/25,321 19th Ave S,Inactive
UM 25-048223,Driving After Revocation / U of Force,02/26/2025 1904,2/26/25,East River Pkwy / Arlington St,Closed
UM 25-048271,Recover Property,02/23/2025 0800,2/26/25,614 Delaware St ,Closed
UM 25-048341,Driving After Revocation,02/26/2025 2136,2/26/25,17th Ave  / University Ave,Closed
UM 25-048366,Trespass,02/26/2025 2206,2/26/25,1625 4th St ,Closed
UM 25-048406,Health Welfare Hold,02/26/2025 2302,2/26/25,505 Washington Ave ,Closed
TC25-023,Liquor Law Violation x7,2/23/25 1:00,2/26/25,Centennial Hall,Disciplinary Referral
TC25-024,Simple Assault,2/4/25,2/26/25,Wilkins Hall,Reported
UM 25-047368,Health Welfare Hold,02/25/2025 2348,2/26/25,1725 University Ave ,Closed
UM 25-046656,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,02/25/2025 0800,2/25/25,200 Union St ,Inactive
UM 25-047191,Theft,02/20/2025 0001,2/25/25,1983 Knapp St,Inactive
TC25-022,Harassment,February 2025 - Prent,2/25/25,Territorial Hall,Reported
UM 25-046038,War,02/24/2025 1625,2/24/25,4th St  / 14th Ave ,Arrest
UM 25-045863,Theft from Building,02/20/2025 1200,2/24/25,326 17th Ave ,
UM 25-046260,Driving After Revocation,02/24/2025 1956,2/24/25,1200 4th St ,Closed
UM 25-046264,Warrant,02/24/2025 1959,2/24/25,4th St  / 12th Ave ,Arrest
UM 25-046361,Health Welfare Hold,02/24/2025 2216,2/24/25,2600 Franklin Ave E,Closed
MP 25-40869,Assault,2/18/25 16:00,2/24/25,2450 Rivreside Ave,Reported
MP 25-43533,Robbery,2/21/25 20:57,2/24/25,Cedar Ave S & 4th St S,Reported
MP 25-39933,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,2/17/25 11:55,2/24/25,University Ave  & 23rd Ave,Reported
MP 25-702235,Theft,2/25/25 12:00,2/24/25,123 Harvard St ,Reported
MP 25-702378,Identity Theft,2/19/25 13:55,2/24/25,1121 University Ave ,Reported
TC25-019,Stalking,January 2025 - Prent,2/24/25,Minneapolis Campus,Reported
TC25-020,Drug Law Violation,2/11/25 21:20,2/24/25,Wilkins Hall,Disciplinary Referral
TC25-021,Liquor Law Violation x3,2/22/25 1:08,2/24/25,Yudof Hall,Disciplinary Referral
UM 25-044572,Reckless Driving,02/22/2025 2301,2/23/25,University Ave  / 16th Ave,Disciplinary Referral
UM 25-044677,Consump-Liquor by Minor / Fal Name/Info to,02/23/2025 0152,2/23/25,Walnut St  / Beacon St ,Closed
UM 25-044785,Damage to Property,02/23/2025 0500,2/23/25,317 18th Ave ,Closed
UM 25-045154,Recover Property,02/23/2025 1721,2/23/25,505 Washington Ave ,Closed
UM 25-045339,Impound Abandoned Vehicle,02/23/2025 2142,2/23/25,701 Fulton St ,Closed
UM 25-045346,Driving After Revocation / No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,02/23/2025 2154,2/23/25,4th St  / 2nd Ave ,Closed
UM 25-045357,Reckless Driving,02/23/2025 2211,2/23/25,University Ave  / 16th Ave,Closed
UM 25-043882,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,02/21/2025 2300,2/22/25,1212 4th St ,Closed
UM 25-043058,Property Damage Accident Report,02/21/2025 1104,2/21/25,University Ave  / 16th Ave,Closed
UM 25-043139,Driving After Revocation / No Proof of Insurance,02/21/2025 1304,2/21/25,10th Ave  / 4th St ,Closed
UM 25-043579,Hit/Run Property Damage Report,02/21/2025 2028,2/21/25,1625 4th St ,
UM 25-043629,Health Welfare Hold,02/21/2025 2224,2/21/25,412 14th Ave ,Closed
UM 25-042788,Miscellaneous,02/20/2025 2353,2/21/25,417 Walnut St ,Closed
UM 25-042269,Miscellaneous,02/20/2025 1151,2/20/25,500 Harvard St ,Closed
UM 25-042471,Miscellaneous,02/20/2025 0930,2/20/25,321 19th Ave S,Closed
UM 25-041971,Hit/Run No Injury,02/19/2025 2250,2/20/25,Huron Blvd  / Fulton St ,
UM 25-042014,Impound Abandoned Vehicle,02/20/2025 0043,2/20/25,401 Oak St ,Closed
UM 25-042177,Damage to Property,02/19/2025 2254,2/19/25,421 Washington Ave ,
UM 25-041613,Warrant,02/19/2025 1507,2/19/25,1440 5th St ,Arrest
UM 25-041735,Trespass,02/19/2025 1741,2/19/25,111 Church St ,Arrest
UM 25-041796,Harassment,02/19/2025 1837,2/19/25,412 22nd Ave S,Closed
UM 25-041838,Uncure Business,02/19/2025 1925,2/19/25,883 29th Ave ,Closed
TC25-017,Liquor Law Violation x6,2/14/25 20:29,2/19/25,17th Avenue Residence Hall,Disciplinary Referral
TC25-018,Liquor Law Violation x5,2/14/25 11:06,2/19/25,Middlebrook Hall,Disciplinary Referral
UM 25-040724,Theft from Building,02/14/2025 1700,2/18/25,615 Fulton St ,Inactive
UM 25-041023,Damage to Property Report,02/18/2025 1832,2/18/25,701 15th Ave ,
UM 25-040552,Theft from Building,02/04/2025 0000,2/18/25,200 Oak St ,Inactive
UM 25-040841,Bike Theft,02/18/2025 1200,2/18/25,312 Church St ,Inactive
UM 25-040881,Bike Theft,02/18/2025 0700,2/18/25,1235 Ray Pl,Inactive
UM 25-041085,Theft from Buildling,02/18/2025 2032,2/18/25,326 17th Ave ,Inactive
UM 25-041161,Health Welfare Hold,02/18/2025 2336,2/18/25,501 Washington Ave ,Arrest
UM 25-040405,Miscellaneous,02/17/2025 2342,2/17/25,1501 University Ave ,Closed
UM 25-040530,Damage to Property Report,02/17/2025 1700,2/17/25,1425 University Ave ,Inactive
UM 25-039990,Burglary of Building,02/16/2025 0119,2/17/25,1987 5th St ,
UM 25-040085,Crisis Intervention / Health Welfare Hold,02/17/2025 1541,2/17/25,425 20th Ave S,Closed
UM 25-040173,Miscellaneous,12/04/2024 1203,2/17/25,615 Fulton St ,Closed
UM 25-040201,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,02/17/2025 0000,2/17/25,Oak St  / East River Pkwy,
MP 25-35675,Auto Theft,2/12/25 13:25,2/17/25,20th Ave S & Riverside Ave,Reported
MP 25-702129,Hit and Run-Property Damage,2/13/25 15:20,2/17/25,14th Ave  & 4th St ,Reported
MP 25-702037,Theft,2/11/25 19:00,2/17/25,15th Ave  & Rollins Ave ,Reported
UM 25-039166,Trespass / Flee Officer on Foot / U of Force,02/16/2025 1114,2/16/25,2009 University Ave ,Arrest
UM 25-039212,Miscellaneous,02/13/2025 1242,2/16/25,505 Washington Ave ,Closed
UM 25-039379,Impound Abandoned Vehicle,02/16/2025 1721,2/16/25,701 15th Ave ,Closed
UM 25-039460,Non-Vehicular Accident,02/16/2025 1830,2/16/25,600 15th Ave ,Closed
UM 25-035800,Obstruct Legal Process,02/12/2025 1546,2/15/25,1 Washington Ave ,
UM 25-038013,Miscellaneous,02/14/2025 1800,2/15/25,701 Fulton St ,Closed
UM 25-038761,Assault,02/15/2025 2100,2/15/25,123 Harvard St ,
UM 25-038929,Theft from Building,02/15/2025 2340,2/15/25,615 Washington Ave ,
UM 25-037112,Traffic Law Enforcement / Warrant,02/14/2025 0003,2/14/25,Huron Blvd  / University Ave,Closed
UM 25-037240,Impound Abandoned Vehicle,02/14/2025 0749,2/14/25,385 East River Pkwy,Closed
UM 25-037245,Property Damage Accident Report,02/14/2025 0806,2/14/25,15th Ave  / 8th St ,Closed
UM 25-037336,Non-Vehicular Accident,02/14/2025 1034,2/14/25,615 Fulton St ,Closed
UM 25-037413,Assault,02/14/2025 1240,2/14/25,University Ave  / 14th Ave,Inactive
UM 25-037829,Crisis Intervention,02/14/2025 2041,2/14/25,1222 Gibbs Ave,Closed
TC25-015,Liquor Law Violation,2/9/25 1:00,2/14/25,Centennial Hall,Disciplinary Referral
TC25-016,Stalking,November 2024 - Prent,2/14/25,Sanford Hall,Reported
TC25-014,Drug Law Violation,1/25/25 1:40,2/13/25,Pioneer Hall,Disciplinary Referral
UM 25-036338,Damage to Property,02/12/2025 1600,2/13/25,1987 5th St ,Inactive
UM 25-036452,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,02/13/2025 1031,2/13/25,420 Washington Ave ,
UM 25-036537,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,02/12/2025 1806,2/13/25,310 Pillsbury Dr ,Inactive
UM 25-036571,Theft,02/05/2025 0700,2/13/25,615 Washington Ave ,
UM 25-036594,Theft from Building,02/11/2025 0900,2/13/25,615 Fulton St ,Inactive
UM 25-036969,Traffic Law Enforcement,02/13/2025 2023,2/13/25,Ontario St  / Washington Ave,Closed
TC25-014,Drug Law Violation,1/25/25 1:40,2/13/25,Pioneer Hall,Disciplinary Referral
TC25-012,Liquor Law Violation x5,2/8/25 23:55,2/12/25,17th Avenue Residence Hall,Disciplinary Referral
TC25-013,Liquor Law Violation x2,2/8/25 23:45,2/12/25,17th Avenue Residence Hall,Disciplinary Referral
