Case Number,Incident Type,Campus,Disposition,Date/Time Reported,Date/Time Occurred,Date/Time Occurred to,Location,
2025-0925,CRIMINAL MISCHIEF,,UCF DOWNTOWN ARREST - ADULT,3/16/25 18:18,3/15/25 8:03,3/15/25 8:04,323 PARRAMORE AVE N,
2025-0930,TRAFFIC ARREST,MAIN CAMPUS,ARREST - ADULT,3/16/25 18:44,3/16/25 14:31,3/16/25 18:46,4799 HYDRA LN W,
2025-0938,TRAFFIC ARREST,,UCF DOWNTOWN ARREST - ADULT,3/18/25 11:52,3/18/25 8:56,3/18/25 8:56,W AMELIA ST AND N PARRAMORE AVE,
2025-0943,DUI,MAIN CAMPUS,ARREST - ADULT,3/18/25 21:12,3/18/25 20:47,3/18/25 20:47,12526 GEMINI BLVD N,
2025-0947,TRAFFIC ARREST,MAIN CAMPUS,ARREST - ADULT,3/19/25 12:00,3/19/25 10:12,3/19/25 10:12,GEMINI BLVD AND GREEK PARK DR,
2025-0952,TRAFFIC ARREST,MAIN CAMPUS,ARREST - ADULT,3/19/25 22:09,3/19/25 22:09,3/19/25 22:33,LIBRA DR E,
2025-0953,DRUG LAW REFERRAL,MAIN CAMPUS,OPEN,3/20/25 3:36,3/20/25 1:31,3/20/25 2:10,3820 LIBRA DR,
2025-0963,PETIT THEFT,MAIN CAMPUS,INACTIVE,3/20/25 14:53,2/10/25 11:00,3/20/25 15:32,11726 COLLEGE PARK TRAIL E,
2025-0959,CRIMINAL MISCHIEF,MAIN CAMPUS,UNFOUNDED,3/20/25 14:54,3/20/25 11:06,3/20/25 14:09,3400 QUADRANGLE BLVD,
2025-0965,TRAFFIC ARREST,MAIN CAMPUS,ARREST - ADULT,3/20/25 16:46,3/20/25 15:26,3/20/25 15:26,GEMINI BLVD AND CENTAURUS BLVD,
2025-0966,DRUG LAW REFERRAL,MAIN CAMPUS,CLOSED,3/20/25 20:29,3/20/25 19:59,3/20/25 20:25,AQUARIOUS AGORA/ GREEK PARK,
2025-0969,"TRESPASSING ARREST, DRUG LAW VIOLATION",,UCF DOWNTOWN ARREST - ADULT,3/21/25 15:37,3/21/25 14:26,3/21/25 14:30,400 AMELIA ST W,
2025-0973,WARRANT ARREST (OCSO),MAIN CAMPUS,ARREST - ADULT,3/22/25 17:50,3/22/25 17:50,3/22/25 17:50,4465 KNIGHTS VICTORY WAY,
2025-0976,"CRIMINAL MISCHIEF, LEAVING THE SCENE OF AN ACCIDENT",,UCF DOWNTOWN ARREST - ADULT,3/23/25 15:17,3/23/25 0:00,3/23/25 14:20,323 PARRAMORE AVE N,
2025-0977,DRUG LAW REFERRAL X2; POSS OF TOBACCO <21,MAIN CAMPUS,CLOSED,3/23/25 21:35,3/23/25 21:05,3/23/25 21:24,4799 HYDRA LN,
2025-0979,EXTORTION,MAIN CAMPUS,CLOSED,3/24/25 4:27,3/24/25 0:00,3/24/25 4:14,4290 WEST PLAZA DR,
2025-CSA40,STALKING,MAIN CAMPUS,REPORT,3/25/25 0:00,3/24/25 17:30,3/24/25 17:30,12800 GEMINI BLVD S,
2025-1002,"TRESPASSING ARREST, TRESPASS WARNING X 6",MAIN CAMPUS,ARREST - ADULT,3/25/25 0:45,3/25/25 0:45,3/25/25 4:00,4200 ORION BLVD N,
2025-1009,"UTTERING FORGERY,THEFT BY CONTRACTOR EXCESS VALUE ($20,000-$200,000)",MAIN CAMPUS,OPEN,3/25/25 8:57,12/10/01 0:00,5/23/24 0:00,12424 RESEARCH PKWY,
2025-1020,STALKING,MAIN CAMPUS,EXC CLR - ADULT 03/25/25 12:18,,3/24/25 16:52,3/25/25 23:23,12800 GEMINI BLVD S,
2025-0999,TRAFFIC ARREST,MAIN CAMPUS,ARREST - ADULT,3/25/25 14:13,3/24/25 14:34,3/24/25 14:34,4034 LIBRA DR,
2025-1026,"PETIT THEFT, CRIMINAL MISCHIEF",MAIN CAMPUS,CLOSED,3/26/25 13:25,3/25/25 21:01,3/26/25 9:29,11738 COLLEGE PARK TRAIL,
2025-1030,"PETIT THEFT, CRIMINAL MISCHIEF",MAIN CAMPUS,INACTIVE,03/26/25 19:09 Daily Crime Log,3/24/25 0:00,3/26/25 18:49,11726 COLLEGE PARK TRAIL ,
Date Range: 03/05/2025 to 05/04/2025,,,,,,,,
,,,,,,,,
2025-1033,RESISITING OFFICER W/O VIOLENCE,MAIN CAMPUS,ARREST - ADULT,3/27/25 3:44,3/27/25 1:59,3/27/25 4:30,2635 COLLEGE KNIGHT CIR,
2025-1035,"BURGLARY TO AUTO, GRAND THEFT",MAIN CAMPUS,ACTIVE,3/27/25 10:05,3/26/25 18:30,3/27/25 5:10,12401 GOLDEN KNIGHT CIR,
2025-1037,"BURGLARY TO AUTO, GRAND THEFT",MAIN CAMPUS,ACTIVE,3/27/25 13:39,3/26/25 19:00,3/27/25 9:35,4512 SILVER KNIGHT WAY,
2025-1040,"BURGLARY TO AUTO, PETIT THEFT",MAIN CAMPUS,ACTIVE,3/27/25 17:15,3/27/25 0:31,3/27/25 15:19,12425 GOLDEN KNIGHT CIR,
2025-1039,STALKING,,UCF DOWNTOWN EXC CLR - ADULT 03/27/25 17:23,,3/10/25 10:00,3/27/25 13:49,601 LIVINGSTON ST,
2025-1041,"BURGLARY TO AUTO, PETIT THEFT",MAIN CAMPUS,ACTIVE,3/27/25 17:37,3/26/25 20:00,3/27/25 12:00,12425 GOLDEN KNIGHT CIR,
2025-1049,MV THEFT (ELECTRIC SCOOTER),MAIN CAMPUS,OPEN,3/28/25 9:46,3/1/25 10:00,3/28/25 11:04,12580 GEMINI BLVD N,
2025-1053,PETIT THEFT,MAIN CAMPUS,UNFOUNDED,3/28/25 15:32,3/26/25 17:51,3/26/25 19:00,12488 CENTAURUS BLVD,
2025-1061,POSSESSION OF FAKE DL,MAIN CAMPUS,CLOSED,3/29/25 2:31,3/29/25 0:20,3/29/25 0:35,UNIVERSITY BLVD,
2025-1060,DRUG LAW ARREST,UCF DOWNTOWN CLOSED,,3/29/25 4:05,3/28/25 23:01,3/28/25 23:03,HUGHEY AVE / CONCORD ST,
2025-1062,"BURGLARY TO AUTO, PETIT THEFT",MAIN CAMPUS,CLOSED,3/29/25 5:14,3/24/25 0:00,3/29/25 0:15,4302 SILVER KNIGHT WAY,
2025-1063,"BURGLARY TO AUTO, PEITIT THEFT",MAIN CAMPUS,CLOSED,3/29/25 5:40,3/27/25 23:00,3/28/25 8:00,12336 GOLDEN KNIGHT CIR,
2025-1057,PETIT THEFT,MAIN CAMPUS,INACTIVE,3/29/25 12:17,3/28/25 15:20,3/28/25 16:20,3732 LIBRA DR,
2025-1070,INTIMIDATION THREATS,UCF DOWNTOWN ARREST - ADULT,,3/29/25 17:06,3/26/25 23:00,3/29/25 16:12,601 LIVINGSTON ST W,
2025-1081,PETIT THEFT,MAIN CAMPUS,CLOSED,3/30/25 14:23,3/28/25 23:00,3/29/25 0:00,3732 LIBRA DR S,
2025-CSA43,STALKING,MAIN CAMPUS,REPORT,4/1/25 0:00,4/1/25 0:00,4/1/25 0:00,12201 RESEARCH PKWY,
2025-1096,DRUG LAW REFERRAL,MAIN CAMPUS,CLOSED,4/1/25 3:31,4/1/25 3:31,4/2/25 3:31,12413 GOLDEN KNIGHT CIR,
2025-1101,DEFRAUDING AN INKEEPER MAIN CAMPUS,,OPEN,4/1/25 14:56,3/7/25 8:00,3/31/25 9:57,4105 ALAFAYA TRAIL,
2025-1100,BATTERY,,UCF DOWNTOWN EXC CLR - ADULT 04/01/25 15:04,,4/1/25 1:00,4/1/25 2:30,601 LIVINGSTON ST W,
2025-1104,TRAFFIC ARREST,MAIN CAMPUS,ARREST - ADULT,4/1/25 16:29,4/1/25 15:45,4/1/25 15:47,ORION BLVD N,
2025-1111,BATTERY,MAIN CAMPUS,EXC CLR - ADULT 04/02/25 00:45,,4/2/25 0:26,4/2/25 1:00,4322 GREEK PARK DR,
2025-1113,",02/NOS",MAIN CAMPUS,CLOSED,4/2/25 2:01,4/2/25 1:18,4/2/25 1:53,ALAFAYA TRL. & STRATEGY BLVD.,
2025-1024,INTERCEPTIONOF WIRELESS COMMUNICATIONS,HEALTH SCIENCES,UNFOUNDED,4/2/25 8:12,1/1/25 0:00,3/24/25 0:00,6550 SANGER RD,
2025-1119,CRIMINAL MISCHIEF Date Range: 03/05/2025 to 05/04/2025,MAIN CAMPUS,OPEN,04/02/25 12:26 Daily Crime Log,3/24/25 11:00,4/2/25 11:43,4100 GREEK PARK DR ,
,,,,,,,,
2025-1125,DRUG LAW REFERRAL,MAIN CAMPUS,CLOSED,4/2/25 17:11,4/2/25 15:30,4/2/25 17:18,3820 LIBRA DR,
2025-1117,TRAFFIC ARREST,MAIN CAMPUS,ARREST - ADULT,4/2/25 17:26,4/2/25 9:01,4/2/25 9:31,LIBRA DR AND PERSEUS LOOP,
2025-1128,RECKLESS DRIVING,MAIN CAMPUS,CLOSED,4/3/25 9:27,4/2/25 20:45,4/2/25 20:56,LIBRA DR,
2025-1138,PETIT THEFT,UCF DOWNTOWN CLOSED,,4/3/25 11:15,4/3/25 10:34,4/3/25 10:35,500 W. LIVINGSTON ST,
2025-1132,TRAFFIC ARREST,MAIN CAMPUS,ARREST - ADULT,4/3/25 17:16,4/3/25 6:50,4/3/25 7:34,UNIVERSITY BLVD AND GEMINI BLVD,
2025-1145,DUI,MAIN CAMPUS,ARREST - ADULT,4/4/25 12:15,4/3/25 17:59,4/3/25 20:57,4266 WEST PLAZA DR,
2025-1152,GRAND THEFT,MAIN CAMPUS,ARREST - ADULT,4/4/25 14:15,3/27/25 11:00,4/4/25 11:47,12744 PEGASUS DR,
2025-1156,DRUG LAW REFERRAL,MAIN CAMPUS,CLOSED,4/4/25 19:23,4/4/25 19:06,4/4/25 19:07,GEMINI BLVD E & SCORPIUS ST N,
2025-1159,CRIMINAL MISCHIEF,MAIN CAMPUS,CLOSED,4/4/25 22:43,2/17/25 0:00,4/2/25 0:00,4220 MENSA LN,
2025-1181,WARRANT ARREST (SCSO),MAIN CAMPUS,ARREST - ADULT,4/7/25 14:25,4/7/25 9:23,4/7/25 13:04,12777 GEMINI BLVD N,
2025-1182,TRAFFIC ARREST,MAIN CAMPUS,ARREST - ADULT,4/7/25 16:16,4/7/25 13:01,4/7/25 14:55,LIBRA DR AND GEMINI BLVD,
2025-1200,BATTERY (DATING VIOLENCE),,UCF DOWNTOWN ARREST - ADULT,4/9/25 5:16,4/9/25 2:57,4/9/25 4:49,601 LIVINGSTON ST W,
2025-1206,WARRANT ARREST (OUT OF COUNTY),MAIN CAMPUS,ARREST - ADULT,4/9/25 23:43,4/9/25 23:03,4/10/25 1:00,3820 LIBRA DR,
2025-1207,FRAUD,MAIN CAMPUS,CLOSED,4/10/25 8:47,4/9/25 10:00,4/9/25 12:00,4176 GREEK PARK DR,
2025-1208,BATTERY (FONDLING),UCF DOWNTOWN CLOSED,,4/10/25 9:27,3/25/25 12:00,4/10/25 8:38,601 LIVINGSTON ST W,
2025-1213,BATTERY (FONDLING),,UCF DOWNTOWN ARREST - ADULT,4/10/25 9:27,9/10/24 10:00,9/10/24 10:00,601 LIVINGSTON ST W,
2025-1214,"TRAFFIC ARREST, DRUG LAW VIOLATION",MAIN CAMPUS,ARREST - ADULT,4/10/25 21:28,4/10/25 19:57,4/11/25 1:10,GEMINI BLVD/SCORPIOUS ST,
2025-1215,MV THEFT (ELECTRIC BIKE) MAIN CAMPUS,,OPEN,4/10/25 21:29,4/6/25 0:00,4/10/25 19:59,12405 AQUARIUS AGORA DR,
2025-1228,TRESPASSING ARREST,MAIN CAMPUS,ARREST - ADULT,4/11/25 17:58,4/11/25 14:47,4/11/25 14:47,GEMINI BLVD AND GREEK PARK DR,
2025-1234,STALKING (DATING VIOLENCE),MAIN CAMPUS,ARREST - ADULT,4/12/25 10:42,4/2/25 19:09,4/2/25 19:09,12800 GEMINI BLVD S,
2025-1231,TRAFFIC ARREST,MAIN CAMPUS,ARREST - ADULT,4/12/25 14:21,4/12/25 8:22,4/12/25 8:22,H4 PARKING LOT,
2025-1248,EXTORTION,MAIN CAMPUS,OPEN,4/14/25 11:33,4/14/25 9:52,4/14/25 11:45,4274 WEST PLAZA DR,
2025-1250,TRESPASSING ARREST,MAIN CAMPUS,ARREST - ADULT,4/14/25 14:17,4/14/25 11:54,4/14/25 12:08,12715 PEGASUS DR,
2025-1252,TRESPASSING ARREST,MAIN CAMPUS,ARREST - ADULT,4/14/25 16:47,4/14/25 12:15,4/14/25 14:10,12494 UNIVERSITY BLD,
2025-1259,"BURGLARY, PETIT THEFT, CRIMINAL MISCHIEF Date Range: 03/05/2025 to 05/04/2025",MAIN CAMPUS,ACTIVE,04/14/25 20:02 Daily Crime Log,4/11/25 12:00,4/14/25 16:30,4282 WEST PLAZA DR ,
,,,,,,,,
2025-1261,PETIT THEFT,MAIN CAMPUS,OPEN,4/14/25 20:02,4/10/25 12:00,4/14/25 20:00,4282 WEST PLAZA DR,
2025-1260,DRUG LAW REFERRAL,MAIN CAMPUS,CLOSED,4/14/25 20:43,4/14/25 19:11,4/14/25 20:42,GEMINI BLVD/ SCORPIOUS ST,
2025-1269,"BATTERY, PETIT THEFT",MAIN CAMPUS,EXC CLR - ADULT 04/15/25 18:57,,4/15/25 15:15,4/15/25 15:19,12701 PEGASUS DR,
2025-1285,STALKING,MAIN CAMPUS,OPEN,4/16/25 23:42,5/16/24 13:16,4/14/25 0:00,4000 CENTRAL FLORIDA BLVD,
2025-1007,HAZING,MAIN CAMPUS,INACTIVE,4/17/25 13:14,9/1/24 12:00,2/27/25 12:00,12126 MENDEL DR N,
2025-1299,WEAPONS LAW VIOLATION MAIN CAMPUS,,CLOSED,4/17/25 23:31,4/17/25 23:31,4/18/25 1:14,12488 CENTAURUS BLVD,
2025-1302,STALKING,MAIN CAMPUS,OPEN,4/18/25 17:00,3/1/23 12:00,4/18/25 12:45,12760 PEGASUS DR,
2025-1305,PETIT THEFT,MAIN CAMPUS,INACTIVE,4/19/25 15:32,4/7/25 15:00,4/7/25 16:00,3732 LIBRA DR,
2025-1308,TRAFFIC ARREST; LIQUOR LAW VIOLATION,MAIN CAMPUS,ARREST - ADULT,4/20/25 3:15,4/20/25 1:26,4/20/25 4:30,ALAFAYA TRL/ CENTAURUS BLVD N,
2025-1306,DUI,MAIN CAMPUS,ARREST - ADULT,4/20/25 4:15,4/20/25 0:25,4/20/25 4:20,12491 UNIVERSITY BLVD,
2025-1309,DRUG LAW VIOLATION,UCF DOWNTOWN CLOSED,,4/20/25 13:00,4/20/25 12:40,4/20/25 13:00,TERRY / AMELIA N,
2025-CSA49,STALKING,MAIN CAMPUS,REPORT,4/22/25 0:00,4/18/25 0:00,4/18/25 0:00,4133 PYXIS LN,
2025-1323,DRUG LAW REFERAL,MAIN CAMPUS,CLOSED,4/22/25 5:52,4/22/25 3:06,4/22/25 3:14,4282 WEST PLAZA DR,
2025-1332,MV THEFT (ELECTRIC SCOOTER),MAIN CAMPUS,CLOSED,4/22/25 21:50,4/8/25 11:00,4/8/25 12:00,4465 KNIGHTS VICTORY WAY,
2025-1333,DRUG LAW REFERRAL,MAIN CAMPUS,CLOSED,4/23/25 0:41,4/22/25 23:34,4/23/25 0:01,3708 LIBRA DR,
2025-1335,"BURGLARY TO AUTO, PETIT THEFT",MAIN CAMPUS,OPEN,4/23/25 12:27,4/22/25 18:00,4/23/25 10:00,4144 GREEK PARK DR,
2025-1343,PETIT THEFT,MAIN CAMPUS,INACTIVE,4/23/25 17:28,4/23/25 13:15,4/23/25 16:00,3708 LIBRA DR,
2025-1357,PETIT THEFT,MAIN CAMPUS,OPEN,4/25/25 13:08,4/24/25 19:00,4/24/25 19:58,4365 ANDROMEDA LOOP,
2025-1369,BATTERY (DOMESTIC VIOLENCE),MAIN CAMPUS,ARREST - ADULT,4/26/25 5:19,4/25/25 23:52,4/26/25 4:49,12898 GEMINI BLVD N,
2025-1378,TRAFFIC ARREST,MAIN CAMPUS,ARREST - ADULT,4/28/25 4:55,4/28/25 2:54,4/28/25 3:44,ANDROMEDA LOOP,
2025-1385,GRAND THEFT,MAIN CAMPUS,UNFOUNDED,4/28/25 22:15,4/28/25 16:36,4/28/25 19:01,12800 GEMINI BLVD S,
2025-1387,POSSESSION OF ALCOHOL BY PERSON UNDER 21,MAIN CAMPUS,CLOSED,4/29/25 1:51,4/29/25 1:22,4/29/25 2:00,4290 WEST PLAZA DR,
2025-1391,POSSESSION OF ALCOHOL BY PERSON UNDER 21,MAIN CAMPUS,CLOSED,4/29/25 22:29,4/29/25 21:32,4/29/25 21:46,12930 GEMINI BLVD E,
2025-1400,PETIT THEFT,MAIN CAMPUS,OPEN,4/30/25 10:31,4/25/25 15:00,4/30/25 10:48,3732 LIBRA DR S,
2025-1404,COLLEGE HAZING-RISK OF INJURY OR DEATH Date Range: 03/05/2025 to 05/04/2025,MAIN CAMPUS,OPEN,05/01/25 12:52 UCF Police Department Daily Crime Log,12/7/24 0:00,12/7/24 0:00,BLD,
,,,,,,,,
2025-1408,FRAUD,MAIN CAMPUS,OPEN,5/1/25 16:14,"04/30/25 19:21
04/30/2025 19:21",,12251 KNIGHTS KROSSING CIR,
2025-1427,POSSESSION OF CANNABIS < 20 GRAMS,,CLOSED,5/3/25 20:55,"05/03/25 19:51
05/03/2025 20:51",,3400 QUADRANGLE BLVD E,
