Incident Type,Case Number,Date/Time Reported,Date/Time Occurred,Location,Disposition
"Leaving the Scene of
an Accident",25-88-OF,2/25/25,"2/25/25 13:12-
13:17",Lot 47,"CLOSED/ no
further leads"
Vandalism,25-89-OF,2/25/25,2/25/25 17:06,Lot 71,OPEN
Larceny,25-90-OF,2/26/25,"2/26/25 11:30-
11:35",Franklin DC,"CLOSED/ no
further leads"
"Driving Without a
License",25-54-AR,2/27/25,2/27/25 8:11,North Pleasant St,SUMMONS
Larceny,25-94-OF,2/27/25,2/27/25 12:12,"Furcolo School of
Education",OPEN
Liquor Law Violation,25-55-AR,2/28/25,2/28/25 16:35,University Dr,SUMMONS
Liquor Law Violation,25-56-AR,2/28/25,2/28/25 16:35,University Dr,SUMMONS
Liquor Law Violation,25-57-AR,2/28/25,2/28/25 21:17,University Dr,SUMMONS
Liquor Law Violation,25-58-AR,2/28/25,2/28/25 21:55,University Dr,SUMMONS
Liquor Law Violation,25-59-AR,2/28/25,2/28/25 17:10,Lot 43,SUMMONS
Liquor Law Violation,25-60-AR,2/28/25,2/28/25 22:07,Lot 43,SUMMONS
Liquor Law Violation,25-61-AR,2/28/25,2/28/25 22:20,"Pierpont Dorm
(outside)",SUMMONS
Liquor Law Violation,25-62-AR,2/28/25,2/28/25 18:12,"Pierpont Dorm
(outside)",SUMMONS
Liquor Law Violation,25-63-AR,2/28/25,2/28/25 18:12,"Pierpont Dorm
(outside)",SUMMONS
Liquor Law Violation,25-64-AR,2/28/25,2/28/25 19:34,Watrobas (outside),ARR
Liquor Law Violation,25-65-AR,3/1/25,3/1/25 2:12,"Massachusetts
Ave",ARR
Tamper with Fire Alarm,25-97-OF,3/1/25,"3/1/25 01:50-
02:04",Slate,"CLOSED/ no
further leads"
Liquor Law Violation,25-66-AR,3/1/25,3/1/25 19:30,Lot 22,SUMMONS
Liquor Law Violation,25-67-AR,3/1/25,3/1/25 20:25,Lot 32E,SUMMONS
B&E,25-1:00-OF,3/2/25,"3/1-3/2 22:00-
23:59",Mackimmie Dorm,OPEN
Larceny,25-1:01-OF,3/3/25,"3/3/25 10:15-
11:15",Recreation Center,"CLOSED/ no
further leads"
Vandalism,25-1:05-OF,3/4/25,"3/4/25 06:20-
06:36","Bromery Center for
the Arts",OPEN
Vandalism,25-C80011-OF,3/4/25,"3/3-3/4 10:17-
21:35","Coolidge Dorm
(outside)",OPEN
Vandalism,25-1:06-OF,3/4/25,"3/2-3/4 12:00-
12:00",Lot 13A,"CLOSED/ no
further leads"
Liquor Law Violation,25-68-AR,3/5/25,3/5/25 19:24,Thatcher Rd,SUMMONS
"Leaving the Scene of
an Accident",25-1:07-OF,3/5/25,3/5/25 13:28,Lot 63,OPEN
Larceny,25-1:09-OF,3/6/25,"2/28-3/2 07:00-
07:00",Dickinson Hall,OPEN
Larceny,25-1:10-OF,3/6/25,"3/5-3/6 21:00-
09:45",Bartlett Hall,"CLOSED/ no
further leads"
Liquor Law Violations,25-69-AR,3/7/25,3/7/25 17:05,Lot 50C,SUMMONS
Liquor Law Violation,25-70-AR,3/7/25,3/7/25 19:11,Lot 50 JA,ARR
"B&E/
Trespassing",25-1:12-OF,3/7/25,"3/7/25 04:00-
04:10",Cance Dorm,OPEN
Vandalism,25-1:14-OF,3/7/25,"3/5-3/7 19:00-
14:40",Lot 49G,"CLOSED/ no
further leads"
Disorderly Conduct,25-1:15-OF,3/7/25,"3/7/25 02:30-
02:40","John Quincy
Adams Dorm",OPEN
Liquor Law Violation,25-71-AR,3/8/25,3/8/25 17,Lot 34E,SUMMONS
Liquor Law Violation,25-72-AR,3/8/25,3/8/25 17,Lot 34E,SUMMONS
Liquor Law Violation,25-73-AR,3/8/25,3/8/25 1:23,Lot 49G,SUMMONS
Liquor Law Violation,25-74-AR,3/8/25,3/8/25 1:23,Lot 49G,SUMMONS
Liquor Law Violation,25-75-AR,3/8/25,3/8/25 8:37,North Hadley Rd,SUMMONS
Liquor Law Violation,25-76-AR,3/8/25,3/8/25 8:46,North Hadley Rd,SUMMONS
Liquor Law Violation,25-77-AR,3/8/25,3/8/25 8:47,North Hadley Rd,SUMMONS
Liquor Law Violation,25-78-AR,3/8/25,3/8/25 9:02,Lot 50 Prince,ARR
Liquor Law Violation,25-79-AR,3/8/25,3/8/25 9:05,North Pleasant St,ARR
Liquor Law Violation,25-80-AR,3/8/25,3/8/25 9:45,Lot 33,SUMMONS
Liquor Law Violation,25-81-AR,3/8/25,3/8/25 9:45,Lot 33,SUMMONS
Liquor Law Violation,25-82-AR,3/8/25,3/8/25 9:45,Lot 33,SUMMONS
Liquor Law Violation,25-83-AR,3/8/25,3/8/25 10:27,Lot 50 Prince,ARR
Liquor Law Violation,25-84-AR,3/8/25,3/8/25 10:27,Lot 50 Prince,ARR
Liquor Law Violation,25-85-AR,3/8/25,3/8/25 20:01,Fearing St,SUMMONS
Liquor Law Violation,25-86-AR,3/8/25,3/8/25 20:06,Fearing St,SUMMONS
Vandalism,25-1:16-OF,3/8/25,"3/7-3/8 23:00-
16:00",Baker Dorm,OPEN
"A&B with Dangerous
Weapon/
Strangulation",25-87-AR,3/8/25,3/8/25 21:51,Leach Dorm,SUMMONS
OUI,25-88-AR,3/9/25,3/9/25 2:45,University Dr,ARR
Vandalism,25-1:17-OF,3/9/25,3/9/25 22,"Observatory
Building","CLOSED/ no
further leads"
"Suspended
Registration/
Uninsured Motor
Vehicle",25-89-AR,3/10/25,3/10/25 36,"Massachusetts
Ave",SUMMONS
Larceny,25-1:18-OF,3/10/25,"12/1/24-
3/10/25 00:00-
17:24","Morrill Science
Center 2 Central","CLOSED/ no
further leads"
Vandalism,25-91-AR,3/13/25,3/13/25 2:32,North Hadley Rd,SUMMONS
Vandalism,25-1:23-OF,3/13/25,"3/11-3/13 15:00-
11:40",Lot 49,OPEN
"Driving Without a
License/
Unregistered Motor
Vehicle",25-93-AR,3/14/25,3/14/25 17:33,Eastman Lane,SUMMONS
Larceny,25-1:26-OF,3/15/25,3/15/25 3:40,Cashin Dorm,OPEN
Larceny,25-1:27-OF,3/15/25,"3/15/25 07:33-
17:00",Student Union,OPEN
"Driving Without a
License",25-94-AR,3/16/25,3/16/25 1:15,"Massachusetts
Ave",ARR
Larceny,25-1:30-OF,3/17/25,"3/10-3/17 13:00-
14:09","Olver Design
Building",OPEN
"Suspended
Registration/
Uninsured Motor
Vehicle",25-96-AR,3/19/25,3/19/25 22:08,North Hadley Rd,SUMMONS
Extortion,25-1:32-OF,3/20/25,"3/19-3/20 22:13-
02:00",Cashin Dorm,OPEN
Larceny,25-1:35-OF,3/20/25,"1/15-3/20 12:00-
09:00","Conte Polymer
Research",OPEN
"Driving Without a
License",25-97-AR,3/21/25,3/21/25 5:51,"Commonwealth
Ave",ARR
